timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5034.01,10,262144,64,54978,3622741986,28,28,1216278,124,0,585,622604,16,11828,31,55,125280612,1172,1,30,8487,17896,2,9392,585,10082767,1000514,1112469582,585,816,2,1,2,2,964,1,1108255132,1062366340,23037565,81989610,81989610,2,1,3606821944,73389,73389,2,2,2,81973226,17,3,186593,1602579,1188856,13034,8457,1108255132,609570,8896001,4253
10051.38,10,262144,64,65637,4325271990,28,28,1659393,125,0,585,919102,16,14829,31,55,125546064,1172,1,30,10052,42516,2,9392,585,14898638,3753544,1318489413,585,816,2,1,2,2,964,1,1313382812,1267738566,61458544,97956201,97956201,2,1,4310072844,73389,73389,2,2,2,97956201,17,3,198978,3222634,1538704,22719,10022,1313382812,896383,13363155,4253
15056.95,10,262144,64,103283,6805954166,28,28,2954630,132,0,585,1284271,16,25428,31,55,126837126,1172,1,30,15584,55039,2,9392,585,23869722,5218093,2046362762,585,816,2,1,2,2,964,1,2038473116,1992826717,100300363,154329932,154346316,2,1,6790517008,73389,73389,2,2,2,154329932,17,3,220384,4332537,1828888,31398,15554,2038473116,1252873,22043978,4253
20061.22,10,262144,64,167272,11022112756,28,28,4667111,142,0,585,1763190,16,43428,31,55,128152320,1172,1,30,24985,55488,2,9392,585,33928985,5218729,3283343761,585,816,2,1,2,2,964,1,3270680988,3225311664,121051909,250148465,250164849,2,1,11006532460,73389,73389,2,2,2,250148465,17,3,223574,5242435,2015228,41954,24955,3270680988,1721236,31917086,4253
25066.75,10,262144,64,213467,14066259686,28,28,6026938,150,0,585,2173555,16,56492,31,55,129479580,1172,1,30,31770,68051,2,9392,585,42389165,6092167,4176110610,585,816,2,1,2,2,964,1,4160004508,4115175545,202948291,319341344,319357728,2,1,14051019136,73389,73389,2,2,2,319341344,17,3,250856,6378119,2267206,51332,31740,4160004508,2122223,40123813,4253
30071.18,10,262144,64,272837,17978175110,28,28,7768938,160,0,585,2602531,16,73206,31,55,130806840,1172,1,30,40492,68306,2,9392,585,52621609,6094583,5323688663,585,816,2,1,2,2,964,1,5303214492,5258742905,236558328,408258783,408258783,2,1,17962665556,73389,73389,2,2,2,408242399,17,3,266562,7204593,2458379,60847,40462,5303214492,2541684,50165331,4253
35088.95,10,262144,64,316641,20864575722,28,28,9254302,167,0,585,2973924,16,85592,31,55,131868648,1172,1,30,46929,80105,2,9392,585,61199509,6829418,6170607720,585,816,2,1,2,2,964,1,6146924956,6102590020,262832556,473855818,473855818,2,1,20849655992,73389,73389,2,2,2,473855818,17,3,276704,8234814,2684145,70255,46899,6146924956,2903669,58516539,4253
40106.94,10,262144,64,326580,21519654354,28,28,9873439,169,1,585,3265960,16,88412,31,55,132399552,1172,1,30,48389,130872,2,9392,585,66578164,9764784,6362814867,585,816,2,1,2,2,964,1,6338290076,6294039435,326277635,488743224,488743224,2,1,21504701856,73389,73389,2,2,2,488743224,17,3,281812,9835168,3054727,86700,48360,6338290076,3179260,63522090,4253
45128.39,10,262144,64,336434,22168896974,28,28,10428051,171,2,585,3553366,16,91209,31,55,132665004,1172,1,30,49835,149015,2,9392,585,71719600,12795826,6553178872,585,816,2,1,2,2,964,1,6527820188,6483758233,368055916,503493525,503509909,2,1,22153715100,73389,73389,2,2,2,503493525,17,3,293562,11458281,3424054,95737,49805,6527820188,3457629,68292346,4253
50148.44,10,262144,64,346108,22806077662,28,28,10952743,172,2,585,3819252,16,93903,31,55,132665004,1172,1,30,51257,181779,2,9392,585,76792131,15828260,6740387844,585,816,2,1,2,2,964,1,6714204572,6670091320,433108927,517975649,517992033,2,1,22790928556,73389,73389,2,2,2,517975649,17,3,301155,13070833,3747752,106232,51227,6714204572,3713020,73040721,4253
