timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.15,262144,64,60830,4008382274,20,20,304216,125,585,484847,5,13452,23,21,125280612,1172,1,22,9339,997,2,88,585,7825473,406,1225657778,585,141,2,1,2,2,328,1,1220977052,1175091262,15113574,90754162,90754162,2,1,3993183128,73389,73389,2,2,2,90754162,4,3,134421,941762,547349,10422,9317,1220977052,474425,7277921,1379
10013.75,262144,64,114107,7519032158,20,20,358882,133,585,874749,5,28488,23,21,126837126,1172,1,22,17167,1763,2,88,585,18039317,2598,2255608509,585,141,2,1,2,2,328,1,2247008668,2201281319,43522289,170544442,170544442,2,1,7503234552,73389,73389,2,2,2,170528058,4,3,163683,1740887,775708,19933,17145,2247008668,854816,17263510,1379
15018.67,262144,64,172987,11399027998,20,20,358882,143,585,1306564,5,45096,23,21,128417772,1172,1,22,25818,2389,2,88,585,29456514,3972,3393876074,585,141,2,1,2,2,328,1,3380912540,3335474644,79250404,258722442,258738826,2,1,11383787448,73389,73389,2,2,2,258722442,4,3,198639,2599853,1062109,30207,25796,3380912540,1276357,28394885,1379
20023.91,262144,64,230122,15163867162,20,20,1778018,153,585,1714269,5,61225,23,21,130010484,1172,1,22,34210,2727,2,88,585,39889861,5215,4498020286,585,141,2,1,2,2,328,1,4480868764,4436045624,106891704,344285479,344301863,2,1,15148561076,73389,73389,2,2,2,344285479,4,3,224534,3402971,1281913,39315,34188,4480868764,1674954,38608641,1379
25048.40,262144,64,272422,17950712218,20,20,3127290,160,585,2099126,5,73149,23,21,130806840,1172,1,22,40425,20901,2,88,585,48625128,979550,5315777018,585,141,2,1,2,2,328,1,5295481244,5250634123,130037152,407630158,407646542,2,1,17935726952,73389,73389,2,2,2,407630158,4,3,250242,4553155,1528655,50484,40403,5295481244,2048642,47097582,1379
30071.26,262144,64,282248,18598385282,20,20,3599880,162,585,2390983,5,75936,23,21,131337744,1172,1,22,41868,50311,2,88,585,54004806,3942865,5505756457,585,141,2,1,2,2,328,1,5484618140,5440114692,200597174,422337340,422353724,2,1,18582842960,73389,73389,2,2,2,422337340,4,3,256030,6172991,1881531,61891,41846,5484618140,2329092,52123977,1379
35086.71,262144,64,291734,19223510654,20,20,4148103,163,585,2678778,5,78581,23,21,131337744,1172,1,22,43262,68688,2,88,585,59322968,7230910,5689291068,585,141,2,1,2,2,328,1,5667332508,5622794506,278706429,436563353,436563353,2,1,19208787532,73389,73389,2,2,2,436563353,4,3,265953,7801278,2229129,72030,43240,5667332508,2606748,57092936,1379
40108.37,262144,64,301302,19853744526,20,20,4613235,165,585,2963002,5,81299,23,21,131603196,1172,1,22,44666,104513,2,88,585,63773534,10138196,5874272975,585,141,2,1,2,2,328,1,5851488668,5807114609,331934825,450881637,450881637,2,1,19838792028,73389,73389,2,2,2,450881637,4,3,272716,9465337,2533600,81002,44645,5851488668,2882000,61238224,1379
45129.02,262144,64,309484,20393145502,20,20,5446910,166,585,3208912,5,83583,23,21,131868648,1172,1,22,45868,130404,2,88,585,68345341,13531584,6032405571,585,141,2,1,2,2,328,1,6008906140,5964778036,414530090,463127345,463143729,2,1,20377603180,73389,73389,2,2,2,463127345,4,3,281038,11171562,2837472,88524,45847,6008906140,3120388,65504974,1379
50151.85,262144,64,314924,20751254054,20,20,7026607,167,585,3375311,5,85122,23,21,131868648,1172,1,22,46667,239653,2,88,585,70238683,17294176,6137628836,585,141,2,1,2,2,328,1,6113632668,6069471427,430579489,471265431,471281815,2,1,20735678964,73389,73389,2,2,2,471265431,4,3,285112,13272610,2985057,94713,46645,6113632668,3280598,67249623,1379
55181.69,262144,64,320544,21121689990,20,20,8866785,168,585,3543936,5,86709,23,21,132134100,1172,1,22,47494,321099,2,88,585,73438788,21678149,6246542113,585,141,2,1,2,2,328,1,6222029212,6177748960,513353706,479685919,479702303,2,1,21106180436,73389,73389,2,2,2,479685919,4,3,291810,15471668,3203159,100261,47472,6222029212,3443675,70230358,1379
60200.38,262144,64,327773,21598104254,20,20,10041551,169,585,3760647,5,88737,23,21,132399552,1172,1,22,48554,374347,2,88,585,77053863,25137418,6386118649,585,141,2,1,2,2,328,1,6360965532,6316950021,584911669,490518729,490535113,2,1,21582824076,73389,73389,2,2,2,490518729,4,3,294387,17350126,3423319,106671,48532,6360965532,3653976,73625204,1379
65214.56,262144,64,338264,22289358758,20,20,10418049,171,585,4060565,5,91705,23,21,132665004,1172,1,22,50096,408526,2,88,585,81695586,28093269,6589126859,585,141,2,1,2,2,328,1,6563078556,6519033454,612918317,506225335,506241719,2,1,22273914740,73389,73389,2,2,2,506225335,4,3,300884,18956989,3753810,115561,50074,6563078556,3945004,77934477,1379
70218.58,262144,64,396436,26122436272,20,20,12386324,181,585,4463644,5,108066,23,21,133992264,1172,1,22,58638,408902,2,88,585,92985656,28306559,7713057587,585,141,2,1,2,2,328,1,7682695580,7639571678,767657358,593350885,593350885,2,1,26106718044,73389,73389,2,2,2,593334501,4,3,321439,19777586,3982782,124766,58616,7682695580,4338878,88995681,1379
