timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5062.67,24,0,0,10128,667247748,1,1,220826,118,306,337872,18,944,4,0,65595834,614,1,3,1690,33584,2,25594,306,3025789,1649052,221841715,306,1287,2,1,2,2,1005,1,220897692,196788266,5343517,14987869,14987869,2,1,658745340,73389,73389,2,2,2,14971485,20,3,22580,1799646,893169,9748,1687,220897692,328124,2133974,8898
10067.33,33,262144,64,47969,3160999028,15,15,1303631,122,585,740618,18,9846,18,11,125015160,1172,1,17,7444,48404,2,25681,585,8681932,2300063,977076641,585,1927,2,1,2,2,1005,1,973250972,927323069,16388089,71482321,71498705,2,1,3145222124,73389,73389,2,2,2,71482321,20,3,66343,3019193,1415190,19821,7427,973250972,720797,7268444,12304
15088.65,33,262144,64,81175,5348879398,15,15,2484906,128,585,1102361,18,19231,18,11,125811516,1172,1,17,12321,60545,2,25681,585,16371968,3683051,1618807077,585,1927,2,1,2,2,1005,1,1612489116,1566954573,54975707,121211069,121227453,2,1,5333287036,73389,73389,2,2,2,121211069,20,3,104550,4275230,1696891,29116,12304,1612489116,1073245,14675796,12304
20105.25,33,262144,64,90953,5993382602,15,15,2945332,130,585,1407090,18,22010,18,11,126318288,1172,1,17,13760,103031,2,25681,585,21584035,6488265,1808266416,585,1927,2,1,2,2,1005,1,1801101724,1755307393,81656379,135869099,135869099,2,1,5978240356,73389,73389,2,2,2,135869099,20,3,112040,5851672,2031836,38829,13743,1801101724,1368261,19552535,12304
25109.90,33,262144,64,114405,7538827338,15,15,3858503,133,585,1749718,18,28569,18,11,126837126,1172,1,17,17204,128362,2,25681,585,27822982,8684016,2261469675,585,1927,2,1,2,2,1005,1,2252513692,2207085525,138852220,170992843,171009227,2,1,7523685092,73389,73389,2,2,2,170992843,20,3,131964,7200146,2350876,48943,17187,2252513692,1700775,25471493,12304
30115.38,33,262144,64,173768,11450477066,15,15,3895184,143,585,2172608,18,45265,18,11,128417772,1172,1,17,25928,129401,2,25681,585,39836626,8775528,3409297993,585,1927,2,1,2,2,1005,1,3395985820,3350494549,175374195,259891739,259908123,2,1,11435236516,73389,73389,2,2,2,259891739,20,3,178675,8076317,2615128,58690,25911,3395985820,2113918,37221164,12304
35120.35,33,262144,64,227854,15014169706,15,15,3895184,153,585,2599095,18,60552,18,11,129745032,1172,1,17,33872,131032,2,25681,585,49968182,8778305,4454488883,585,1927,2,1,2,2,1005,1,4437221788,4392293610,198862240,340886243,340886243,2,1,14998994692,73389,73389,2,2,2,340886243,20,3,208908,8971053,2861798,68509,33855,4437221788,2530586,47105729,12304
40127.71,33,262144,64,277474,18283778914,15,15,3895184,161,585,3083831,18,74580,18,11,131072292,1172,1,17,41159,133453,2,25681,585,60880319,8782377,5413234147,585,1927,2,1,2,2,1005,1,5392343452,5348017895,225948430,415192645,415215062,2,1,18268476380,73389,73389,2,2,2,415192645,20,3,240361,9935584,3132015,77941,41142,5392343452,3005890,57747488,12304
45136.94,33,262144,64,320062,21090101638,15,15,3895184,168,585,3539064,18,86577,18,11,132134100,1172,1,17,47420,136805,2,25681,585,72098390,8846841,6236885207,585,1927,2,1,2,2,1005,1,6212854172,6168501613,266537664,478981407,478981407,2,1,21075181908,73389,73389,2,2,2,478981407,20,3,264040,10882314,3423454,87480,47403,6212854172,3451584,68674949,12304
50146.41,33,262144,64,360410,23748682574,15,15,3895184,175,585,4018847,18,97963,18,11,133195908,1172,1,17,53342,141497,2,25681,585,81752720,8924469,7016207734,585,1927,2,1,2,2,1005,1,6989193628,6945648451,288571299,539403701,539403701,2,1,23733041948,73389,73389,2,2,2,539387317,20,3,282642,11869498,3700771,97042,53325,6989193628,3921805,78052096,12304
55153.05,33,262144,64,397346,26182339484,15,15,3895184,181,585,4517914,18,108369,18,11,133992264,1172,1,17,58770,145890,2,25681,585,91011988,9069077,7730413729,585,1927,2,1,2,2,1005,1,7700652444,7657106155,309072463,594700406,594716790,2,1,26166817864,73389,73389,2,2,2,594700406,20,3,292864,12894269,3970320,106881,58753,7700652444,4411033,87043556,12304
