timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5022.86,25,262144,64,23981,1580426996,0,0,0,15,15,1426856,118,1,585,472319,10,3085,18,73,124484256,1172,1,17,3921,6341,2,2343,585,4423017,428907,513505736,585,1217,2,1,2,2,866,1,511484316,465248795,6519230,35572145,35588529,2,1,1565174380,73389,73389,2,2,2,35572145,18,3,164553,1017788,1360420,8349,3904,511484316,463970,3063181,6104
10036.36,25,262144,64,52331,3448459772,0,0,0,15,15,1426856,123,1,585,972775,10,11091,18,73,125280612,1172,1,17,8086,14542,2,2343,585,12377073,1114045,1061575878,585,1217,2,1,2,2,866,1,1057399196,1011426819,26935886,78014775,78031159,2,1,3432650100,73389,73389,2,2,2,78014775,18,3,184444,2104739,1786093,18367,8069,1057399196,954408,10592357,6104
15046.90,25,262144,64,80097,5277700686,0,0,0,15,15,1426856,128,2,585,1480990,10,18939,18,73,125811516,1172,1,17,12162,24711,2,2343,585,21568268,1961296,1597805026,585,1217,2,1,2,2,866,1,1591517596,1546147327,61538770,119593371,119609755,2,1,5262108324,73389,73389,2,2,2,119593371,18,3,198181,3201481,2185082,28130,12145,1591517596,1452860,19385186,6104
20059.67,25,262144,64,108783,7168260330,0,1282195,12,15,15,1426856,133,2,585,1976687,10,27002,18,73,126837126,1172,1,17,16379,32096,2,2343,585,29908434,2717994,2152847551,585,1217,2,1,2,2,866,1,2144379292,2098733023,81357039,162572355,162572355,2,1,7153183620,73389,73389,2,2,2,162572355,18,3,206997,4287060,2551194,38480,16362,2144379292,1938207,27359238,6104
25070.29,25,262144,64,139116,9167047350,2,3507701,16,15,15,1426856,138,3,585,2470953,10,35583,18,73,127621416,1172,1,17,20837,40945,2,2343,585,40884915,3444312,2739461599,585,1217,2,1,2,2,866,1,2728698268,2683018411,140742881,207990396,208006780,2,1,9151577424,73389,73389,2,2,2,207990396,18,3,226189,5341506,2971757,48157,20820,2728698268,2422796,37916416,6104
30082.30,25,262144,64,167055,11007879378,8,14632305,61,16,16,1426856,142,5,585,2964934,10,43422,18,73,128152320,1172,1,17,24942,50793,2,2343,585,52156854,4194916,3279513140,585,1217,2,1,2,2,866,1,3266617756,3221180759,340341764,249820785,249837169,2,1,10992114540,73389,73389,2,2,2,249820785,18,3,246480,6403190,3414910,57558,24924,3266617756,2907376,48744146,6104
35093.15,25,262144,64,194196,12796413678,13,23864686,131,21,21,1426856,147,6,585,3474146,10,51099,18,73,128948676,1172,1,17,28934,57365,2,2343,585,62211149,4840587,3804172123,585,1217,2,1,2,2,866,1,3789201820,3743961994,394493918,290471526,290487910,2,1,12780747144,73389,73389,2,2,2,290471526,18,3,259455,7489046,3779315,69591,28911,3789201820,3404555,58431960,6104
40102.66,25,262144,64,224159,14770686926,15,35199590,174,24,24,1426856,152,6,585,3942139,10,59544,18,73,129745032,1172,1,17,33338,63384,2,2343,585,70631320,5349210,4383289742,585,1217,2,1,2,2,866,1,4366049692,4321072550,421811552,335342862,335359246,2,1,14755085928,73389,73389,2,2,2,335342862,18,3,271207,8517616,4111786,78902,33312,4366049692,3863237,66521170,6104
45115.75,25,262144,64,254495,16769742950,15,37573826,182,24,24,1426856,157,8,585,4414688,10,68091,18,73,130541388,1172,1,17,37795,70633,2,2343,585,79605879,5846706,4969771122,585,1217,2,1,2,2,866,1,4950237596,4905478674,449784232,380785479,380785479,2,1,16753840180,73389,73389,2,2,2,380769095,18,3,295748,9545422,4498841,87987,37769,4950237596,4326701,75109085,6104
50125.37,25,262144,64,287621,18952368374,15,37573826,182,27,27,1426856,163,8,585,4894431,10,77415,18,73,131337744,1172,1,17,42666,75882,2,2343,585,89989581,6212804,5610317660,585,1217,2,1,2,2,866,1,5588296092,5543544978,477446668,430399539,430399539,2,1,18936858820,73389,73389,2,2,2,430383155,18,3,313321,10550902,4857066,97487,42637,5588296092,4796944,85135035,6104
55130.51,25,262144,64,322164,21228401280,15,38746146,187,27,27,1426856,168,8,585,5376222,10,87148,18,73,132134100,1172,1,17,47740,81031,2,2343,585,101715025,6540210,6277961317,585,1217,2,1,2,2,866,1,6253355420,6208953388,507976769,482122817,482122817,2,1,21213403948,73389,73389,2,2,2,482122817,18,3,328563,11555081,5212202,107045,47711,6253355420,5269177,96506513,6104
60135.99,25,262144,64,369655,24358013770,19,48492430,227,28,28,1426856,176,8,585,5805388,10,100542,18,73,133461360,1172,1,17,54717,84108,2,2343,585,113671795,6608382,7195810724,585,1217,2,1,2,2,866,1,7167713692,7123804475,631351596,553236498,553252882,2,1,24342405912,73389,73389,2,2,2,553236498,18,3,378387,12475942,5561160,116471,54687,7167713692,5688917,108114234,6104
