timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5024.98,18,262144,64,12243,806773404,0,1788567,316,7,7,15890,104,3,576,180007,0,2,4722,10,0,101556912,1154,1,4,249,14936431,4,59616632,9,2408,2922,2,76,576,6348846,582437,292152754,576,126,0,3,1,2,2,591,3,290827541,257052535,9196588,15305198,15321582,3,1,795870328,73389,73389,2,2,2,15305202,3,3,23413,651025,215406,6991,2400,290827541,173016,6133708,1294
10050.16,131,262144,64,29480,1942124654,1,11400284,752,8,8,15890,236,16,576,763391,0,2,11559,11,0,106624632,1154,1,4,249,36575919,4,146174320,10,5386,57086,2,101,576,28205842,4494405,647628442,576,126,0,3,1,2,2,591,3,644337284,614483781,46181533,37147168,37147168,3,1,1931652768,73389,73389,2,2,2,37147172,3,3,42090,3420985,886595,27422,5376,644337284,735969,27318428,1294
15078.09,209,262144,64,47141,3106771418,2,19909033,1161,9,9,15890,346,23,576,1350167,0,2,18490,11,0,111945738,1154,1,4,249,58520300,4,234016584,10,8424,83006,2,101,576,50062746,8205235,1017160094,576,126,0,3,1,2,2,591,3,1011866257,981356605,81737761,59535399,59551783,3,1,3095840780,73389,73389,2,2,2,59535403,3,3,70480,6145231,1609635,48363,8414,1011866257,1301804,48451453,1294
20096.53,306,262144,64,65137,4292709112,2,28646682,1588,9,9,15890,468,36,576,1943412,0,2,25530,11,0,114443400,1154,1,4,249,80733957,4,322935828,10,11530,157959,2,101,576,71880926,11935178,1392573739,576,126,0,3,1,2,2,591,3,1385271542,1354608121,117474057,82312972,82362124,3,1,4280274576,73389,73389,2,2,2,82312976,3,3,104867,8962757,2345914,67985,11519,1385271542,1875427,69533368,1294
25100.68,316,262144,64,75949,5005048936,8,37290540,1891,9,9,15890,537,37,576,2063441,0,2,29811,11,0,115082898,1154,1,4,249,94342525,4,377370100,10,13384,163045,2,101,576,77462107,12490286,1616675890,576,126,0,3,1,2,2,591,3,1608319931,1578604545,132698918,96049624,96049624,3,1,4994580480,73389,73389,2,2,2,96049628,3,3,107659,9456293,2456170,72195,13373,1608319931,1991246,75003996,1294
30105.54,362,262144,64,91473,6027738840,15,48376487,2250,16,16,15890,640,42,576,2414386,0,2,35961,12,0,116928996,1154,1,4,249,113843683,4,455374732,11,16050,186239,2,118,576,91913879,14727540,1938765198,576,126,0,3,1,2,2,591,3,1928761329,1900777140,161493251,115714681,115714681,3,1,6017163444,73389,73389,2,2,2,115714685,3,3,138849,11126683,2943609,84174,16032,1928761329,2330212,88970254,1294
35136.60,437,262144,64,110152,7257568870,15,55818719,2676,23,23,15890,761,56,576,2990943,0,2,43320,12,0,116928996,1154,1,4,249,137162438,4,548520468,11,19260,243899,2,118,576,114383949,18462064,2327286143,576,126,0,3,1,2,2,591,3,2315201222,2288075854,196626474,139350699,139367083,3,1,7246236380,73389,73389,2,2,2,139350703,3,3,166607,13873223,3656642,104230,19235,2315201222,2886713,110727923,1294
40149.36,525,262144,64,129960,8563838442,15,64934143,3139,23,23,15890,887,72,576,3649390,0,2,51124,12,0,117218580,1154,1,4,249,161889861,4,647430096,11,22685,297395,2,118,576,140190322,22833597,2742803187,576,126,0,3,1,2,2,591,3,2728470409,2699441273,237716544,164460389,164476773,3,1,8551940260,73389,73389,2,2,2,164460393,3,3,184136,17074186,4360949,127417,22660,2728470409,3521973,135826756,1294
45154.31,547,262144,64,144286,9508064482,22,74611862,3473,23,23,15890,979,74,576,3852229,0,2,56777,12,0,117218580,1154,1,4,249,179797115,4,719165520,11,25154,310733,2,118,576,148739216,23751578,3042707184,576,126,0,3,1,2,2,591,3,3026955479,2996800202,257426015,182626310,182626310,3,1,9495716184,73389,73389,2,2,2,182609930,3,3,192546,17924201,4558226,134167,25129,3026955479,3718062,144176908,1294
50160.97,548,262144,64,158561,10448610338,22,76161988,3702,24,24,15890,1071,74,576,3944571,0,2,62407,12,0,117218580,1154,1,4,249,197597299,4,790324612,11,27693,311054,2,118,576,153499609,23751893,3350091018,576,126,0,3,1,2,2,591,3,3332963757,3293484108,264098339,200679702,200679702,3,1,10435344536,73389,73389,2,2,2,200679706,3,3,197129,18146022,4610743,137472,27667,3332963757,3807099,148884991,1294
