timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.60,8,262144,64,16965,1117827108,0,1526390,185,2,2,6209,133,1,576,208917,0,1,6624,5,0,101894760,1154,1,4,265,20983593,5,83934372,4,3225,1151,2,21,576,7950242,2870,391566369,576,357,0,3,1,2,2,716,3,389754336,355030894,10190990,21290947,21290947,3,1,1107129276,73389,73389,2,2,2,21290951,20,3,31700,442654,185600,5585,3221,389754336,203332,7765327,1979
10020.83,15,262144,64,35952,2369688324,0,2497917,322,2,2,6209,297,1,576,411493,0,1,14152,5,0,107541648,1154,1,4,265,44701879,5,178742948,4,6536,2681,2,21,576,16561232,5305,782191245,576,357,0,3,1,2,2,716,3,778500358,749171510,20465460,45372763,45372763,3,1,2359383708,73389,73389,2,2,2,45372767,20,3,37568,881791,287942,11309,6532,778500358,400184,16274448,1979
15028.30,24,262144,64,54785,3609248918,1,5009771,415,3,3,6209,419,2,576,624581,0,1,21568,6,0,109411878,1154,1,4,265,68162418,5,272649672,5,9769,4137,2,31,576,25592593,12658,1174549064,576,357,0,3,1,2,2,716,3,1169015252,1139357313,32737261,69215740,69215740,3,1,3599218512,73389,73389,2,2,2,69215744,20,3,46319,1334281,402958,17249,9764,1169015252,607332,25190939,1979
20035.36,34,262144,64,73888,4869351808,1,6240441,572,3,3,6209,537,4,576,823857,0,1,29089,6,0,113803902,1154,1,4,265,92022959,5,368091836,5,13051,5646,2,31,576,33919471,13824,1574102648,576,357,0,3,1,2,2,716,3,1566710159,1536070534,42974719,93432502,93448886,3,1,4858490136,73389,73389,2,2,2,93432506,20,3,49637,1764103,483281,22788,13046,1566710159,801069,33438117,1979
25039.56,37,262144,64,90202,5944140934,3,10617958,762,4,4,6209,629,4,576,954520,0,1,35488,7,0,116928996,1154,1,4,265,112386695,5,449546780,6,15825,6294,2,43,576,40254565,14472,1914164848,576,357,0,3,1,2,2,716,3,1905208105,1874552574,54163710,114103016,114103016,3,1,5933356864,73389,73389,2,2,2,114103020,20,3,58745,2061186,558062,26870,15819,1905208105,927650,39698168,1979
30045.76,37,262144,64,105698,6965357810,3,13393160,867,5,5,6209,745,4,576,1056934,0,1,41624,7,0,117218580,1154,1,4,265,131708481,5,526833924,6,18550,6715,2,43,576,45225642,14575,2240404259,576,357,0,3,1,2,2,716,3,2229963486,2196256482,62300338,133733146,133733146,3,1,6954123624,73389,73389,2,2,2,133733150,20,3,63228,2305784,614808,30161,18543,2229963486,1026773,44612828,1979
35050.71,38,262144,64,122556,8075774388,3,17162504,1017,5,5,6209,841,4,576,1171830,0,1,48246,7,0,117218580,1154,1,4,265,152727025,5,610908100,6,21372,7274,2,43,576,51161467,14809,2585704222,576,357,0,3,1,2,2,716,3,2573693314,2545816657,72442253,155083596,155083596,3,1,8064347024,73389,73389,2,2,2,155083600,20,3,68813,2576011,666729,33888,21365,2573693314,1137942,50497160,1979
40070.27,60,262144,64,138591,9132978798,5,22965543,1336,14,14,6209,944,8,576,1403179,0,1,54548,13,2,117218580,1154,1,4,265,172679813,5,690590056,12,24166,31194,2,124,576,61286361,1208405,2923774345,576,357,0,3,1,2,2,716,3,2910142105,2878646928,90315222,175389344,175422112,3,1,9120245920,73389,73389,2,2,2,175389348,20,3,96367,3532243,996941,41568,24151,2910142105,1361611,60292819,1979
45097.99,173,262144,64,159202,10490920564,7,31642417,1807,14,14,6209,1073,16,576,2081766,0,1,62664,13,2,117508164,1154,1,4,265,198419721,5,793614376,12,27703,93472,2,124,576,87389845,5612646,3353335774,576,357,0,3,1,2,2,716,3,3337330854,3306310463,131210791,201513127,201529511,3,1,10478682636,73389,73389,2,2,2,201513131,20,3,129772,6760156,1834355,65520,27687,3337330854,2016246,85561669,1979
50114.79,287,262144,64,182708,12038926898,9,41301274,2267,18,18,6209,1222,30,576,2851088,0,1,71874,14,2,117508164,1154,1,4,265,227622662,5,910425956,13,31737,153353,2,152,576,116275117,10565324,3843703800,576,357,0,3,1,2,2,716,3,3825030655,3793828474,176725822,231247423,231296575,3,1,12024866028,73389,73389,2,2,2,231247427,20,3,161816,10385025,2708048,94077,31717,3825030655,2757011,113568954,1979
