timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5017.35,136,262144,64,24765,1631831352,18,25253027,388,20,20,1192,210,9,576,777741,0,7,9693,23,2,105659352,1154,1,4,2343,30656024,25,122624096,22,4610,60975,2,18520,576,26754814,4334917,550716795,576,2188,0,3,1,2,2,3259,3,547811171,516845711,58576129,31175644,31175644,3,1,1621133520,73389,73389,2,2,2,31175648,18,3,118482,3436846,1366426,27830,4588,547811171,749911,25388162,10592
10034.15,193,262144,64,46620,3072590964,18,31812870,614,29,29,1192,353,14,576,1150143,0,7,18297,23,2,112235322,1154,1,4,2343,57924056,25,231437564,22,8383,74550,2,18520,576,41204113,6142607,1006825191,576,2188,0,3,1,2,2,3259,3,1001670448,970450826,82507877,58871847,58871847,3,1,3060484108,73389,73389,2,2,2,58855467,18,3,158702,4936903,1837382,40138,8352,1001670448,1110005,39365788,10592
15050.64,339,262144,64,77870,5132186390,19,41280683,1157,29,29,1192,550,35,576,2120254,0,7,30616,23,2,115058766,1154,1,4,2343,96951250,25,387546508,22,13729,135510,2,18520,576,76351397,11950019,1656273934,576,2188,0,3,1,2,2,3259,3,1647557001,1618770382,135539301,98498588,98498588,3,1,5121074640,73389,73389,2,2,2,98482208,18,3,192198,9393404,2935466,75845,13698,1647557001,2044409,73414454,10592
20062.42,494,262144,64,108267,7135879608,19,48747169,1691,30,30,1192,749,50,576,3071265,0,7,42570,23,2,116615280,1154,1,4,2343,134755304,25,538762764,22,18950,202626,2,18520,576,111952826,17877381,2288886408,576,2188,0,3,1,2,2,3259,3,2276729555,2249485598,187062284,137003025,137035793,3,1,7124157332,73389,73389,2,2,2,137003029,18,3,249939,13881491,4212901,111339,18918,2276729555,2959926,107737606,10592
25076.64,630,262144,64,137641,9069090688,20,57197543,2227,30,30,1192,936,62,576,4012765,0,7,54129,23,2,117218580,1154,1,4,2343,171381261,25,685460276,22,23978,284171,2,18520,576,147855494,23875749,2899625717,576,2188,0,3,1,2,2,3259,3,2884135385,2858347888,239899744,174204107,174204107,3,1,9057761628,73389,73389,2,2,2,174187727,18,3,281528,18418829,5275897,146695,23946,2884135385,3866070,142576835,10592
30095.86,767,262144,64,166417,10965331384,21,68377186,2816,32,32,1192,1119,86,576,4952333,0,7,65479,23,2,117508164,1154,1,4,2343,207316698,25,829266792,22,28940,352668,2,18520,576,183161150,29690875,3501782951,576,2188,0,3,1,2,2,3259,3,3483013856,3455478814,294945900,210636412,210652796,3,1,10952241488,73389,73389,2,2,2,210620032,18,3,314615,22800006,6363109,179976,28907,3483013856,4772357,176793882,10592
35114.87,886,262144,64,191983,12650224174,22,80970617,3346,32,32,1192,1285,104,576,5778650,0,7,75554,23,2,117508164,1154,1,4,2343,239294118,25,957111996,22,33352,424890,2,18520,576,215178558,34996296,4036454457,576,2188,0,3,1,2,2,3259,3,4014774028,3985734764,347067503,243052922,243085690,3,1,12638751976,73389,73389,2,2,2,243052926,18,3,351316,26704728,7350003,208114,33319,4014774028,5570536,207819199,10592
40133.51,1020,262144,64,219312,14451598080,23,91417428,3912,33,33,1192,1465,123,576,6670096,0,7,86293,23,2,117508164,1154,1,4,2343,273430677,25,1093722708,22,38046,493553,2,18520,576,249157976,40746458,4605434007,576,2188,0,3,1,2,2,3259,3,4580655346,4552831437,399649800,277715755,277715755,3,1,14439515356,73389,73389,2,2,2,277682991,18,3,378084,30822117,8386732,239877,38011,4580655346,6430219,240761512,10592
45154.79,1146,262144,64,247441,16303880470,26,102546064,4415,36,36,1192,1644,143,576,7560612,0,7,97408,23,2,117508164,1154,1,4,2343,308562012,25,1234183424,22,42881,550776,2,18520,576,282844682,46597933,5192293831,576,2188,0,3,1,2,2,3259,3,5164316081,5136190001,452869888,313298695,313315079,3,1,16291532172,73389,73389,2,2,2,313298699,18,3,412792,35069598,9450250,274751,42843,5164316081,7285861,273383964,10592
50176.95,1260,262144,64,272607,17963500008,28,114633955,4911,37,37,1192,1809,160,576,8370449,0,7,107377,23,2,117508164,1154,1,4,2343,340095375,25,1360381500,22,47215,611874,2,18520,576,312422554,51699841,5718526217,576,2188,0,3,1,2,2,3259,3,5687662095,5658340577,501725499,345209016,345274552,3,1,17950868864,73389,73389,2,2,2,345209020,18,3,435084,38847119,10357188,307620,47176,5687662095,8062829,302049859,10592
