timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5040.43,107,262144,64,21304,1404070108,5,12720639,443,13,13,2705,184,12,576,767919,0,11,8340,15,1,104114904,1154,1,4,4919,26333834,18,105270800,14,4007,55957,2,21010,576,26004974,4809271,479646255,576,2273,0,3,1,2,2,6189,3,477176187,445171935,45316351,26774825,26807593,3,1,1391438964,73389,73389,2,2,2,26758445,20,3,100470,3650377,1284892,29947,3993,477176187,737972,24718972,15797
10068.71,213,262144,64,44857,2955814231,7,22968450,899,16,16,2705,336,29,576,1539740,0,11,17571,15,1,110721039,1154,1,4,4919,55595953,18,222254628,14,8057,135234,2,21010,576,54370193,10119254,970605562,576,2273,0,3,1,2,2,6189,3,965301841,933709195,91351700,56619491,56668643,3,1,2944213564,73389,73389,2,2,2,56619495,20,3,140979,7526107,2278279,58061,8039,965408152,1481829,52089123,15797
15085.99,319,262144,64,68825,4535021246,10,32542732,1359,18,18,2705,492,42,576,2313157,0,11,27037,15,1,112850688,1154,1,4,4919,85567169,18,342268676,14,12170,187509,2,21010,576,82677876,15257057,1468756660,576,2273,0,3,1,2,2,6189,3,1460736296,1430867891,136463091,87002670,87019054,3,1,4524138872,73389,73389,2,2,2,87002674,20,3,171357,11278525,3167510,88548,12150,1460736296,2224609,79506934,15797
20106.63,446,262144,64,92987,6127310258,11,41787757,1832,19,19,2705,648,60,576,3085283,0,11,36563,15,1,113828034,1154,1,4,4919,115722468,18,462825216,14,16322,234816,2,21010,576,110948761,20231071,1972730199,576,2273,0,3,1,2,2,6189,3,1961952191,1932180549,181164332,117621258,117637642,3,1,6115453480,73389,73389,2,2,2,117604878,20,3,198552,15043879,4006961,114613,16302,1961952191,2970670,106936073,15797
25120.86,552,262144,64,116370,7666978146,11,50819673,2296,21,21,2705,802,73,576,3834204,0,11,45790,15,1,115046700,1154,1,4,4919,144912309,18,579649236,14,20353,315230,2,21010,576,139595363,25164857,2460290396,576,2273,0,3,1,2,2,6189,3,2446850613,2417113817,225850668,147226641,147243025,3,1,7655785364,73389,73389,2,2,2,147226645,20,3,222735,18633410,4882780,141350,20330,2446850613,3692854,134704007,15797
30124.75,639,262144,64,140609,9264566816,13,59312810,2738,21,21,2705,954,85,576,4539895,0,11,55325,15,1,115686198,1154,1,4,4919,175219491,18,700877964,14,24505,368445,2,21010,576,166520698,29387304,2964988681,576,2273,0,3,1,2,2,6189,3,2948863692,2920058865,267439127,177949566,177949566,3,1,9253377464,73389,73389,2,2,2,177949570,20,3,254641,21793489,5736117,166691,24482,2948863692,4373204,160773340,15797
35128.64,639,262144,64,156560,10315578440,20,66642231,2982,21,21,2705,1058,85,576,4648726,0,11,61614,15,1,115686198,1154,1,4,4919,195122372,18,780489488,14,27253,368611,2,21010,576,171018098,29389314,3298912249,576,2273,0,3,1,2,2,6189,3,3281308085,3251064177,279649698,198153136,198153136,3,1,10303963104,73389,73389,2,2,2,198153140,20,3,254641,22027340,5780058,169703,27230,3281308085,4479023,165226825,15797
40161.07,700,262144,64,176894,11655402932,21,72961739,3349,30,30,2705,1195,107,576,5131428,0,11,69615,15,1,116301564,1154,1,4,4919,220394088,18,881382216,14,30839,383830,2,21010,576,189324550,32199592,3732524875,576,2273,0,3,1,2,2,6189,3,3712727955,3673486908,308411100,223867319,223900087,3,1,11639396684,73389,73389,2,2,2,223834555,20,3,289357,24173501,6405127,186369,30807,3712727955,4945059,182907058,15797
45165.71,752,262144,64,198110,13054285040,35,91957142,3668,37,37,2705,1328,114,576,5587900,0,11,77992,15,1,116615280,1154,1,4,4919,246950955,18,987803820,14,34551,403274,2,21010,576,207266811,34663848,4183290770,576,2273,0,3,1,2,2,6189,3,4161226661,4114834954,349127822,250719746,250719746,3,1,13037426824,73389,73389,2,2,2,250719750,20,3,325022,26149074,6944916,201234,34512,4161226661,5386666,200310753,15797
50170.12,752,262144,64,212098,13975732480,36,93744610,4016,37,37,2705,1418,114,576,5667291,0,11,83510,15,1,116615280,1154,1,4,4919,264396930,18,1057587720,14,36959,403471,2,21010,576,211294603,34663958,4476142500,576,2273,0,3,1,2,2,6189,3,4452779514,4405098100,355243407,268431233,268431233,3,1,13958424148,73389,73389,2,2,2,268431237,20,3,325838,26340101,6975441,204020,36920,4452779514,5463271,204308275,15797
