timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.47,15,262144,64,40195,2649953584,0,1626800,218,4,4,2947,319,12,576,406542,2,15816,7,0,106902150,1154,1,4,415,49920604,8,199682416,6,7302,2737,2,32,576,17359934,2866,876080701,576,437,3,1,2,2,976,3,872078908,837404798,20410507,50731602,50764370,3,1,2638043336,73389,73389,2,2,2,50731606,12,3,37627,898766,285163,12030,7296,872078908,394512,17075644,2096
10016.11,26,262144,64,80228,5286768542,0,3051668,414,5,5,2947,557,13,576,789584,2,31567,8,0,113466054,1154,1,4,415,99923190,8,399628164,7,14117,5426,2,42,576,35127511,7548,1705736480,576,437,3,1,2,2,976,3,1697948779,1667604454,40951597,101464092,101464092,3,1,5276132816,73389,73389,2,2,2,101464096,12,3,42439,1749796,465210,23949,14110,1697948779,765635,34663483,2096
15021.29,61,262144,64,124137,8180340018,1,7898606,586,6,6,2947,849,19,576,1280909,2,48876,9,0,116615280,1154,1,4,415,154688560,8,618754240,8,21652,10300,2,53,576,56191085,30414,2616936195,576,437,3,1,2,2,976,3,2604935587,2578521851,68567338,157108735,157108735,3,1,8169654252,73389,73389,2,2,2,157108739,12,3,54546,2831131,704852,38496,21644,2604935587,1242413,55488662,2096
20029.50,119,262144,64,160735,10591435516,3,13136212,767,7,7,2947,1090,24,576,1703456,2,63301,9,0,116928996,1154,1,4,415,200326592,8,801306368,8,28040,13395,2,53,576,73900568,50335,3389263369,576,437,3,1,2,2,976,3,3373685248,3338141628,92972872,203430055,203446439,3,1,10578362892,73389,73389,2,2,2,203430059,12,3,66984,3755183,931412,50972,28031,3373685248,1652484,72972856,2096
25036.70,159,262144,64,192762,12700709616,3,16370762,963,7,7,2947,1295,26,585,2086456,2,75891,9,0,118370600,1172,1,4,415,240235366,8,960877184,8,33621,17950,2,53,585,89892315,74554,4064636372,585,441,3,1,2,2,976,3,4045921388,4002982979,113510140,243941976,243941976,3,1,12684982784,73389,73389,2,2,2,243941980,12,3,72857,4593745,1116366,62213,33612,4045921388,2024243,88780695,2128
30041.95,177,262144,64,225466,14855765444,3,20033223,1133,7,7,2947,1496,26,594,2448019,2,88744,9,0,120448370,1190,1,4,415,280989172,8,1123892124,8,39335,20751,2,53,594,105310942,90144,4758507780,594,452,3,1,2,2,976,3,4736607779,4682632468,133848361,285326753,285343137,3,1,14836991188,73389,73389,2,2,2,285326757,12,3,77736,5394683,1278044,73115,39326,4736607779,2374904,104037482,2183
35046.77,179,262144,64,257147,16943365566,7,28670956,1261,10,10,2947,1713,26,594,2697576,2,101173,11,0,120762086,1190,1,4,415,320289287,8,1281157148,10,44977,22187,2,72,594,117195082,93449,5438916379,594,452,3,1,2,2,976,3,5413963055,5341193057,155255052,325367412,325367412,3,1,16919105456,73389,73389,2,2,2,325367416,12,3,89046,5979164,1434834,81364,44965,5413963055,2616212,115765495,2183
40050.86,180,262144,64,288739,19026037934,7,32149302,1415,13,13,2947,1910,26,594,2911654,2,113630,11,0,120762086,1190,1,4,415,359791957,8,1439167828,10,50592,22741,2,72,594,127523543,94409,6120820476,594,452,3,1,2,2,976,3,6092871712,5998873026,169913458,365284747,365301131,3,1,18994806876,73389,73389,2,2,2,365284751,12,3,93328,6486185,1534870,88444,50577,6092871712,2823210,125994675,2183
45054.93,180,262144,64,310030,20428882028,11,39646821,1567,13,13,2947,2049,26,594,3029868,2,121957,11,0,120762086,1190,1,4,415,386156657,8,1544626628,10,54369,22899,2,72,594,133743770,94660,6579902102,594,452,3,1,2,2,976,3,6549936392,6441843295,184091291,392184611,392184611,3,1,20393599804,73389,73389,2,2,2,392184615,12,3,99304,6776845,1601419,92640,54354,6549936392,2937228,132148567,2183
50059.46,180,262144,64,329694,21724531948,14,46448861,1723,16,16,2947,2176,26,594,3142147,2,129727,11,0,120762086,1190,1,4,415,410789873,8,1643159492,10,57908,23144,2,72,594,139726675,95018,7007164089,594,452,3,1,2,2,976,3,6975307535,6850956455,197322271,417026568,417026568,3,1,21685381568,73389,73389,2,2,2,417026572,12,3,110852,7053920,1664248,96618,57890,6975307535,3045529,138069102,2183
