timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5104.23,16,262144,64,23573,1553422856,111,1,585,532397,13,2976,67,5941,124484256,1172,1,66,3911,1282357,2,230325,585,5191951,19064177,506115838,585,1434,2,1,2,2,738,1,503751068,457421817,36011190,34959904,34976288,2,1,1538235776,73389,73389,2,2,2,34959904,15,3,115205,14482272,1036030,14036,3845,503751068,518361,4154434,8754
10175.80,16,262144,64,27834,1834011078,112,1,585,622691,13,4191,67,5941,124484256,1172,1,66,4536,1440189,2,230325,585,7128666,23736138,588448223,585,1434,2,1,2,2,738,1,585671068,539427187,58242114,41322485,41338869,2,1,1818189340,73389,73389,2,2,2,41322485,15,3,122485,16812215,1165511,16890,4470,585671068,605801,5962315,8754
15308.77,16,262144,64,32039,2111436056,113,2,585,715311,13,5393,67,5941,124749708,1172,1,66,5154,1566536,2,230325,585,9273312,28141508,669859895,585,1434,2,1,2,2,738,1,666673564,620528895,89136572,47639788,47639788,2,1,2096150672,73389,73389,2,2,2,47639788,15,3,128464,19316922,1265584,19814,5088,666673564,695497,8007227,8754
20378.84,16,262144,64,34959,2303597532,113,2,585,787069,13,6189,67,5941,124749708,1172,1,66,5581,1682139,2,230325,585,10538687,32839947,726125628,585,1434,2,1,2,2,738,1,722641308,676673977,115696959,51999647,52016031,2,1,2287984468,73389,73389,2,2,2,51999647,15,3,130800,21754381,1341173,23059,5516,722772380,764154,9197149,8754
25445.08,16,262144,64,38243,2519879564,114,2,585,874113,13,7140,67,5941,124749708,1172,1,66,6063,1824030,2,230325,585,11788112,37333641,789765523,585,1434,2,1,2,2,738,1,785949084,739926434,150906809,56914403,56930787,2,1,2504233732,73389,73389,2,2,2,56914403,15,3,133099,24173826,1418288,30042,5998,785949084,844071,10369939,8754
30638.91,16,262144,64,41622,2742652968,114,2,585,965313,13,8063,67,5941,124749708,1172,1,66,6562,2102187,2,230325,585,13358184,42155668,855376094,585,1434,2,1,2,2,738,1,851222940,805014086,172046595,61990840,61990840,2,1,2727596960,73389,73389,2,2,2,61990840,15,3,133660,27037046,1486156,32814,6496,851222940,932499,11871670,8754
35883.36,16,262144,64,44956,2962477252,115,2,585,1053038,13,9024,67,5941,125015160,1172,1,66,7048,2348203,2,230325,585,15466476,47547131,919404931,585,1434,2,1,2,2,738,1,914923932,869299826,236064880,66985357,66985357,2,1,2947355708,73389,73389,2,2,2,66985357,15,3,141805,29875484,1615189,35357,6982,914923932,1017681,13850604,8754
41849.70,16,262144,64,49102,3235782220,116,2,585,1161914,13,10210,67,5941,125280612,1172,1,66,7662,2541954,2,230325,585,17662922,53532901,1000294497,585,1434,2,1,2,2,738,1,995402140,949303581,299979701,73190131,73206515,2,1,3220365764,73389,73389,2,2,2,73190131,15,3,143910,32873179,1725665,38880,7596,995402140,1123034,15936181,8754
46878.77,16,262144,64,53654,3535694804,116,2,585,1274805,13,11451,67,5941,125280612,1172,1,66,8331,2673953,2,230325,585,19258639,57989728,1088420398,585,1434,2,1,2,2,738,1,1083089308,1036927129,407225910,80009305,80009305,2,1,3519688524,73389,73389,2,2,2,79992921,15,3,149006,35297205,1846443,42003,8265,1083089308,1232802,17411091,8754
51927.28,16,262144,64,59804,3940876886,117,2,585,1417406,13,13185,67,5941,125280612,1172,1,66,9232,2753001,2,230325,585,22330061,62856694,1207080696,585,1434,2,1,2,2,738,1,1201185180,1155333914,442885463,89208033,89224417,2,1,3925153452,73389,73389,2,2,2,89208033,15,3,153201,37601619,1975498,45761,9167,1201185180,1371645,20353542,8754
56952.59,16,262144,64,77173,5085277066,120,2,585,1643100,13,18084,67,5941,125811516,1172,1,66,11782,2808733,2,230325,585,26387467,66491968,1542698441,585,1434,2,1,2,2,738,1,1535418780,1489906734,593949274,115225320,115225320,2,1,5069193184,73389,73389,2,2,2,115208936,15,3,163633,39535864,2167949,51046,11716,1535418780,1592054,24218340,8754
61965.04,16,262144,64,97928,6453150722,124,2,585,1887945,13,23962,67,5941,126571674,1172,1,66,14833,2854088,2,230325,585,33386609,70886061,1944235854,585,1434,2,1,2,2,738,1,1935319452,1889756813,703948704,146300501,146316885,2,1,6437222044,73389,73389,2,2,2,146300501,15,3,174595,41338782,2428216,59372,14767,1935319452,1828573,30957097,8754
66975.98,16,262144,64,119199,7854865086,127,2,585,2125382,13,29933,67,5941,127102578,1172,1,66,17961,2891171,2,230325,585,40009588,74758059,2356035231,585,1434,2,1,2,2,738,1,2345443740,2299444646,755188715,178178498,178178498,2,1,7839853912,73389,73389,2,2,2,178178498,15,3,185086,43023441,2694591,65516,17896,2345443740,2059866,37314870,8754
71981.88,16,262144,64,151014,9951041910,133,2,585,2416540,13,38893,67,5941,127886868,1172,1,66,22633,2905256,2,230325,585,49262518,77340321,2970684805,585,1434,2,1,2,2,738,1,2957681052,2912251384,793131625,225814412,225814412,2,1,9935113232,73389,73389,2,2,2,225798028,15,3,204475,44233058,3003734,72651,22567,2957681052,2343889,46259039,8754
76987.18,16,262144,64,195054,12852909018,140,2,585,2757194,13,51321,67,5941,128948676,1172,1,66,29104,2908678,2,230325,585,60175090,77956499,3821998095,585,1434,2,1,2,2,738,1,3805716892,3760475343,821449980,291755511,291771895,2,1,12837242484,73389,73389,2,2,2,291755511,15,3,232748,45065713,3318100,81079,29038,3805716892,2676115,56857631,8754
81992.29,16,262144,64,245683,16189054294,148,2,585,3118190,13,65571,67,5941,130275936,1172,1,66,36539,2910503,2,230325,585,71450495,78041956,4800427917,585,1434,2,1,2,2,738,1,4780368284,4735802024,852392509,367581307,367581307,2,1,16172856612,73389,73389,2,2,2,367564923,15,3,254451,45828791,3526522,90009,36473,4780368284,3028181,67924791,8754
86997.01,16,262144,64,297633,19612231134,157,2,585,3478700,13,80195,67,5941,131603196,1172,1,66,44171,2911525,2,230325,585,82686117,78050126,5804659421,585,1434,2,1,2,2,738,1,5780709788,5736487648,879003247,445393441,445393441,2,1,19596590508,73389,73389,2,2,2,445377057,15,3,273597,46558899,3711994,98924,44105,5780709788,3379776,78974759,8754
92001.06,16,262144,64,351858,23185033278,166,2,585,3868866,13,95470,67,5941,132930456,1172,1,66,52140,2912245,2,230325,585,93417264,78055293,6853234627,585,1434,2,1,2,2,738,1,6825222556,6780887401,902815650,526576361,526592745,2,1,23169359884,73389,73389,2,2,2,526576361,15,3,298879,47310142,3895917,108127,52074,6825222556,3760739,89522133,8754
