timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5106.81,25,262144,64,23637,1557617160,111,4,585,674792,18,2993,67,11792,124484256,1172,1,66,3920,1059522,2,259905,585,6211623,26548846,507257989,585,1555,2,1,2,2,980,1,504799644,458593546,39135172,35058208,35058208,2,1,1542561152,73389,73389,2,2,2,35058208,25,3,129993,19498469,1255766,47481,3854,504799644,627311,4955121,12293
10197.80,25,262144,64,29285,1929622652,112,4,585,808874,18,4587,67,11792,124484256,1172,1,66,4747,1152657,2,259905,585,8132503,30709658,616306381,585,1555,2,1,2,2,980,1,613327260,567379929,60596424,43497239,43513623,2,1,1913878516,73389,73389,2,2,2,43497239,25,3,135197,21591301,1380990,51032,4681,613327260,757842,6751026,12293
15209.56,25,262144,64,49938,3290835768,116,4,585,1052687,18,10440,67,11792,125280612,1172,1,66,7784,1205017,2,259905,585,12794291,33643401,1015997630,585,1555,2,1,2,2,980,1,1011392924,965401638,99827768,74441348,74457732,2,1,3275419312,73389,73389,2,2,2,74441348,25,3,140031,23342286,1582916,56691,7718,1011392924,995996,11211883,12293
20225.02,25,262144,64,70794,4664833854,119,5,585,1293289,18,16292,67,11792,125546064,1172,1,66,10844,1258055,2,259905,585,20347118,37747475,1418717613,585,1555,2,1,2,2,980,1,1412473244,1367059369,195461118,105668303,105668303,2,1,4649405332,73389,73389,2,2,2,105668303,25,3,147823,25107736,1851147,62262,10778,1412473244,1231027,18496359,12293
25242.43,25,262144,64,92791,6114368674,123,5,585,1538055,18,22509,67,11792,126318288,1172,1,66,14079,1282813,2,259905,585,27932666,41849398,1844460224,585,1555,2,1,2,2,980,1,1836491164,1790705157,286162780,138617293,138617293,2,1,6099160892,73389,73389,2,2,2,138617293,25,3,161210,26771928,2127803,67894,14013,1836491164,1470161,25805761,12293
30249.51,25,262144,64,129512,8534188730,129,5,585,1868941,18,32849,67,11792,127368030,1172,1,66,19474,1298437,2,259905,585,37338546,43701224,2554354452,585,1555,2,1,2,2,980,1,2543624604,2498061524,319838336,193616927,193616927,2,1,8518423892,73389,73389,2,2,2,193600543,25,3,175179,27853184,2419738,75604,19408,2543624604,1793337,34919581,12293
35254.52,25,262144,64,175105,11538364150,137,5,585,2216385,18,45689,67,11792,128417772,1172,1,66,26171,1300983,2,259905,585,49197033,44222293,3435529491,585,1555,2,1,2,2,980,1,3421413788,3376190901,354602063,261888428,261904812,2,1,11523090832,73389,73389,2,2,2,261888428,25,3,198320,28677924,2707617,84879,26105,3421413788,2131506,46490872,12293
40259.50,25,262144,64,229371,15114384174,146,5,585,2604669,18,60990,67,11792,130010484,1172,1,66,34142,1302319,2,259905,585,60521269,44251496,4484309640,585,1555,2,1,2,2,980,1,4466188700,4421570259,383868635,343165334,343165334,2,1,15098288348,73389,73389,2,2,2,343142917,25,3,217759,29471150,2931690,94052,34076,4466188700,2510617,57591464,12293
45264.16,25,262144,64,285899,18838984478,155,5,585,3000414,18,76902,67,11792,131337744,1172,1,66,42449,1303273,2,259905,585,70880118,44257101,5577314326,585,1555,2,1,2,2,980,1,5555003804,5510449807,405950920,427806993,427823377,2,1,18823507692,73389,73389,2,2,2,427806993,25,3,231456,30264579,3116797,103763,42383,5555003804,2896651,67765302,12293
50267.54,25,262144,64,339191,22350641534,164,5,585,3387129,18,91959,67,11792,132665004,1172,1,66,50275,1303740,2,259905,585,81231232,44261485,6607022152,585,1555,2,1,2,2,980,1,6580773276,6536939400,429977978,507630041,507630041,2,1,22335000908,73389,73389,2,2,2,507613657,25,3,254091,30997491,3297556,112304,50209,6580773276,3274825,77935025,12293
55271.61,25,262144,64,393432,25924504320,173,5,585,3787626,18,107247,67,11792,133992264,1172,1,66,58243,1303854,2,259905,585,90986504,44264112,7655305295,585,1555,2,1,2,2,980,1,7625023900,7581707918,456791126,588845729,588862113,2,1,25909212076,73389,73389,2,2,2,588845729,25,3,269715,31722155,3450488,120425,58177,7625023900,3667201,87537869,12293
