timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5092.93,28,262144,64,24232,1596876532,111,2,585,692362,3,3155,67,5,124484256,1172,1,66,4010,1415291,2,364879,585,6827355,23198680,519213655,585,1783,2,1,2,2,910,1,516727196,470083089,43565045,35948977,35948977,2,1,1581754988,73389,73389,2,2,2,35948977,14,3,253906,16568050,1877675,33333,3944,516727196,659029,4947810,19208
10144.61,28,262144,64,29914,1971110248,112,2,585,814440,3,4758,67,5,124484256,1172,1,66,4842,1594912,2,364879,585,9399385,27599217,628788846,585,1783,2,1,2,2,910,1,625779100,579474873,74386918,44453544,44453544,2,1,1955955936,73389,73389,2,2,2,44453544,14,3,259158,18880416,2031886,38589,4776,625779100,775851,7364997,19208
15191.40,28,262144,64,34977,2304801312,113,2,585,926147,3,6192,67,5,124749708,1172,1,66,5584,1724979,2,364879,585,11849759,31982020,726515163,585,1783,2,1,2,2,910,1,723034524,677092879,117776480,52032415,52032415,2,1,2289426260,73389,73389,2,2,2,52032415,14,3,262411,21223953,2148440,43717,5518,723034524,882430,9697972,19208
20197.01,28,262144,64,49971,3292998456,116,2,585,1133698,3,10394,67,5,125280612,1172,1,66,7788,1792987,2,364879,585,16463162,35389904,1016615632,585,1783,2,1,2,2,910,1,1011917212,966017429,161540754,74490500,74490500,2,1,3276861104,73389,73389,2,2,2,74474116,14,3,276701,23104781,2389097,53153,7722,1011917212,1080545,14070889,19208
25210.99,28,262144,64,89055,5868223050,122,2,585,1459986,3,21435,67,5,126076968,1172,1,66,13528,1802674,2,364879,585,25635598,36350625,1771952267,585,1783,2,1,2,2,910,1,1764270492,1718756085,186691616,133024760,133024760,2,1,5853089440,73389,73389,2,2,2,133024760,14,3,288565,24160138,2581180,61683,13462,1764270492,1398303,23051366,19208
30222.91,28,262144,64,96311,6346382654,123,2,585,1659082,3,23469,67,5,126318288,1172,1,66,14596,1847540,2,364879,585,29882432,40588174,1912592673,585,1783,2,1,2,2,910,1,1904255388,1858529092,246308225,143890338,143890338,2,1,6331174872,73389,73389,2,2,2,143890338,14,3,291694,26035644,2775760,67239,14530,1904255388,1591843,27103307,19208
35369.37,28,262144,64,101620,6696436894,124,2,585,1815819,3,24972,67,5,126571674,1172,1,66,15378,1976794,2,364879,585,32499677,44719796,2015584417,585,1783,2,1,2,2,910,1,2006753692,1960852655,294063708,151835690,151852074,2,1,6680770360,73389,73389,2,2,2,151835690,14,3,294626,28193606,2903664,71874,15312,2006753692,1743945,29592756,19208
40395.52,28,262144,64,106686,7030300434,125,4,585,1956392,3,26411,67,5,126837126,1172,1,66,16119,2046657,2,364879,585,34939036,49211137,2113186672,585,1783,2,1,2,2,910,1,2103878044,2058396710,361632935,159439137,159439137,2,1,7015322028,73389,73389,2,2,2,159439137,14,3,302730,30419648,3059606,76815,16053,2103878044,1879577,31876204,19208
45420.12,28,262144,64,114273,7529935266,126,4,585,2167499,3,28535,67,5,126837126,1172,1,66,17235,2127968,2,364879,585,38328507,53300611,2260139713,585,1783,2,1,2,2,910,1,2250154396,2204500456,411577602,170790202,170790202,2,1,7514768888,73389,73389,2,2,2,170790202,14,3,309349,32387740,3278230,86705,17169,2250154396,2080794,35042693,19208
50440.06,28,262144,64,121106,7980228350,128,4,585,2358268,3,30507,67,5,127102578,1172,1,66,18237,2184384,2,364879,585,42067130,57246441,2392224745,585,1783,2,1,2,2,910,1,2381619612,2336063305,445703270,181010771,181033188,2,1,7964473924,73389,73389,2,2,2,181010771,14,3,319485,34353884,3481394,93525,18172,2381619612,2264743,38579733,19208
55488.33,28,262144,64,128541,8470287822,129,4,585,2555348,3,32589,67,5,127368030,1172,1,66,19330,2218132,2,364879,585,44925423,61036611,2536025241,585,1783,2,1,2,2,910,1,2524750236,2479372805,573508026,192152718,192169102,2,1,8454719592,73389,73389,2,2,2,192152718,14,3,326388,36311612,3709057,99643,19265,2524750236,2455705,41211294,19208
