timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5303.56,200,262144,64,41776,2753264350,311,44,576,2519054,0,11,16228,42,67,12928,140756,112283586,1154,1,4,11898,51317127,19,204622504,66,7579,4482032,2,281115,576,48397847,221827165,906362502,576,1969,0,3,1,2,2,13006,3,901622929,869904219,288845743,52650689,52798145,3,1,2735279956,73389,73389,2,2,2,52601541,17,3,276927,50482453,2351227,74388,7515,901622929,2444666,46054586,33901
10609.61,408,262144,64,83521,5503483540,583,86,576,3936644,0,11,32688,42,67,12928,140756,116928996,1154,1,4,11898,103513115,19,413212412,66,14740,8445483,2,281115,576,102588386,492440407,1773918654,576,1969,0,3,1,2,2,13006,3,1764601454,1735631113,633818644,105561807,105692879,3,1,5479954616,73389,73389,2,2,2,105383746,17,3,411321,99593416,3986202,243678,14676,1764601454,3692966,98601677,33901
15822.49,615,262144,64,125925,8297771772,853,126,576,5272581,0,11,49374,42,67,12928,140756,117508164,1154,1,4,11898,156344165,19,624665928,66,21986,12414499,2,281115,576,154561703,753366824,2654436205,576,1969,0,3,1,2,2,13006,3,2640501474,2615128804,964373316,159295999,159457680,3,1,8281688044,73389,73389,2,2,2,159263235,17,3,569744,150017629,5683736,334102,21924,2640501474,4938479,148877855,33901
21251.54,7717,262144,64,165884,10931028128,1112,156,576,6552569,0,11,65152,42,67,12928,140756,117508164,1154,1,4,11898,206303454,19,824609184,66,28859,18040288,2,281115,576,204224802,1034796814,3488146120,576,1969,0,3,1,2,2,13006,3,3469833658,3444500561,1315583941,209919390,210066846,3,1,10914956344,73389,73389,2,2,2,209903010,17,3,699710,202650439,7240098,461544,28798,3469833658,6091025,196981552,33901
26402.33,7876,262144,64,201819,13298926644,1350,191,576,7639695,0,11,79357,42,67,12928,140756,117508164,1154,1,4,11898,251290957,19,1004711708,66,35091,22286792,2,281115,576,247867181,1291438042,4242848504,576,1969,0,3,1,2,2,13006,3,4220579438,4189487278,1637399194,255452119,255665111,3,1,13283510220,73389,73389,2,2,2,255452123,17,3,825406,249737925,8689273,500406,35031,4220579438,7139289,239176085,33901
31576.59,8076,262144,64,244694,16123925474,1618,227,576,8958661,0,11,96198,42,67,12928,140756,117508164,1154,1,4,11898,304733875,19,1218031364,66,42442,25933633,2,281115,576,302938827,1561290280,5136160463,576,1969,0,3,1,2,2,13006,3,5109197935,5078959038,1986257230,309767943,309964551,3,1,16107081100,73389,73389,2,2,2,309751563,17,3,951208,298908969,10267703,558974,42378,5109197935,8399687,292669191,33901
36795.20,8272,262144,64,291110,19182700652,1920,270,576,10357698,0,11,114544,42,67,12928,140756,117508164,1154,1,4,11898,362781989,19,1450611380,66,50402,30613114,2,281115,576,359540785,1821090229,6102037007,576,1969,0,3,1,2,2,13006,3,6070005931,6042120965,2318159821,368592797,368773021,3,1,19166825476,73389,73389,2,2,2,368592801,17,3,1076454,351643766,11919843,619180,50342,6070137003,9738714,347613512,33901
41932.77,8496,262144,64,336697,22185324520,2215,318,576,11701410,0,11,132446,42,67,12928,140756,117508164,1154,1,4,11898,419646956,19,1677554048,66,58231,34403533,2,281115,576,415320128,2083198961,7051380818,576,1969,0,3,1,2,2,13006,3,7014362356,6987121049,2650562129,426349261,426562253,3,1,22169309636,73389,73389,2,2,2,426332881,17,3,1229006,405024747,13610967,677521,58171,7014362356,11023889,401698487,33901
46975.57,8737,262144,64,387235,25516242046,2541,366,576,13297229,0,11,152382,42,67,12928,140756,117508164,1154,1,4,11898,482740300,19,1930186108,66,66935,37706850,2,281115,576,476604996,2334033483,8108566324,576,1969,0,3,1,2,2,13006,3,8066002045,8035835008,2980851083,490404041,490600649,3,1,25500158196,73389,73389,2,2,2,490387661,17,3,1387510,458132002,15491712,813811,66875,8066002045,12483418,461099594,33901
52054.30,8956,262144,64,439246,28942994272,2876,404,585,14860769,2,11,172924,42,67,12928,140756,118949768,1172,1,4,11898,547876212,19,2190729148,66,75882,40256489,2,281115,585,540513142,2573716752,9193567619,583,2020,2,3,1,2,2,13006,3,9145327660,9114881862,3305101997,556314531,556445603,3,1,28928355644,73389,73389,2,2,2,556314535,17,3,1544444,507955467,17477680,869180,75820,9145327660,13991589,523019157,34125
