timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.56,262144,64,71944,4740731158,23,23,864452,126,585,591785,10,16551,26,26,125546064,1172,1,25,10976,1212,2,3274,585,10649636,10425,1440513328,585,218,2,1,2,2,830,1,1435148700,1389208934,22363415,107384305,107400689,2,1,4724909420,73389,73389,2,2,2,107384305,14,3,174812,1105466,602969,11739,10951,1435148700,580046,10045935,1806
10028.33,262144,64,98995,6523343086,23,23,1265956,131,585,878376,10,24253,26,26,126571674,1172,1,25,14950,56385,2,3274,585,16703900,2781897,1963445388,585,218,2,1,2,2,830,1,1956028828,1910250843,68846252,147912166,147912166,2,1,6507414408,73389,73389,2,2,2,147895782,14,3,186781,2774065,893075,22713,14925,1956028828,855663,15810041,1806
15032.46,262144,64,145744,9603809026,23,23,2219027,139,585,1235610,10,37392,26,26,127886868,1172,1,25,21817,67260,2,3274,585,25505210,4363415,2866818041,585,218,2,1,2,2,830,1,2855969180,2810722763,107023128,217916053,217932437,2,1,9588306332,73389,73389,2,2,2,217916053,14,3,205974,3944229,1154335,32694,21792,2855969180,1202916,24350113,1806
20043.65,262144,64,183229,12073698586,23,23,3447877,145,585,1537455,10,47995,26,26,128683224,1172,1,25,27324,90045,2,3274,585,34129855,6030450,3591636387,585,218,2,1,2,2,830,1,3578044828,3532706784,149977062,274046183,274062567,2,1,12058032052,73389,73389,2,2,2,274046183,14,3,220812,5064159,1367095,41525,27300,3578044828,1495930,32762699,1806
25048.23,262144,64,206190,13586699694,23,23,3928743,149,585,1804143,10,54480,26,26,129214128,1172,1,25,30695,136846,2,3274,585,41549169,9909889,4035086230,585,218,2,1,2,2,830,1,4019757468,3974962109,275342942,308434806,308451190,2,1,13571131464,73389,73389,2,2,2,308434806,14,3,256705,6758521,1788925,51075,30670,4019757468,1753068,39760971,1806
30052.79,262144,64,263588,17368847222,23,23,5293312,158,585,2215395,10,70572,26,26,130541388,1172,1,25,39128,137220,2,3274,585,51607080,9952323,5144598211,585,218,2,1,2,2,830,1,5125087644,5080596596,299631401,394399251,394399251,2,1,17353567044,73389,73389,2,2,2,394399251,14,3,284796,7542304,1980421,59977,39103,5125087644,2155418,49627855,1806
35070.42,262144,64,299498,19734986678,23,23,6148318,165,585,2565657,10,80771,26,26,131603196,1172,1,25,44406,162009,2,3274,585,58888965,12220103,5839088619,585,218,2,1,2,2,830,1,5816885660,5772389421,352081017,448182595,448182595,2,1,19720034180,73389,73389,2,2,2,448182595,14,3,297435,9095830,2279974,74007,44381,5816885660,2491650,56610664,1806
40076.83,262144,64,317852,20944470722,23,23,6511391,168,585,2804882,10,85976,26,26,132134100,1172,1,25,47103,195416,2,3274,585,64871639,15881854,6194017198,585,218,2,1,2,2,830,1,6170386844,6125958804,387354479,475670124,475670124,2,1,20929485456,73389,73389,2,2,2,475670124,14,3,316795,10812906,2643866,85389,47078,6170386844,2719493,62228706,1806
45086.20,262144,64,337216,22220411578,23,23,6882998,171,585,3046238,10,91420,26,26,132665004,1172,1,25,49944,228867,2,3274,585,71728057,19973282,6567755919,585,218,2,1,2,2,830,1,6542631324,6498845674,494855265,504662822,504679206,2,1,22205164168,73389,73389,2,2,2,504662822,14,3,334435,12500587,2991380,95133,49919,6542631324,2951105,68738434,1806
50093.50,262144,64,358033,23591841694,23,23,7253735,174,585,3293384,10,97265,26,26,132930456,1172,1,25,53005,277416,2,3274,585,78560083,24139889,6970569376,585,218,2,1,2,2,830,1,6943842716,6899764437,550600739,535840625,535840625,2,1,23576987500,73389,73389,2,2,2,535840625,14,3,357811,14276469,3364287,105105,52980,6943842716,3188279,75197318,1806
