timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.66,262144,64,55154,3634276322,0,0,14,14,355388,124,585,451405,4,11864,17,19,125280612,1172,1,16,8498,1084,2,88,585,8693843,2761,1115733125,585,334,2,1,2,2,310,1,1111531932,1065741513,19987816,82251754,82251754,2,1,3618356280,73389,73389,2,2,2,82235370,4,3,68625,873196,478520,9714,8482,1111531932,441691,8214945,1694
10011.09,262144,64,110885,7306813358,0,0,14,14,355388,133,585,896723,4,27555,17,19,126837126,1172,1,16,16688,1274,2,88,585,18660696,5313,2193361427,585,334,2,1,2,2,310,1,2185011612,2139260983,42296950,165703414,165719798,2,1,7290950216,73389,73389,2,2,2,165703414,4,3,94901,1659667,682308,18566,16672,2185011612,878157,17978244,1694
15015.20,262144,64,174641,11507689994,0,0,14,14,361909,144,585,1351628,4,45546,17,19,128417772,1172,1,16,26054,1433,2,88,585,28497157,5755,3425743557,585,334,2,1,2,2,310,1,3412631964,3367237792,70628993,261194267,261194267,2,1,11492547748,73389,73389,2,2,2,261194267,4,3,130735,2490243,930156,28474,26038,3412631964,1323154,27567254,1694
20020.16,262144,64,239192,15761271050,0,0,14,14,369503,154,585,1784862,4,63699,17,19,130010484,1172,1,16,35537,1493,2,88,585,37987973,8511,4673541001,585,334,2,1,2,2,310,1,4655587740,4610744217,86150718,357860450,357860450,2,1,15745859800,73389,73389,2,2,2,357860450,4,3,140660,3308225,1110143,38283,35521,4655587740,1746579,36877956,1694
25024.06,262144,64,294108,19379889474,0,0,14,14,376629,164,585,2187022,4,79239,17,19,131603196,1172,1,16,43606,1551,2,88,585,47872770,9379,5735091574,585,334,2,1,2,2,310,1,5713076636,5668555003,111920347,440104012,440120396,2,1,19364576528,73389,73389,2,2,2,440104012,4,3,166338,4021705,1308748,46496,43590,5713076636,2140526,46564648,1694
30029.23,262144,64,336795,22192555470,0,0,14,14,557463,171,585,2525277,4,91304,17,19,132665004,1172,1,16,49873,14373,2,88,585,56129306,563545,6559779531,585,334,2,1,2,2,310,1,6534635932,6490733907,168232590,504034197,504050581,2,1,22177504668,73389,73389,2,2,2,504034197,4,3,194182,4869604,1497492,53798,49857,6534635932,2471479,54633247,1694
35036.81,262144,64,347306,22885120694,0,0,14,14,2936200,173,585,2658815,4,94283,17,19,132665004,1172,1,16,51419,125877,2,88,585,59511197,5163409,6763290824,585,334,2,1,2,2,310,1,6737273244,6693224264,257263949,519773571,519773571,2,1,22870037124,73389,73389,2,2,2,519773571,4,3,204518,7265827,1708368,59574,51403,6737273244,2599241,57803932,1694
40044.22,262144,64,355783,23443589338,7894,1,59,59,5897189,174,585,2767126,4,96651,62,19,132930456,1172,1,61,52708,221284,2,358,585,62196924,9740018,6927066605,585,334,2,1,2,2,310,1,6900326812,6856424335,346891137,532463806,532480190,2,1,23428407464,73389,73389,2,2,2,532463806,4,3,213027,9705228,1868343,64972,52647,6900326812,2702154,60330372,1694
45056.74,262144,64,373044,24581189148,41326,3,59,59,7350199,177,585,2972150,4,101523,62,19,133461360,1172,1,61,55240,278188,2,358,585,67481598,13656713,7260296422,585,334,2,1,2,2,310,1,7232201116,7188940616,392744027,558315094,558331478,2,1,24565864136,73389,73389,2,2,2,558315094,4,3,227665,11578086,2146766,74131,55180,7232201116,2898019,65335442,1694
50059.69,262144,64,398005,26225793160,41326,3,59,59,7849072,181,585,3248011,4,108503,62,19,133992264,1172,1,61,58911,319812,2,358,585,73891378,16799969,7743366078,585,334,2,1,2,2,310,1,7713366428,7669790542,433271123,595689479,595705863,2,1,26210337076,73389,73389,2,2,2,595689479,4,3,242033,13142487,2501758,84839,58850,7713366428,3163172,71388973,1694
