timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5014.34,13,262144,64,33628,2215512430,1,5015799,286,14,14,6192,269,4,576,342261,0,3,13192,17,1,106612566,1154,1,4,214,41750241,4,166677684,16,6148,29108,2,703,576,15054498,1706408,738209762,576,31,0,3,1,2,2,536,3,734794906,700605690,23057008,42395637,42428405,3,1,2204573156,73389,73389,2,2,2,42395641,4,3,65716,1668805,432581,15504,6132,734794906,326757,14620765,908
10018.46,103,262144,64,96498,6359253252,3,15320089,835,14,14,6192,675,18,576,1185600,0,3,37950,17,1,116627346,1154,1,4,214,120112638,4,480450552,16,16929,158766,2,703,576,53836347,8393768,2045345730,576,31,0,3,1,2,2,536,3,2035558873,2004987954,81995085,122089328,122089328,3,1,6348645088,73389,73389,2,2,2,122089332,4,3,112189,7235092,1364232,59748,16913,2035558873,1125852,52471214,908
15028.21,131,262144,64,130741,8615721886,16,34718612,1112,28,28,6192,888,21,576,1539601,0,3,51449,20,1,116928996,1154,1,4,214,162886370,4,651351528,19,22801,198017,2,728,576,70988592,10581265,2757125311,576,31,0,3,1,2,2,536,3,2743988360,2715632872,121907273,165455495,165471879,3,1,8603685772,73389,73389,2,2,2,165455499,4,3,163641,9271414,1840051,77427,22772,2743988360,1462174,69147491,908
20047.07,199,262144,64,199442,13141916840,17,44682808,1649,31,31,6192,1334,28,576,2452766,0,3,78499,20,1,117218580,1154,1,4,214,248620926,4,994160660,19,34719,359488,2,728,576,113341258,17777238,4202885691,576,31,0,3,1,2,2,536,3,4182752835,4141558408,184972929,252446099,252478867,3,1,13127197180,73389,73389,2,2,2,252446103,4,3,195336,15369552,2909826,124647,34686,4182752835,2328119,110433320,908
25052.69,217,262144,64,242035,15949604920,31,62768906,1992,33,33,6192,1612,33,576,2895902,0,3,95248,20,1,117218580,1154,1,4,214,301654870,4,1206619480,19,42172,399998,2,728,576,133389972,20193797,5104787840,576,31,0,3,1,2,2,536,3,5080453813,5026778555,227088879,306384647,306384647,3,1,15932001676,73389,73389,2,2,2,306384651,4,3,215605,17710512,3339155,144069,42137,5080453813,2751833,130054131,908
30057.65,217,262144,64,269569,17764232716,31,64569205,2197,33,33,6192,1789,33,576,3073733,0,3,106075,20,1,117218580,1154,1,4,214,335865716,4,1343462864,19,47176,400231,2,728,576,141180787,20194322,5712269186,576,31,0,3,1,2,2,536,3,5685275129,5600936428,237335311,341098791,341115175,3,1,17737137164,73389,73389,2,2,2,341098795,4,3,220571,18111432,3425782,149665,47141,5685275129,2924068,137758550,908
35062.38,239,262144,64,317904,20948554290,32,68547752,2509,49,49,6192,2104,36,576,3566147,0,3,125071,22,1,117508164,1154,1,4,214,395976642,4,1583841956,21,55802,449654,2,4277,576,163341122,22624869,6755144276,576,31,0,3,1,2,2,536,3,6723336497,6606698916,267655884,402101002,402101002,3,1,20909252136,73389,73389,2,2,2,402101006,4,3,271850,20522818,4021888,171336,55751,6723336497,3394811,159322980,908
40066.88,239,262144,64,349896,23057151474,47,86999212,2663,49,49,6192,2312,36,576,3747757,0,3,137618,22,1,117508164,1154,1,4,214,435651381,4,1742540880,21,61640,449987,2,4277,576,172539547,22627974,7458581432,576,31,0,3,1,2,2,536,3,7423665388,7274011856,296028445,442424063,442424063,3,1,23006051308,73389,73389,2,2,2,442424067,4,3,285349,20968280,4120002,178261,61589,7423665388,3569496,168423643,908
45077.26,256,262144,64,387391,25527322348,47,92321430,2981,58,58,6192,2550,39,576,4181431,0,3,152279,22,1,117508164,1154,1,4,214,482082258,4,1928264264,21,68637,506471,2,4277,576,191477581,25343363,8306380370,576,31,0,3,1,2,2,536,3,8267521543,8056809445,323881376,489556391,489589159,3,1,25456932364,73389,73389,2,2,2,489556395,4,3,335880,23505369,4652416,199739,68577,8267521543,3981692,186828619,908
50086.04,318,262144,64,444761,29308291752,48,100523381,3460,60,60,6192,2919,48,612,5044027,2,3,174689,22,1,123713956,1226,1,4,214,552873919,4,2211301964,21,79772,662898,2,4277,612,226558608,32099622,9653555756,610,120,2,3,1,2,2,536,3,9608266440,9258853210,377693709,561455419,561504571,3,1,29193977884,73389,73389,2,2,2,561422655,4,3,367098,29312571,5549712,246050,79710,9608266440,4797977,221014111,1345
