timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.87,262144,64,80013,5272195662,0,3184,3,64,64,42405,128,585,736962,4,18883,67,37,125811516,1172,1,66,12199,15777,2,381,585,12452199,525751,1596296316,585,202,2,1,2,2,217,1,1590075804,1544587376,22757242,119462299,119478683,1,2,1,5256341156,73389,73389,2,2,2,119462299,2,3,354923,1739163,1645099,13519,12133,1590075804,723443,10806805,3467
10024.07,262144,64,92426,6090448034,0,280730,17,64,64,2243818,130,585,896768,4,22410,67,37,126318288,1172,1,66,14023,78659,2,381,585,15805104,4687807,1836524889,585,202,2,1,2,2,217,1,1829282204,1783690256,75514870,138060237,138076621,1,2,1,6074650428,73389,73389,2,2,2,138060237,2,3,365084,3882285,1847697,20116,13958,1829282204,876652,13956566,3467
15029.01,262144,64,104026,6854912866,0,604352,34,64,64,4766198,132,585,1042110,4,25686,67,37,126837126,1172,1,66,15731,149277,2,381,585,19926904,9550887,2061229295,585,202,2,1,2,2,217,1,2053022108,2007188298,139349174,155450077,155466461,1,2,1,6839803388,73389,73389,2,2,2,155450077,2,3,378928,6226302,2056015,26551,15665,2053022108,1015559,17870094,3467
20036.04,262144,64,125241,8252691762,0,607911,35,64,64,5318349,135,585,1296559,4,31635,67,37,127102578,1172,1,66,18847,199042,2,381,585,26197661,13502823,2471310884,585,202,2,1,2,2,217,1,2461442460,2415703973,178851576,187223737,187223737,1,2,1,8237123532,73389,73389,2,2,2,187207353,2,3,397193,7975998,2425169,36756,18781,2461442460,1259803,23771435,3467
25041.52,262144,64,144500,9522016790,0,614485,37,64,64,6062582,139,585,1539184,4,37085,67,37,127886868,1172,1,66,21677,240581,2,381,585,32591734,17110567,2843769174,585,202,2,1,2,2,217,1,2832376220,2786793474,216615230,216058628,216075012,1,2,1,9506579632,73389,73389,2,2,2,216058628,2,3,415099,9642496,2765660,46710,21611,2832376220,1492474,29824527,3467
30047.30,262144,64,169546,11172191362,1,1624345,40,64,64,6485917,143,585,1830619,4,44157,67,37,128417772,1172,1,66,25354,269209,2,381,585,40152878,20299226,3327651160,585,202,2,1,2,2,217,1,3314327964,3269119445,282921681,253564085,253580469,1,2,1,11156819740,73389,73389,2,2,2,253564085,2,3,442729,11033106,3282610,59499,25288,3314327964,1771120,36869249,3467
35051.43,262144,64,213036,14037748218,1,1624345,40,64,64,6706474,150,585,2184154,4,56346,67,37,129479580,1172,1,66,31741,270964,2,381,585,50412058,21076003,4168041109,585,202,2,1,2,2,217,1,4151484828,4106836587,319510896,318696335,318696335,1,2,1,14022638740,73389,73389,2,2,2,318696335,2,3,468948,11824322,3603411,68129,31675,4151484828,2116025,46808307,3467
40055.59,262144,64,271429,17885369518,1,1624345,40,64,64,6706474,160,585,2645764,4,72876,67,37,130806840,1172,1,66,40320,271254,2,381,585,60922324,21076478,5296824532,585,202,2,1,2,2,217,1,5275951516,5231618262,344438882,406149565,406149565,1,2,1,17869859964,73389,73389,2,2,2,406133181,2,3,485084,12651316,3781826,76996,40254,5275951516,2568768,57140138,3467
45059.88,262144,64,327921,21608069034,1,1624345,40,64,64,6706474,169,585,3109942,4,88776,67,37,132399552,1172,1,66,48622,271496,2,381,585,69874696,21077827,6389179975,585,202,2,1,2,2,217,1,6364111260,6319871293,366001850,490754138,490754138,1,2,1,21592461176,73389,73389,2,2,2,490737754,2,3,508394,13462446,3975711,85594,48556,6364111260,3024348,65898641,3467
50063.37,262144,64,384565,25340211184,1,1624345,40,64,64,6706474,179,585,3560657,4,104773,67,37,133726812,1172,1,66,56939,271711,2,381,585,81246187,21080256,7483476710,585,202,2,1,2,2,217,1,7454237084,7410949241,396224935,575567829,575584213,1,2,1,25324984476,73389,73389,2,2,2,575567829,2,3,527116,14249936,4175265,94752,56873,7454237084,3465905,77070158,3467
