timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.84,4,262144,64,44848,2955399364,15,26813130,84,25,25,72,122,585,603750,3,8994,28,23,125015160,1172,1,27,6996,70795,2,33316,585,9583895,3059003,916748355,585,1127,2,1,2,2,626,1,913088924,867225708,68904523,66821517,66837901,1,2,1,2940146748,73389,73389,2,2,2,66821517,14,3,213439,2710665,1487621,20343,6969,913088924,583407,8094588,5436
10016.52,4,262144,64,76464,5038546590,15,26900920,85,29,29,72,127,585,936207,3,17892,28,23,125811516,1172,1,27,11643,79277,2,33316,585,18815243,5197969,1527850051,585,1127,2,1,2,2,626,1,1521787292,1476222678,108860038,114154327,114170711,1,2,1,5022790388,73389,73389,2,2,2,114154327,14,3,227519,3953562,1844189,31194,11612,1521787292,905013,16969453,5436
15022.68,4,262144,64,103174,6798810742,15,26900920,85,29,29,72,132,585,1250091,3,25434,28,23,126837126,1172,1,27,15570,100709,2,33316,585,26801973,7916030,2044619553,585,1127,2,1,2,2,626,1,2036507036,1990747131,154042378,154166092,154182476,1,2,1,6783308048,73389,73389,2,2,2,154166092,14,3,248037,5304501,2239576,43813,15539,2036507036,1206278,24561439,5436
20028.10,4,262144,64,152598,10055381838,15,26900920,85,29,29,72,140,585,1659494,3,39357,28,23,127886868,1172,1,27,22831,103108,2,33316,585,37893734,8633340,3000017329,585,1127,2,1,2,2,626,1,2988220828,2942750486,196329459,228185774,228185774,1,2,1,10039453160,73389,73389,2,2,2,228169390,14,3,274989,6153096,2527708,53793,22800,2988220828,1605701,35365572,5436
25035.50,4,262144,64,180852,11917123158,15,26900920,85,29,29,72,145,585,1970077,3,47341,28,23,128683224,1172,1,27,26981,127467,2,33316,585,46341428,11289476,3546121568,585,1127,2,1,2,2,626,1,3532169628,3486908144,239333553,270489140,270505524,1,2,1,11901522160,73389,73389,2,2,2,270489140,14,3,286197,7530751,2920477,65179,26950,3532169628,1904898,43421841,5436
30044.97,4,262144,64,209986,13836801610,15,26900920,85,33,33,72,150,585,2272647,3,55515,28,23,129214128,1172,1,27,31265,144692,2,33316,585,55596402,14628704,4109327407,585,1127,2,1,2,2,626,1,4093157788,4048122639,314214603,314117451,314133835,1,2,1,13821167844,73389,73389,2,2,2,314117451,14,3,310170,8838818,3362068,76748,31230,4093157788,2195899,52233998,5436
35050.44,4,262144,64,265590,17500846650,15,26900920,85,33,33,72,159,585,2678029,3,71173,28,23,130806840,1172,1,27,39433,145079,2,33316,585,65770111,14860810,5184105238,585,1127,2,1,2,2,626,1,5163753884,5119215848,341962115,397399238,397399238,1,2,1,17485566472,73389,73389,2,2,2,397399238,14,3,351899,9619404,3606694,85634,39398,5163753884,2592395,62163471,5436
40056.46,4,262144,64,299030,19704315830,15,26900920,85,33,33,56466,164,585,3044543,3,80624,28,23,131603196,1172,1,27,44350,154853,2,33316,585,73105865,16430558,5831120787,585,1127,2,1,2,2,626,1,5808234908,5763392686,378120643,447486275,447486275,1,2,1,19689396100,73389,73389,2,2,2,447486275,14,3,364950,10810589,3929566,99566,44315,5808234908,2944977,69175653,5436
45065.15,4,262144,64,338521,22306466962,15,26900920,85,33,33,276250,171,585,3391904,3,91776,28,23,132665004,1172,1,27,50146,160458,2,33316,585,83711795,18206333,6593790129,585,1127,2,1,2,2,626,1,6567928220,6524058550,436815332,506624584,506624584,1,2,1,22291481696,73389,73389,2,2,2,506624584,14,3,384428,11739992,4243202,108855,50111,6567928220,3283049,79468300,5436
50070.61,4,262144,64,374963,24707483636,15,26900920,85,33,33,497950,177,585,3743515,3,102045,28,23,133461360,1172,1,27,55497,169079,2,33316,585,93448867,20665158,7297889486,585,1127,2,1,2,2,626,1,7269294492,7225906274,504509095,561194360,561194360,1,2,1,24691830944,73389,73389,2,2,2,561177976,14,3,422013,12935243,4647428,119695,55462,7269294492,3623820,88801721,5436
