timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.01,262144,64,69435,4575239526,1539,4,64,64,20515,126,0,585,701320,4,15921,67,124,125546064,1172,1,66,10647,15796,2,839,585,12828041,541758,1391931019,585,159,2,1,2,2,265,1,1386652060,1340815314,28067445,103624621,103641005,1,2,1,4559483324,73389,73389,2,2,2,103624621,2,3,353338,1563907,1801201,12798,10581,1386652060,688522,11025811,3708
10012.38,262144,64,91757,6046338998,1539,4,64,64,355104,130,0,585,959802,4,22227,67,124,126318288,1172,1,66,13925,53565,2,839,585,19178420,3739257,1823294791,585,159,2,1,2,2,265,1,1816306076,1770824661,74470766,137054780,137071164,1,2,1,6030410320,73389,73389,2,2,2,137054780,2,3,369366,3146812,2121090,23262,13859,1816306076,936540,17056623,3708
15017.97,262144,64,113012,7447004786,1539,4,64,64,767416,133,0,585,1209867,4,28191,67,124,126837126,1172,1,66,17049,76669,2,839,585,24932777,7045408,2234398485,585,159,2,1,2,2,265,1,2225775004,2180188094,115529486,168900009,168916393,1,2,1,7431600396,73389,73389,2,2,2,168900009,2,3,379461,4785920,2435987,34749,16983,2225775004,1175118,22495789,3708
20021.24,262144,64,157096,10351755478,1539,4,64,64,830568,141,0,585,1552968,4,40628,67,124,128152320,1172,1,66,23528,81223,2,839,585,35091653,8302014,3086824653,585,159,2,1,2,2,265,1,3074990492,3029351799,155270432,234923028,234923028,1,2,1,10335892336,73389,73389,2,2,2,234906644,2,3,411655,5600372,2663662,42229,23462,3074990492,1510739,32427229,3708
25024.45,262144,64,207813,13693595526,1539,4,64,64,839148,149,0,585,1939013,4,54924,67,124,129214128,1172,1,66,30974,81403,2,839,585,44423736,8602115,4066444757,585,159,2,1,2,2,265,1,4050952604,4006211934,192611969,310871704,310888088,1,2,1,13678354976,73389,73389,2,2,2,310871704,2,3,446368,6285714,2857707,49772,30908,4050952604,1889241,41565419,3708
30031.84,262144,64,243832,16067216254,1539,4,64,64,1092047,155,0,585,2269171,4,65073,67,124,130275936,1172,1,66,36269,90630,2,839,585,52643210,10032583,4763141279,585,159,2,1,2,2,265,1,4744978844,4700182559,252351179,364800345,364816729,1,2,1,16051215180,73389,73389,2,2,2,364800345,2,3,469520,7488543,3123428,59700,36203,4744978844,2209471,49520235,3708
35039.22,262144,64,263714,17377104758,1539,4,64,64,1639497,159,0,585,2505687,4,70674,67,124,130541388,1172,1,66,39189,134743,2,839,585,60545577,14207293,5147415793,585,159,2,1,2,2,265,1,5127709084,5083003936,367367286,394579475,394595859,1,2,1,17361496900,73389,73389,2,2,2,394579475,2,3,485975,9131340,3524869,71395,39123,5127709084,2434292,57021650,3708
40044.41,262144,64,289444,19072371406,1539,4,64,64,2065216,163,0,585,2822403,4,77955,67,124,131337744,1172,1,66,42969,157863,2,839,585,67789274,17015703,5644808634,585,159,2,1,2,2,265,1,5623161244,5578620885,479665866,433114965,433131349,1,2,1,19057058460,73389,73389,2,2,2,433114965,2,3,499151,10618860,3873303,82484,42903,5623161244,2739919,63915391,3708
45047.57,262144,64,326557,21518147026,1539,4,64,64,2065216,169,0,585,3169704,4,88350,67,124,132399552,1172,1,66,48421,163654,2,839,585,76959710,18584829,6362160014,585,159,2,1,2,2,265,1,6337765788,6293587419,511837053,488710456,488710456,1,2,1,21503260064,73389,73389,2,2,2,488710456,2,3,525202,11719412,4204340,93512,48355,6337765788,3076192,72755036,3708
50050.95,262144,64,394728,26009969880,1539,4,64,64,2071201,180,1,585,3614621,4,107544,67,124,133992264,1172,1,66,58433,163785,2,839,585,87278489,18714619,7679507421,585,159,2,1,2,2,265,1,7650058652,7606694433,541038644,590791107,590791107,1,2,1,25994087812,73389,73389,2,2,2,590774723,2,3,535182,12554349,4434482,103595,58367,7650058652,3511026,82844116,3708
