timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5015.83,262144,64,45627,3006717360,13324,15,64,64,213870,122,585,570335,4,9209,67,70,125015160,1172,1,66,7151,37843,2,592,585,8751621,3031989,932109477,585,195,2,1,2,2,279,1,928424348,882248845,32454099,67990814,67990814,1,2,1,2991595816,73389,73389,2,2,2,67990814,2,3,379453,2374722,1995220,15244,7085,928424348,555091,6756562,3044
10019.72,262144,64,92100,6068817846,13324,15,64,64,286325,130,585,942071,4,22323,67,70,126318288,1172,1,66,13977,44470,2,592,585,17526182,4230395,1830274805,585,195,2,1,2,2,279,1,1823121820,1777367877,67370339,137579068,137595452,1,2,1,6053478992,73389,73389,2,2,2,137579068,2,3,413673,3301687,2217795,24142,13911,1823121820,917929,15309384,3044
15026.83,262144,64,135086,8901344558,13324,15,64,64,402919,137,585,1300789,4,34428,67,70,127368030,1172,1,66,20292,49262,2,592,585,26542996,4873474,2661170519,585,195,2,1,2,2,279,1,2650841500,2605428908,107808252,201941270,201957654,1,2,1,8885415880,73389,73389,2,2,2,201941270,2,3,436516,4206110,2463775,33729,20226,2650841500,1267060,24080462,3044
20031.03,262144,64,175115,11539019510,13324,15,64,64,962351,144,585,1641046,4,45714,67,70,128417772,1172,1,66,26173,61214,2,592,585,37600645,6708103,3434990814,585,195,2,1,2,2,279,1,3421675932,3376413346,161156778,261904812,261921196,1,2,1,11523811728,73389,73389,2,2,2,261904812,2,3,467417,5164323,2842557,43630,26107,3421675932,1597416,34759594,3044
25036.94,262144,64,212253,13986168078,13324,15,64,64,1014649,150,585,1981486,4,56187,67,70,129479580,1172,1,66,31630,68319,2,592,585,46076575,8167673,4152893879,585,195,2,1,2,2,279,1,4136804764,4091778253,202133756,317510654,317527038,1,2,1,13970468776,73389,73389,2,2,2,317510654,2,3,495767,6271328,3163222,55174,31564,4136804764,1926312,42914703,3044
30040.26,262144,64,265590,17500846650,13324,15,64,64,1321879,159,585,2366248,4,71226,67,70,130806840,1172,1,66,39464,69160,2,592,585,56608098,8591776,5183795116,585,195,2,1,2,2,279,1,5163753884,5119215848,230643714,397399238,397399238,1,2,1,17484845576,73389,73389,2,2,2,397382854,2,3,528642,7069314,3398358,64481,39398,5163753884,2301767,53211731,3044
35046.03,262144,64,318070,20958757570,13324,15,64,64,1512061,168,585,2814101,4,86014,67,70,132134100,1172,1,66,47176,69785,2,592,585,66714723,8595744,6198473077,585,195,2,1,2,2,279,1,6174581148,6130142966,260913565,475981420,475997804,1,2,1,20943182480,73389,73389,2,2,2,475981420,2,3,554670,7839330,3576112,72716,47110,6174581148,2741385,63140698,3044
40052.29,262144,64,345428,22761247730,13324,15,64,64,1637995,172,585,3115279,4,93717,67,70,132665004,1172,1,66,51190,99607,2,592,585,73900233,10832270,6726679552,585,195,2,1,2,2,279,1,6700704156,6656944517,316187364,516953808,516970192,1,2,1,22745967552,73389,73389,2,2,2,516953808,2,3,564951,9245641,3955949,83811,51124,6700704156,3031468,69946427,3044
45057.78,262144,64,365932,24112695982,13324,15,64,64,2296587,176,585,3354262,4,99528,67,70,133461360,1172,1,66,54205,148704,2,592,585,81859631,14810802,7123335709,585,195,2,1,2,2,279,1,7095886236,7052073493,402348603,547668541,547684925,1,2,1,24097415804,73389,73389,2,2,2,547668541,2,3,584912,10997598,4311205,95072,54139,7095886236,3259190,77550120,3044
50066.04,262144,64,386773,25485711028,13324,15,64,64,2926442,179,585,3600152,4,105375,67,70,133726812,1172,1,66,57263,203158,2,592,585,89222013,18881287,7525915689,585,195,2,1,2,2,279,1,7496704412,7453456150,494710991,578862728,578879112,1,2,1,25469960032,73389,73389,2,2,2,578862728,2,3,602274,12685588,4680566,109510,57197,7496704412,3490642,84542978,3044
