timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.00,262144,64,46603,3070945948,0,0,0,20,20,252370,122,585,423087,2,9472,23,14,125015160,1172,1,22,7249,5657,2,84,585,6388740,792931,950438891,585,121,2,1,2,2,276,1,946905500,901002038,17481826,69438639,69455023,1,2,1,3055300116,73389,73389,2,2,2,69438639,2,3,59983,1106697,456679,11231,7227,946905500,411856,5930952,1221
10017.89,262144,64,78542,5175526754,0,0,0,20,20,252370,127,585,759753,2,18455,23,14,125811516,1172,1,22,11942,19709,2,84,585,16549180,3096778,1568058295,585,121,2,1,2,2,276,1,1562157468,1516253707,62089627,117269002,117285386,1,2,1,5159836088,73389,73389,2,2,2,117269002,2,3,83490,2280527,892645,24073,11920,1562157468,735680,15656871,1221
15026.67,262144,64,107837,7105997822,0,0,0,20,20,252370,132,585,1081346,2,26722,23,14,126837126,1172,1,22,16245,42835,2,84,585,25454019,5356374,2134377957,585,121,2,1,2,2,276,1,2126291356,2080524495,107037084,161149106,161165490,1,2,1,7090560664,73389,73389,2,2,2,161149106,2,3,104029,3586271,1319749,35255,16224,2126291356,1046091,24134213,1221
20033.31,262144,64,137383,9052677106,0,39334,1,20,20,252370,137,585,1398359,2,35049,23,14,127368030,1172,1,22,20587,56954,2,84,585,34082878,8155546,2705433897,585,121,2,1,2,2,276,1,2695143836,2649632241,141999495,205383625,205400009,1,2,1,9036879500,73389,73389,2,2,2,205383625,2,3,126262,4932660,1761139,46524,20565,2695143836,1351835,32320174,1221
25043.42,262144,64,168783,11121921942,9,9422729,15,20,20,252370,143,585,1711337,2,43947,23,14,128417772,1172,1,22,25201,73139,2,84,585,44505778,11222030,3312667079,585,121,2,1,2,2,276,1,3300041116,3254479769,348467795,252427556,252427556,1,2,1,11106812464,73389,73389,2,2,2,252427556,2,3,154163,6181631,2213853,56516,25179,3300041116,1654821,42291155,1221
30052.22,262144,64,199206,13126607202,10,11903694,19,21,21,252370,148,585,2013436,2,52520,23,14,129214128,1172,1,22,29669,90995,2,84,585,52511170,13747879,3900428537,585,121,2,1,2,2,276,1,3885539740,3840512151,478771628,297984861,297984861,1,2,1,13111333884,73389,73389,2,2,2,297984861,2,3,176790,7527633,2585741,66388,29646,3885539740,1947048,49925270,1221
35062.13,262144,64,229823,15144006446,19,25235014,85,29,29,252370,153,585,2324152,2,61143,23,14,130010484,1172,1,22,34173,105474,2,84,585,62495223,16838849,4492008318,585,121,2,1,2,2,276,1,4474839452,4430276009,563754072,343820694,343837078,1,2,1,15128110536,73389,73389,2,2,2,343820694,2,3,208182,8805268,3029414,76220,34142,4474839452,2247932,59466315,1221
40068.71,262144,64,260556,17169080262,32,42377941,149,35,35,252370,158,585,2614239,2,69762,23,14,130541388,1172,1,22,38695,132941,2,84,585,71756796,19572362,5086230616,585,121,2,1,2,2,276,1,5066760604,5022192992,616278410,389853135,389853135,1,2,1,17152551592,73389,73389,2,2,2,389830718,2,3,228451,10115195,3401192,85823,38658,5066760604,2528416,68356257,1221
45071.43,262144,64,309530,20396160158,32,44578389,203,41,41,252370,166,585,3020667,2,83595,23,14,131868648,1172,1,22,45896,140898,2,84,585,80935844,20257655,6032934068,585,121,2,1,2,2,276,1,6009823644,5965658119,634575457,463209265,463209265,1,2,1,20380486764,73389,73389,2,2,2,463192881,2,3,248795,11206992,3666243,95862,45853,6009823644,2924805,77270239,1221
50074.81,262144,64,369736,24363322186,32,44917167,205,41,41,252370,176,585,3496770,2,100509,23,14,133461360,1172,1,22,54742,141265,2,84,585,91050246,20259048,7196864573,585,121,2,1,2,2,276,1,7169286556,7125342270,654822831,553367570,553367570,1,2,1,24348173080,73389,73389,2,2,2,553367570,2,3,272034,12063463,3895981,105462,54699,7169286556,3391308,87154829,1221
