timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.36,2,262144,64,42515,2801442068,114,1,585,554332,14,8304,67,5184,124749708,1172,1,66,6693,288140,2,140833,585,8345255,9733328,872006824,585,832,2,1,2,2,1099,1,868393372,822234670,39258134,63323977,63323977,2,1,2785534092,73389,73389,2,2,2,63307593,12,3,331432,7022828,1581386,22267,6627,868393372,532065,6763855,6457
10015.62,2,262144,64,70475,4643927870,119,1,585,812009,14,16205,67,5184,125546064,1172,1,66,10800,327405,2,140833,585,14807680,12488385,1412454315,585,832,2,1,2,2,1099,1,1406706076,1360921514,81189418,105193167,105193167,2,1,4628499348,73389,73389,2,2,2,105193167,12,3,353678,8644014,1799852,30068,10734,1406706076,781941,13007476,6457
15021.71,2,262144,64,79196,5218387298,121,2,585,927248,14,18693,67,5184,125811516,1172,1,66,12079,496588,2,140833,585,18070285,17339487,1580844350,585,832,2,1,2,2,1099,1,1574347164,1528811948,145038197,118243850,118260234,2,1,5202729400,73389,73389,2,2,2,118243850,12,3,363964,11200833,1972285,35543,12013,1574347164,891705,16097415,6457
20027.27,2,262144,64,89753,5914232630,122,2,585,1059935,14,21611,67,5184,126076968,1172,1,66,13633,571237,2,140833,585,21055387,21862467,1785415651,585,832,2,1,2,2,1099,1,1778033052,1732153645,170053445,134062985,134079369,2,1,5898771340,73389,73389,2,2,2,134062985,12,3,372005,13501054,2115228,41946,13567,1778033052,1017989,18940352,6457
25030.24,2,262144,64,117800,7762649318,127,2,585,1322774,14,29500,67,5184,127102578,1172,1,66,17754,614488,2,140833,585,28339875,25649574,2327585054,585,832,2,1,2,2,1099,1,2318049692,2272522943,232939626,176069280,176085664,2,1,7747048320,73389,73389,2,2,2,176069280,12,3,397599,15045812,2380852,52680,17688,2318049692,1270094,25958894,6457
30036.16,2,262144,64,139281,9177860790,131,3,585,1550603,14,35622,67,5184,127621416,1172,1,66,20909,657415,2,140833,585,34081160,29308212,2742923246,585,832,2,1,2,2,1099,1,2731712924,2686165375,300745183,208236156,208252540,2,1,9162390864,73389,73389,2,2,2,208236156,12,3,413173,16714498,2601554,64996,20843,2731712924,1485607,31479264,6457
35042.75,2,262144,64,155634,10255410942,133,3,585,1738282,14,40197,67,5184,127886868,1172,1,66,23313,712535,2,140833,585,40106779,34586542,3059331635,585,832,2,1,2,2,1099,1,3046810012,3001213778,376557747,232731890,232731890,2,1,10240203160,73389,73389,2,2,2,232731890,12,3,429844,18608899,2881544,73640,23247,3046810012,1664642,37225389,6457
40046.95,2,262144,64,194608,12823414510,140,3,585,2071949,14,51163,67,5184,128948676,1172,1,66,29038,736041,2,140833,585,48067357,36532129,3812635106,585,832,2,1,2,2,1099,1,3797197212,3751865224,419234161,291094118,291110502,2,1,12808141192,73389,73389,2,2,2,291094118,12,3,458175,19732458,3087288,81757,28972,3797197212,1990192,44979722,6457
45050.80,2,262144,64,263884,17388245878,152,3,585,2635436,14,70707,67,5184,130541388,1172,1,66,39213,737866,2,140833,585,58537322,36721342,5151479095,585,832,2,1,2,2,1099,1,5130854812,5086278656,447683062,394841619,394841619,2,1,17373031236,73389,73389,2,2,2,394841619,12,3,475044,20739288,3304279,92495,39147,5130854812,2542941,55233041,6457
50055.16,2,262144,64,318507,20987662254,161,3,585,3050424,14,86101,67,5184,132134100,1172,1,66,47239,738103,2,140833,585,68824892,36946923,6207506878,585,832,2,1,2,2,1099,1,6182838684,6138559484,519009654,476642813,476659197,2,1,20972283772,73389,73389,2,2,2,476642813,12,3,520391,21508277,3539165,100755,47173,6182838684,2949669,65285347,6457
55060.15,2,262144,64,379527,25008448104,171,3,585,3511583,14,103290,67,5184,133726812,1172,1,66,56200,738532,2,140833,585,78767628,37010994,7386602396,585,832,2,1,2,2,1099,1,7357374876,7313902582,551560956,568019567,568035951,2,1,24992860948,73389,73389,2,2,2,568019567,12,3,540295,22370798,3774726,110253,56135,7357374876,3401330,74992959,6457
