timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5013.96,2,262144,64,27494,1811716772,112,585,407308,6,4100,67,1,124484256,1172,1,66,4488,1245343,2,186223,585,5484635,14707264,581967539,585,1156,2,1,2,2,415,1,579379612,532879029,37959864,40830965,40830965,2,1,1796562460,73389,73389,2,2,2,40830965,7,3,242980,12082487,1183322,14471,4422,579379612,392837,4299721,8195
10019.92,2,262144,64,34920,2301041628,113,585,508744,6,6179,67,1,124749708,1172,1,66,5576,1434291,2,186223,585,7768093,19278080,725227102,585,1156,2,1,2,2,415,1,721985948,675950536,67881315,51950495,51950495,2,1,2285821780,73389,73389,2,2,2,51950495,7,3,247045,14473387,1287872,20661,5511,721985948,488083,6479331,8195
15028.90,2,262144,64,42505,2800786708,114,585,605786,6,8302,67,1,124749708,1172,1,66,6692,1589827,2,186223,585,10142212,23860311,872167511,585,1156,2,1,2,2,415,1,868262300,822012409,96917542,63307593,63323977,2,1,2785534092,73389,73389,2,2,2,63307593,7,3,249181,16877602,1398162,25166,6626,868262300,580620,8743260,8195
20032.64,2,262144,64,62290,4104595738,118,585,801882,6,13917,67,1,125546064,1172,1,66,9597,1655693,2,186223,585,15260661,27486749,1254478365,585,1156,2,1,2,2,415,1,1249026460,1203236346,187612566,92928916,92945300,2,1,4088872304,73389,73389,2,2,2,92928916,7,3,263743,18542832,1570506,32734,9531,1249026460,769148,13689081,8195
25036.17,2,262144,64,117946,7772217574,127,585,1209650,6,29536,67,1,127102578,1172,1,66,17774,1655885,2,186223,585,25958797,27536601,2330353934,585,1156,2,1,2,2,415,1,2320802204,2275296539,213363637,176298656,176298656,2,1,7757140864,73389,73389,2,2,2,176298656,7,3,298932,19291443,1789783,41332,17708,2320802204,1168318,24168250,8195
30040.29,2,262144,64,176993,11662627022,137,585,1666135,6,46242,67,1,128417772,1172,1,66,26449,1656382,2,186223,585,36220648,27691514,3471803606,585,1156,2,1,2,2,415,1,3457851804,3412517572,244830477,264702158,264718542,2,1,11646894952,73389,73389,2,2,2,264702158,7,3,324319,20139059,1985825,50747,26383,3457851804,1615388,34234222,8195
35044.26,2,262144,64,230251,15172321306,146,585,2061150,6,61260,67,1,130010484,1172,1,66,34274,1656527,2,186223,585,46155469,27715911,4501376862,585,1156,2,1,2,2,415,1,4483490204,4438508954,270662908,344482087,344482087,2,1,15156490932,73389,73389,2,2,2,344465703,7,3,358322,20852062,2177729,58575,34208,4483490204,2002575,43977020,8195
40049.03,2,262144,64,281439,18545101206,154,585,2443669,6,75660,67,1,131072292,1172,1,66,41793,1658427,2,186223,585,55654728,27806573,5490675172,585,1156,2,1,2,2,415,1,5469020572,5424479774,327651557,421127083,421143467,2,1,18529591652,73389,73389,2,2,2,421127083,7,3,397071,21550482,2379376,66340,41727,5469020572,2377329,53274861,8195
45056.17,2,262144,64,308650,20337981706,159,585,2687793,6,83355,67,1,131868648,1172,1,66,45791,1697817,2,186223,585,61788269,30581917,6016780749,585,1156,2,1,2,2,415,1,5993046428,5948655166,398628758,461886479,461886479,2,1,20323005076,73389,73389,2,2,2,461886479,7,3,407781,23264039,2585073,73212,45725,5993046428,2614581,59202966,8195
50064.32,2,262144,64,314552,20726874662,160,585,2765489,6,85020,67,1,131868648,1172,1,66,46659,1875890,2,186223,585,63910086,35345605,6131087703,585,1156,2,1,2,2,415,1,6106816924,6062347112,423426616,470724759,470724759,2,1,20711889396,73389,73389,2,2,2,470724759,7,3,410802,25764158,2683575,76831,46593,6106816924,2688658,61226126,8195
55080.60,2,262144,64,319970,21084072326,161,585,2834848,6,86551,67,1,132134100,1172,1,66,47454,2014030,2,186223,585,65632421,40101782,6235914506,585,1156,2,1,2,2,415,1,6211150236,6166733476,476848039,478833951,478850335,2,1,21068693844,73389,73389,2,2,2,478833951,7,3,414789,28417350,2764152,80597,47389,6211150236,2754251,62867629,8195
60088.06,2,262144,64,326777,21532564946,162,585,2920918,6,88466,67,1,132399552,1172,1,66,48455,2133861,2,186223,585,67985534,44992657,6367592380,585,1156,2,1,2,2,415,1,6342222236,6297806865,576687865,489038136,489038136,2,1,21517677984,73389,73389,2,2,2,489038136,7,3,420205,31177674,2877033,84799,48389,6342222236,2836119,65107742,8195
65092.20,2,262144,64,344906,22727037938,165,585,3098072,6,93573,67,1,132665004,1172,1,66,51114,2193072,2,186223,585,72718661,48959121,6717529629,585,1156,2,1,2,2,415,1,6690742684,6646993195,722352361,516167376,516183760,2,1,22711364544,73389,73389,2,2,2,516167376,7,3,442924,33078247,3059436,90632,51048,6690742684,3007440,69659091,8195
70096.00,2,262144,64,395850,26083766724,174,585,3477117,6,107907,67,1,133992264,1172,1,66,58598,2193229,2,186223,585,82504866,48960750,7702227497,585,1156,2,1,2,2,415,1,7671685532,7628292739,746021012,592460116,592476500,2,1,26068245104,73389,73389,2,2,2,592460116,7,3,461534,33758033,3227131,98257,58532,7671685532,3378860,79277594,8195
