timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5007.27,262144,64,71234,4693935146,119,585,680604,3,16410,67,92,125546064,1172,1,66,10911,56307,2,1609,585,11648258,1104189,1426768625,585,245,2,1,2,2,249,1,1421255068,1375562048,26685393,106329696,106329696,2,1,4677785728,73389,73389,2,2,2,106313312,3,3,357025,2028339,1413657,12509,10845,1421255068,668095,10235658,3421
10010.86,262144,64,119217,7856044734,127,585,1056358,3,29937,67,92,127102578,1172,1,66,17964,56431,2,1609,585,21624602,1109141,2354640131,585,245,2,1,2,2,249,1,2345574812,2299776037,50584484,178194882,178211266,2,1,7840574808,73389,73389,2,2,2,178194882,3,3,384287,2697765,1590122,19719,17898,2345574812,1036639,20035748,3421
15014.32,262144,64,168604,11110190998,136,585,1434775,3,43851,67,92,128417772,1172,1,66,25219,57023,2,1609,585,31381419,1156356,3309220631,585,245,2,1,2,2,249,1,3296502172,3251048547,79908372,252149028,252165412,2,1,11094557232,73389,73389,2,2,2,252149028,3,3,424250,3384626,1803837,27340,25153,3296502172,1407435,29579303,3421
20020.81,262144,64,197047,12984318622,140,585,1703036,3,51878,67,92,128948676,1172,1,66,29396,115964,2,1609,585,36405332,3622985,3859050292,585,245,2,1,2,2,249,1,3844120988,3798851016,132697265,294755498,294755498,2,1,12969241912,73389,73389,2,2,2,294755498,3,3,443791,5094200,2002501,35451,29330,3844120988,1667585,34404838,3421
25027.46,262144,64,203644,13419048682,141,585,1798129,3,53730,67,92,129214128,1172,1,66,30364,330000,2,1609,585,38465101,8173817,3986645744,585,245,2,1,2,2,249,1,3971129756,3925950786,215129811,304623811,304640195,2,1,13403447684,73389,73389,2,2,2,304623811,3,3,450337,7665246,2107379,48614,30299,3971129756,1749515,36359631,3421
30035.39,262144,64,209560,13808617822,142,585,1872991,3,55398,67,92,129214128,1172,1,66,31233,482706,2,1609,585,40235423,12896310,4100947891,585,245,2,1,2,2,249,1,4084900252,4039857298,298748962,313488826,313488826,2,1,13793508344,73389,73389,2,2,2,313488826,3,3,456130,10414853,2202668,52092,31167,4084900252,1820899,38034831,3421
35043.35,262144,64,215626,14208548266,143,585,1951470,3,57108,67,92,129479580,1172,1,66,32122,720689,2,1609,585,42178242,17691667,4218153106,585,245,2,1,2,2,249,1,4201554332,4156705700,355370422,322570707,322587091,2,1,14193111108,73389,73389,2,2,2,322570707,3,3,463931,13118875,2329914,56128,32057,4201554332,1895342,39850896,3421
40047.13,262144,64,234107,15426162326,147,585,2124503,3,62313,67,92,130010484,1172,1,66,34839,788303,2,1609,585,47137156,21846676,4575591759,585,245,2,1,2,2,249,1,4557545884,4512793809,406520388,350232427,350248811,2,1,15410226788,73389,73389,2,2,2,350232427,3,3,480077,15004574,2523188,64859,34773,4557545884,2059644,44615978,3421
45050.92,262144,64,297378,19595495322,157,585,2586960,3,80118,67,92,131603196,1172,1,66,44134,788571,2,1609,585,57062472,21936809,5798640908,585,245,2,1,2,2,249,1,5775860124,5731563481,429775752,444994192,445016609,2,1,19579744448,73389,73389,2,2,2,444994192,3,3,492754,15844950,2692897,74714,44068,5775860124,2512246,54371762,3421
50055.93,262144,64,352641,23236878870,166,585,2994337,3,95732,67,92,132930456,1172,1,66,52253,788832,2,1609,585,66434476,21987528,6866924144,585,245,2,1,2,2,249,1,6840033692,6796059724,456516537,527768075,527768075,2,1,23221074404,73389,73389,2,2,2,527751691,3,3,517330,16590465,2868538,83068,52187,6840033692,2911269,63568410,3421
