timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.49,1,262144,64,69842,4602178130,119,0,585,620614,4,15978,67,88,125546064,1172,1,66,10706,64078,2,814,585,12762809,1902650,1399870270,585,198,2,1,2,2,328,1,1394385308,1348694653,27082839,104236862,104253246,2,1,4586421928,73389,73389,2,2,2,104236862,4,3,344159,2513586,1269758,17051,10640,1394385308,603563,11493491,5136
10025.59,1,262144,64,92845,6117907618,123,0,585,843922,4,22524,67,88,126318288,1172,1,66,14086,124037,2,814,585,17950547,4889103,1844687066,585,198,2,1,2,2,328,1,1837408668,1791712820,83807745,138699213,138699213,2,1,6102044476,73389,73389,2,2,2,138682829,4,3,372595,4215087,1513890,23876,14020,1837408668,820046,16437381,5136
15030.88,1,262144,64,125495,8269337906,128,0,585,1112658,4,31657,67,88,127102578,1172,1,66,18883,142881,2,814,585,25288852,7218248,2475920144,585,198,2,1,2,2,328,1,2466161052,2420602430,127613954,187600569,187600569,2,1,8253704140,73389,73389,2,2,2,187584185,4,3,415775,5626639,1767136,31293,18817,2466161052,1081365,23523067,5136
20036.25,1,262144,64,177359,11686878650,137,0,585,1498476,4,46328,67,88,128417772,1172,1,66,26503,143906,2,814,585,35941577,7233335,3478564883,585,198,2,1,2,2,328,1,3464929692,3419642805,152853832,265265247,265281631,2,1,11671670868,73389,73389,2,2,2,265265247,4,3,450713,6385862,2003436,39923,26437,3464929692,1458553,33939774,5136
25040.63,1,262144,64,229533,15125001006,146,0,585,1876412,4,61011,67,88,130010484,1172,1,66,34166,145046,2,814,585,46870216,7377214,4486905981,585,198,2,1,2,2,328,1,4469334428,4424701848,178300646,343394710,343411094,2,1,15109367240,73389,73389,2,2,2,343394710,4,3,479516,7177033,2215280,48643,34100,4469334428,1827769,44657271,5136
30060.56,1,262144,64,251403,16565778378,149,0,585,2077187,4,67194,67,88,130275936,1172,1,66,37380,244573,2,814,585,51842606,10993374,4909866636,585,198,2,1,2,2,328,1,4890599836,4845902124,245823029,376135026,376151410,2,1,16549941144,73389,73389,2,2,2,376135026,4,3,497282,9079464,2418386,55670,37314,4890599836,2021517,49426818,5136
35067.88,1,262144,64,259320,17087546862,151,1,585,2170699,4,69462,67,88,130541388,1172,1,66,38541,341434,2,814,585,54135343,15579840,5062732640,585,198,2,1,2,2,328,1,5042774428,4998375909,286999290,388006061,388006061,2,1,17072266684,73389,73389,2,2,2,388006061,4,3,506290,11680249,2542520,60281,38475,5042774428,2110418,51595743,5136
40072.87,1,262144,64,290839,19164325030,156,1,585,2442326,4,78282,67,88,131337744,1172,1,66,43175,380986,2,814,585,62088591,18474311,5672377717,585,198,2,1,2,2,328,1,5650031004,5605506941,339031662,435207799,435224183,2,1,19149143156,73389,73389,2,2,2,435207799,4,3,547685,13217901,2798138,67623,43109,5650031004,2374703,59293428,5136
45077.67,1,262144,64,344102,22674081542,165,1,585,2834972,4,93354,67,88,132665004,1172,1,66,50997,383195,2,814,585,72728723,18600557,6701733405,585,198,2,1,2,2,328,1,6675407260,6631469314,370670155,514981695,514981695,2,1,22658473684,73389,73389,2,2,2,514965311,4,3,580920,13995486,3029983,76235,50931,6675407260,2758737,69701654,5136
50082.37,1,262144,64,397939,26221467784,174,1,585,3245563,4,108501,67,88,133992264,1172,1,66,58903,383694,2,814,585,83326254,18605741,7741970145,585,198,2,1,2,2,328,1,7711662492,7668512069,397307589,595591175,595607559,2,1,26206011700,73389,73389,2,2,2,595591175,4,3,610124,14762547,3226389,84714,58837,7711662492,3160849,80103612,5136
