event,value,description
RecomputeWeight,4473,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,19981979,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,4218,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,1057,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1057,"Same as Query, but only for SELECT queries."
InitialQuery,1057,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,2639,Count queries with all subqueries
SelectQueriesWithSubqueries,2639,Count SELECT queries with all subqueries
QueryTimeMicroseconds,76519663454,Total time of all queries.
SelectQueryTimeMicroseconds,76519663454,Total time of SELECT queries.
FileOpen,1168,Number of files opened.
Seek,77998,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,1265927,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,9566484899832,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,9299732768429,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,462311386,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,30463388297132,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,629513,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1019,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,859939,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1271872,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,144835727583,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,67520,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,276561920,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,156257916,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
MarkCacheHits,630347,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
