arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
380.9405,381.0097,48812.6456,48431.7051,0.0692,np_greedy_58
1026.2161,1026.2714,48769.8991,47743.6830,0.0553,np_greedy_58
4727.8580,4727.9131,48774.1421,44046.2842,0.0551,np_greedy_58
5530.7178,5530.7736,48740.3710,43209.6532,0.0557,np_greedy_58
18334.5030,18334.5569,25919.4409,7584.9379,0.0538,p_greedy_140
21902.1985,21902.2594,71416.5578,49514.3593,0.0610,np_greedy_58
22172.5759,22172.6329,69605.4011,47432.8252,0.0570,np_greedy_58
27607.3099,27607.3662,78099.5370,50492.2271,0.0564,np_greedy_58
30464.6489,30464.6999,81997.3340,51532.6851,0.0510,np_greedy_58
33951.0329,33951.0883,40474.8436,6523.8107,0.0554,p_greedy_140
40496.0398,40496.0804,53911.3862,13415.3464,0.0406,p_greedy_140
41596.7161,41596.7767,55355.7677,13759.0516,0.0605,p_greedy_140
43978.2939,43978.3572,100685.4773,56707.1834,0.0633,np_greedy_58
45207.1684,45207.2341,102456.3374,57249.1690,0.0657,np_greedy_58
48117.2516,48117.3132,103709.1181,55591.8665,0.0616,np_greedy_58
50989.0273,50989.0864,107747.2757,56758.2484,0.0591,np_greedy_58
51656.3309,51656.3913,60804.2823,9147.9514,0.0604,p_greedy_140
52977.2243,52977.3009,110004.7904,57027.5661,0.0766,np_greedy_58
52987.8657,52987.9308,109173.7771,56185.9113,0.0651,np_greedy_58
57042.6631,57042.7238,115032.2445,57989.5815,0.0607,np_greedy_58
57688.8936,57688.9474,114602.0123,56913.1188,0.0538,np_greedy_58
64128.8211,64128.8736,123412.3970,59283.5759,0.0526,np_greedy_58
64638.9507,64639.0056,124520.2744,59881.3237,0.0549,np_greedy_58
67322.5782,67322.6348,128933.9304,61611.3522,0.0566,np_greedy_58
71524.8371,71524.8935,134983.5884,63458.7513,0.0564,np_greedy_58
71979.7885,71979.8402,81489.6557,9509.8672,0.0517,p_greedy_140
78471.1465,78471.2034,93190.5306,14719.3841,0.0569,p_greedy_140
82751.2909,82751.3501,100322.6494,17571.3584,0.0592,p_greedy_140
88202.4491,88202.5122,153609.9298,65407.4808,0.0632,np_greedy_58
88887.7377,88887.7940,153814.1916,64926.4540,0.0563,np_greedy_58
89972.9235,89972.9804,154971.0097,64998.0862,0.0569,np_greedy_58
90280.4674,90280.5249,108745.1082,18464.6408,0.0575,p_greedy_140
97257.8133,97257.8760,112930.4598,15672.6465,0.0627,p_greedy_140
101011.0105,101011.0693,165922.8204,64911.8099,0.0588,np_greedy_58
101162.7207,101162.7843,166730.1649,65567.4442,0.0636,np_greedy_58
109688.4957,109688.5602,123972.5075,14284.0118,0.0645,p_greedy_140
114305.0402,114305.1258,129711.2486,15406.2084,0.0856,p_greedy_140
117592.0366,117592.1125,133095.1647,15503.1281,0.0760,p_greedy_140
118281.3142,118281.3719,183682.7287,65401.4145,0.0577,np_greedy_58
124306.0475,124306.1210,190876.3569,66570.3094,0.0735,np_greedy_58
126487.4616,126487.5207,193307.3085,66819.8469,0.0591,np_greedy_58
129258.4681,129258.5289,141717.7404,12459.2723,0.0608,p_greedy_140
133687.9710,133688.0288,148139.6900,14451.7190,0.0578,p_greedy_140
139354.1973,139354.2544,205302.9111,65948.7138,0.0571,np_greedy_58
141070.6438,141070.7053,160721.5096,19650.8658,0.0615,p_greedy_140
143435.6842,143435.7425,164523.5660,21087.8818,0.0583,p_greedy_140
148902.6794,148902.7390,170597.2858,21694.6065,0.0597,p_greedy_140
149706.2058,149706.2682,215555.8146,65849.6088,0.0625,np_greedy_58
152682.8736,152682.9311,218452.5810,65769.7074,0.0575,np_greedy_58
154750.3369,154750.3942,175521.8144,20771.4775,0.0573,p_greedy_140
160994.9930,160995.0544,182806.6466,21811.6537,0.0614,p_greedy_140
164117.7683,164117.8315,232181.6576,68063.8893,0.0632,np_greedy_58
165755.0386,165755.0956,231061.1752,65306.1367,0.0570,np_greedy_58
171901.8339,171901.8999,205670.2245,33768.3905,0.0660,p_greedy_140
172392.9545,172393.0194,238594.2383,66201.2838,0.0648,np_greedy_58
174827.0026,174827.0633,217490.1464,42663.1437,0.0607,p_greedy_140
176134.6481,176134.7100,221572.7645,45438.1164,0.0618,p_greedy_140
177688.8506,177688.9137,244325.1796,66636.3289,0.0631,np_greedy_58
179459.3827,179459.4408,229975.5382,50516.1555,0.0581,p_greedy_140
