event,value,description
RecomputeWeight,4476,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,19944235,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,4220,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,1058,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1058,"Same as Query, but only for SELECT queries."
InitialQuery,1058,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,2640,Count queries with all subqueries
SelectQueriesWithSubqueries,2640,Count SELECT queries with all subqueries
QueryTimeMicroseconds,79113926919,Total time of all queries.
SelectQueryTimeMicroseconds,79113926919,Total time of SELECT queries.
FileOpen,1135,Number of files opened.
Seek,71355,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,1167316,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,9581091726165,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,9301933477461,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,462365523,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,30466988127496,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,628920,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,991,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,978473,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,1270638,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
