event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,294128,356752,62624,Total time spent analyzing index of patch parts
ArenaAllocBytes,20574208,84275200,63700992,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,4883,20435,15552,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,1500178,1500178,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,190,196,6,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,139,145,6,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,190,196,6,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,171959,216313,44354,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,184,201,17,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,68934,68934,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,32658038,124031264,91373226,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,2151894175212,8172822973296,6020928798084,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,0,9487,9487,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,0,22705105077,22705105077,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,0,565603,565603,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,0,9951,9951,Total number of CPU slots acquired
ConcurrencyControlUpscales,0,9951,9951,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,0,23427889052,23427889052,Total time a query was waiting on resource requests for CPU slots.
ConcurrentQuerySlotsAcquired,0,246,246,Total number of query slots acquired
ConcurrentQueryWaitMicroseconds,0,5418997,5418997,Total time a query was waiting for a query slots
ContextLock,118121,452006,333885,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,264628,293670,29042,Context lock wait time in microseconds
CreatedReadBufferOrdinary,45324,189522,144198,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,688929061,1840810692,1151881631,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,16,16,0,Total time spent waiting for write syscall. This include writes to page cache.
FailedQuery,4,7,3,"Number of total failed queries, both internal and user queries."
FailedSelectQuery,4,7,3,"Same as FailedQuery, but only for SELECT queries."
FairPolicyDequeue,0,3882722,3882722,Number of dequeues invoked at all FairPolicyNodes
FileOpen,308,440,132,Number of files opened.
FileSync,1,1,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,1277,1277,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilterTransformPassedBytes,1804310,1804310,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,26463,26463,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,858,2116,1258,Time spent filtering parts by PK.
