event,start_value,end_value,diff,description
AsyncLoaderWaitMicroseconds,2133869,0,-2133869,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,53,0,-53,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,0,-3,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,53,0,-53,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,1261,0,-1261,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,11,0,-11,Time spent resetting task for Common executor.
CompressedReadBufferBlocks,78,0,-78,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3618724,0,-3618724,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ContextLock,1363,0,-1363,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,1,0,-1,Context lock wait time in microseconds
CreatedReadBufferOrdinary,167,0,-167,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,454575,0,-454575,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,11,0,-11,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,224,0,-224,Number of files opened.
GlobalThreadPoolExpansions,655,0,-655,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,738185,0,-738185,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,705,0,-705,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,20,0,-20,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,73647,0,-73647,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,0,-1,Number of created server HTTP connections
IOBufferAllocBytes,21110981,0,-21110981,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,249,0,-249,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,1,0,-1,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,249,0,-249,Number of bytes received through HTTP interfaces
LoadedDataParts,15,0,-15,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,2268121,0,-2268121,Microseconds spent by MergeTree tables for loading data parts during initialization.
LocalThreadPoolBusyMicroseconds,6791093,0,-6791093,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,115,0,-115,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,4036,0,-4036,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,165,0,-165,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,52,0,-52,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,63,0,-63,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4930,0,-4930,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,0,-1,Number of log messages with level Debug
LogInfo,48,0,-48,Number of log messages with level Info
LogWarning,3,0,-3,Number of log messages with level Warning
LoggerElapsedNanoseconds,6818191,0,-6818191,Cumulative time spend in logging
MainConfigLoads,1,0,-1,Number of times the main configuration was reloaded.
MemoryAllocatorPurge,1,0,-1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,7433,0,-7433,Total time spent for memory allocator purge
MemoryWorkerRun,537,0,-537,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,234014,0,-234014,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,313,0,-313,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,242,0,-242,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,228,0,-228,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,729,0,-729,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,2492,0,-2492,Time spent to take data parts snapshot to build ranges from them.
NetworkReceiveBytes,249,0,-249,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,35,0,-35,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OpenedFileCacheMicroseconds,13,0,-13,Amount of time spent executing OpenedFileCache methods.
OpenedFileCacheMisses,141,0,-141,"Number of times a file has been found in the opened file cache, so we had to open it again."
PartsLockHoldMicroseconds,2263247,0,-2263247,Total time spent holding data parts lock in MergeTree tables
PartsLocks,167,0,-167,Number of times data parts lock has been acquired for MergeTree tables
QueriesWithSubqueries,1,0,-1,Count queries with all subqueries
