arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
666.7999,666.8702,77337.3651,76670.5653,0.0703,np_default_58
1795.6184,1795.6739,78026.2054,76230.5871,0.0555,np_default_58
3108.8996,3108.9610,13387.6122,10278.7126,0.0614,p_default_140
8272.1116,8272.1688,82187.7979,73915.6863,0.0572,np_default_58
9677.4712,9677.5275,82743.0856,73065.6143,0.0562,np_default_58
16550.9581,16551.0096,29435.5607,12884.6026,0.0516,p_default_140
23611.4858,23611.5410,39320.9680,15709.4822,0.0552,p_default_140
33781.0898,33781.1440,54660.5532,20879.4634,0.0542,p_default_140
38325.1334,38325.1863,88988.7844,50663.6510,0.0529,np_default_58
38803.6886,38803.7457,87631.0493,48827.3607,0.0571,np_default_58
39896.7269,39896.7816,57907.1262,18010.3994,0.0548,p_default_140
48312.7388,48312.7958,90396.1796,42083.4408,0.0570,np_default_58
53311.8283,53311.8987,88386.3954,35074.5671,0.0704,np_default_58
76962.6221,76962.6772,308425.6253,231463.0032,0.0550,np_default_58
79110.4592,79110.5130,319280.2335,240169.7743,0.0539,np_default_58
84200.7021,84200.7546,348951.9167,264751.2146,0.0525,np_default_58
89227.1960,89227.2456,383608.0570,294380.8610,0.0496,np_default_58
90815.7647,90815.8167,107833.8115,17018.0469,0.0520,p_default_140
92707.1118,92707.1686,424410.2337,331703.1220,0.0568,np_default_58
92726.5994,92726.6187,440107.8599,347381.2605,0.0193,np_default_58
99324.4838,99324.5373,138439.8228,39115.3390,0.0535,p_default_140
99820.4744,99820.5303,462027.6142,362207.1399,0.0559,np_default_58
99857.9834,99858.0147,139514.6177,39656.6343,0.0313,p_default_140
100955.8747,100955.9311,452604.4831,351648.6084,0.0564,np_default_58
101712.6598,101712.7165,140858.3147,39145.6549,0.0567,p_default_140
112223.3923,112223.4476,474661.3321,362437.9398,0.0553,np_default_58
113117.7939,113117.8599,507798.8874,394681.0935,0.0660,np_default_58
117811.5894,117811.6460,495925.7714,378114.1820,0.0566,np_default_58
117970.6454,117970.7003,145846.1964,27875.5510,0.0549,p_default_140
125169.2083,125169.2682,526723.6444,401554.4361,0.0599,np_default_58
148137.6555,148137.7071,173651.4112,25513.7557,0.0516,p_default_140
149804.8360,149804.8974,177746.6063,27941.7703,0.0614,p_default_140
154352.8893,154352.9438,665803.8191,511450.9297,0.0544,np_default_58
155553.6383,155553.6935,661821.0923,506267.4540,0.0552,np_default_58
157431.0692,157431.1271,181516.5628,24085.4937,0.0579,p_default_140
157451.1806,157451.2010,665483.3300,508032.1494,0.0204,np_default_58
176770.7175,176770.7728,729201.4588,552430.7412,0.0553,np_default_58
177033.4899,177033.5439,711443.0964,534409.6065,0.0541,np_default_58
181952.1709,181952.2266,196822.3441,14870.1732,0.0557,p_default_140
191885.7087,191885.7643,233154.6983,41268.9896,0.0556,p_default_140
192100.4250,192100.4790,234188.3274,42087.9024,0.0540,p_default_140
201209.9334,201209.9897,248464.4760,47254.5425,0.0562,p_default_140
205422.7448,205422.8002,253854.5639,48431.8190,0.0553,p_default_140
206992.3631,206992.4205,850144.5072,643152.1441,0.0574,np_default_58
208393.6828,208393.7398,256858.1138,48464.4310,0.0570,p_default_140
217543.0739,217543.1315,856225.5833,638682.5094,0.0576,np_default_58
221353.8144,221353.8912,871591.5991,650237.7847,0.0768,np_default_58
242537.8602,242537.9148,275464.4006,32926.5404,0.0545,p_default_140
243862.6727,243862.7289,892520.1590,648657.4864,0.0562,np_default_58
243912.1853,243912.2289,276792.2629,32880.0777,0.0437,p_default_140
261988.4221,261988.4792,920871.1991,658882.7770,0.0571,np_default_58
265819.9204,265819.9777,285585.2154,19765.2950,0.0573,p_default_140
267191.7806,267191.8355,924112.2416,656920.4609,0.0549,np_default_58
283126.9238,283126.9807,297338.2234,14211.2996,0.0569,p_default_140
287202.0497,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
290071.4379,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
294248.1138,294248.1712,325945.6775,31697.5637,0.0574,p_default_140
299106.1757,299106.2313,336943.8785,37837.7029,0.0556,p_default_140
300174.7588,300174.8170,337864.5325,37689.7737,0.0582,p_default_140
301689.2163,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
310955.3479,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
313847.8309,313847.8964,342539.4203,28691.5894,0.0655,p_default_140
331467.3903,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
336150.7368,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
342438.2889,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
353445.7159,353445.7744,391889.0163,38443.3004,0.0585,p_default_140
355897.7500,355897.8052,403507.2935,47609.5435,0.0552,p_default_140
357565.9175,357565.9731,406784.5700,49218.6525,0.0556,p_default_140
360585.0244,DROPPED,DROPPED,DROPPED,DROPPED,np_default_58
365547.9011,365547.9578,420493.5721,54945.6710,0.0567,p_default_140
