event,value,description
Query,1,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,1,"Same as Query, but only for SELECT queries."
InitialQuery,1,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,1,Count queries with all subqueries
SelectQueriesWithSubqueries,1,Count SELECT queries with all subqueries
FileOpen,225,Number of files opened.
Seek,409,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,5801,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,17116131,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,61,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,490111,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,78,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3618724,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheMisses,141,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,24,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,250,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,21112068,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
CreatedReadBufferOrdinary,167,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,487082,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,6,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,249,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,661,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,83534,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,136,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,708,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,10886202,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,118,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,63,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,4797,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,66,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,165,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,12482459,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,6236,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
QueryPlanOptimizeMicroseconds,47,Total time spent executing query plan optimizations.
LoadedDataParts,15,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,4104643,Microseconds spent by MergeTree tables for loading data parts during initialization.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,941,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,2,Time spent resetting task for Common executor.
ContextLock,1208,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,35,Context lock wait time in microseconds
RWLockAcquiredReadLocks,218,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,4073208,Total time spent holding data parts lock in MergeTree tables
PartsLocks,126,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,10665,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLocks,1185,Number of times shared data parts lock has been acquired for MergeTree tables
MemoryAllocatorPurge,1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,2607,Total time spent for memory allocator purge
ThreadPoolReaderPageCacheHitElapsedMicroseconds,67,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,54,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,254820,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,21058,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,22883,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,4443,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,2712,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,242,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,878,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,194,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,264,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,3838379,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,49,Number of log messages with level Info
LogWarning,3,Number of log messages with level Warning
