event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,136457,626921,490464,Total time spent analyzing index of patch parts
ArenaAllocBytes,50360320,75264000,24903680,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,12177,18257,6080,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,467,467,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,22655,25202,2547,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,224,236,12,Time spent resetting task for Common executor.
CompileExpressionsBytes,16384,16384,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,87792,87792,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,2,2,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,83225976,124821309,41595333,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,5482953883999,8223253819469,2740299935470,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlDownscales,20554,20554,0,Total number of CPU downscaling events
ConcurrencyControlPreemptedMicroseconds,35980356283,35980356283,0,Total time a query was waiting due to preemption of CPU slots.
ConcurrencyControlPreemptions,649969,649969,0,Total number of CPU preemptions
ConcurrencyControlSlotsAcquired,20554,20554,0,Total number of CPU slots acquired
ConcurrencyControlUpscales,20554,20554,0,Total number of CPU upscaling events
ConcurrencyControlWaitMicroseconds,14043934974,14043934974,0,Total time a query was waiting on resource requests for CPU slots.
ContextLock,335255,500640,165385,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,21143,414208,393065,Context lock wait time in microseconds
CreatedReadBufferOrdinary,187877,265709,77832,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,1374698613,4237694649,2862996036,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,8,0,Total time spent waiting for write syscall. This include writes to page cache.
FairPolicyDequeue,7423029,7423029,0,Number of dequeues invoked at all FairPolicyNodes
FileOpen,1268,1631,363,Number of files opened.
FilterTransformPassedBytes,1258657,1258657,0,Number of bytes that passed the filter in the query
FilterTransformPassedRows,20582,20582,0,Number of rows that passed the filter in the query
FilteringMarksWithPrimaryKeyMicroseconds,13665,20073,6408,Time spent filtering parts by PK.
FunctionExecute,28225895,42338833,14112938,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GlobalThreadPoolExpansions,1396,4277,2881,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,8286888,39697672,31410784,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,11597,19101,7504,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,1029913,2033705,1003792,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolShrinks,0,2640,2640,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,1225936,60818832,59592896,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,80,140,60,Number of created server HTTP connections
HTTPServerConnectionsExpired,46,65,19,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,190,285,95,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,4,5,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,148,225,77,Number of reused server HTTP connections
IOBufferAllocBytes,39194399014,56005305863,16810906849,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,377545,534216,156671,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,198,294,96,"Same as Query, but only counts initial queries (see is_initial_query)."
InterfaceHTTPReceiveBytes,206634,304303,97669,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,274522,399110,124588,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,1281,1281,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,229584,229584,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,384,576,192,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,525714,3308404,2782690,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,56793537504,85190306256,28396768752,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,1695,2635,940,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,227174150016,340761225024,113587075008,Total number of rows in the result of a JOIN operation.
LoadedDataParts,34,34,0,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,37340,37340,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,807422,807422,0,Number of marks loaded (total across columns).
LoadedMarksFiles,143,143,0,Number of mark files loaded.
LoadedMarksMemoryBytes,3661568,3661568,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,237038707547,1027414872243,790376164696,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,10811,18219,7408,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,13683071,46938484,33255413,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,24490,32466,7976,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1950019,3701942,1751923,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,10763,18171,7408,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,2889590,65480795,62591205,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,2,2,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,1895394,1895394,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,187291,265123,77832,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,143,0,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryWorkerRun,17293,24540,7247,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,6000029,8963316,2963287,Total time spent by MemoryWorker for background work
MergerMutatorPartsInRangesForMergeCount,1347,1381,34,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,2911,3007,96,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,317,325,8,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,6129,6351,222,Time spent to select parts from ranges which can be merged.
MergerMutatorsGetPartsForMergeElapsedMicroseconds,35798,36942,1144,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,185539,244860,59321,Total time spent while merging sorted columns
NetworkReceiveBytes,207915,305584,97669,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,752494660,1142994492,390499832,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,504106,628694,124588,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,46550,67529,20979,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OSCPUVirtualTimeMicroseconds,75267223022,118758878189,43491655167,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSCPUWaitMicroseconds,17063141705,158022929758,140959788053,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSReadChars,1691823023722,2533178412541,841355388819,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,1576,2344,768,"Number of bytes written to filesystem, including page cache, as well as network and other files."
OpenedFileCacheHits,186676,264155,77479,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMicroseconds,498003,2622087,2124084,Amount of time spent executing OpenedFileCache methods.
OpenedFileCacheMisses,1181,1534,353,"Number of times a file has been found in the opened file cache, so we had to open it again."
PartsLockHoldMicroseconds,30151,30193,42,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,17,18,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,288,297,9,Number of times data parts lock has been acquired for MergeTree tables
QueriesWithSubqueries,491,730,239,Count queries with all subqueries
Query,198,294,96,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
QueryConditionCacheHits,2421,3656,1235,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,2519,3754,1235,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryPlanOptimizeMicroseconds,803401,4008026,3204625,Total time spent executing query plan optimizations.
QueryTimeMicroseconds,14368941772,27256527357,12887585585,Total time of all queries.
RWLockAcquiredReadLocks,1035,1235,200,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,3,21,18,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
ReadBufferFromFileDescriptorRead,184736,279794,95058,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,1690484119158,2531081078771,840596959613,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
ReadCompressedBytes,1671957360956,2507225974348,835268613392,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
RealTimeMicroseconds,265751095688,1081854779619,816103683931,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
RecomputeWeight,708,708,0,Number of weight recomputes triggered at all FairPolicyNodes
RowsReadByMainReader,114007201380,171010802070,57003600690,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,114007201380,171010802070,57003600690,Number of rows read from MergeTree tables (in total) by prewhere readers.
SchedulerNodeUpdate,380,380,0,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Seek,17293,24540,7247,Number of times the 'lseek' function was called.
SelectQueriesWithSubqueries,491,730,239,Count SELECT queries with all subqueries
SelectQuery,198,294,96,"Same as Query, but only for SELECT queries."
SelectQueryTimeMicroseconds,14368941772,27256527357,12887585585,Total time of SELECT queries.
SelectedBytes,5477147365133,8215720368846,2738573003713,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
SelectedMarks,13943910,20915865,6971955,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,13943910,20915865,6971955,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedParts,2470,3705,1235,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,2470,3705,1235,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,2470,3705,1235,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedRows,114007223018,171010824036,57003601018,Number of rows SELECTed from all tables.
ServerStartupMilliseconds,105,105,0,Time elapsed from starting server to listening to sockets in milliseconds
SharedPartsLockHoldMicroseconds,48623,87875,39252,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,353,665,312,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,17101,23356,6255,Number of times shared data parts lock has been acquired for MergeTree tables
SoftPageFaults,216957580,335558273,118600693,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
SynchronousReadWaitMicroseconds,1385474396,4264239680,2878765284,Time spent in waiting for synchronous reads in asynchronous local read.
SystemTimeMicroseconds,2510580694,3750764865,1240184171,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
TableFunctionExecute,2,2,0,Number of table function calls.
