event,value,description
RecomputeWeight,708,Number of weight recomputes triggered at all FairPolicyNodes
FairPolicyDequeue,7423029,Number of dequeues invoked at all FairPolicyNodes
SchedulerNodeUpdate,380,Number of SchedulerNodeInfo update due to query starting in the GREEDY module.
Query,294,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,294,"Same as Query, but only for SELECT queries."
InitialQuery,294,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,730,Count queries with all subqueries
SelectQueriesWithSubqueries,730,Count SELECT queries with all subqueries
QueryTimeMicroseconds,27256527357,Total time of all queries.
SelectQueryTimeMicroseconds,27256527357,Total time of SELECT queries.
FileOpen,1631,Number of files opened.
Seek,24540,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,279794,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,2531081078771,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,1,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,60,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
ReadCompressedBytes,2507225974348,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,124821309,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,8223253819469,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,264155,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,1534,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,2622087,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,534216,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,56005305863,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,18257,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,75264000,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,42338833,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,2,Number of table function calls.
MarkCacheHits,265123,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,143,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,3656,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,3754,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,265709,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,4237694649,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,1142994492,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,67529,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,305584,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,628694,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,4277,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolShrinks,2640,"Counts the total number of times the global thread pool has shrunk by removing threads. This occurs when the number of idle threads exceeds max_thread_pool_free_size, indicating adjustments in the global thread pool size in response to decreased thread utilization."
GlobalThreadPoolThreadCreationMicroseconds,60818832,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,2033705,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,19101,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolJobWaitTimeMicroseconds,39697672,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolExpansions,18219,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolShrinks,18171,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,65480795,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LocalThreadPoolLockWaitMicroseconds,3701942,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolJobs,32466,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolBusyMicroseconds,1027414872243,Total time threads have spent executing the actual work.
LocalThreadPoolJobWaitTimeMicroseconds,46938484,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
AnalyzePatchRangesMicroseconds,626921,Total time spent analyzing index of patch parts
CompileFunction,2,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompileExpressionsMicroseconds,87792,Total time spent for compilation of expressions to LLVM code.
CompileExpressionsBytes,16384,Number of bytes used for expressions compilation.
JoinBuildTableRowCount,576,Total number of rows in the build table for a JOIN operation.
JoinProbeTableRowCount,85190306256,Total number of rows in the probe table for a JOIN operation.
JoinResultRowCount,340761225024,Total number of rows in the result of a JOIN operation.
JoinReorderMicroseconds,2635,Total time spent executing JOIN reordering algorithm.
JoinOptimizeMicroseconds,3308404,Total time spent executing JOIN plan optimizations.
QueryPlanOptimizeMicroseconds,4008026,Total time spent executing query plan optimizations.
SelectedParts,3705,Number of data parts selected to read from a MergeTree table.
SelectedPartsTotal,3705,Number of total data parts before selecting which ones to read from a MergeTree table.
SelectedRanges,3705,Number of (non-adjacent) ranges in all data parts selected to read from a MergeTree table.
SelectedMarks,20915865,Number of marks (index granules) selected to read from a MergeTree table.
SelectedMarksTotal,20915865,Number of total marks (index granules) before selecting which ones to read from a MergeTree table.
SelectedRows,171010824036,Number of rows SELECTed from all tables.
SelectedBytes,8215720368846,Number of bytes (uncompressed; for columns as they stored in memory) SELECTed from all tables.
RowsReadByMainReader,171010802070,Number of rows read from MergeTree tables by the main reader (after PREWHERE step).
RowsReadByPrewhereReaders,171010802070,Number of rows read from MergeTree tables (in total) by prewhere readers.
LoadedDataParts,34,Number of data parts loaded by MergeTree tables during initialization.
LoadedDataPartsMicroseconds,37340,Microseconds spent by MergeTree tables for loading data parts during initialization.
FilteringMarksWithPrimaryKeyMicroseconds,20073,Time spent filtering parts by PK.
WaitMarksLoadMicroseconds,22476087,Time spent loading marks
LoadedMarksFiles,143,Number of mark files loaded.
LoadedMarksCount,807422,Number of marks loaded (total across columns).
LoadedMarksMemoryBytes,3661568,Size of in-memory representations of loaded marks.
MergingSortedMilliseconds,244860,Total time spent while merging sorted columns
CommonBackgroundExecutorTaskExecuteStepMicroseconds,25202,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,236,Time spent resetting task for Common executor.
ContextLock,500640,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,414208,Context lock wait time in microseconds
RWLockAcquiredReadLocks,1235,Number of times a read lock was acquired (in a heavy RWLock).
RWLockReadersWaitMilliseconds,21,Total time spent waiting for a read lock to be acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,30193,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,18,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,297,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,87875,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,665,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,23356,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,1081854779619,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,115011345827,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,3750764865,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
SoftPageFaults,335558273,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,158022929758,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,118758878189,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSReadChars,2533178412541,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,2344,"Number of bytes written to filesystem, including page cache, as well as network and other files."
ThreadPoolReaderPageCacheHit,20280684,Number of times the read inside ThreadPoolReader was done from the page cache.
ThreadPoolReaderPageCacheHitBytes,2530277959439,Number of bytes read inside ThreadPoolReader when it was done from the page cache.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,4165720714,Time spent reading data from page cache in ThreadPoolReader.
SynchronousReadWaitMicroseconds,4264239680,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,105,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,36942,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,3007,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,6351,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,325,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,1381,Amount of candidate parts for merge
AsyncLoaderWaitMicroseconds,467,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,48,Number of log messages with level Info
LogWarning,2,Number of log messages with level Warning
LoggerElapsedNanoseconds,1895394,Cumulative time spend in logging
InterfaceHTTPSendBytes,399110,Number of bytes sent through HTTP interfaces
InterfaceHTTPReceiveBytes,304303,Number of bytes received through HTTP interfaces
InterfaceNativeSendBytes,229584,Number of bytes sent through native interfaces
InterfaceNativeReceiveBytes,1281,Number of bytes received through native interfaces
HTTPServerConnectionsCreated,140,Number of created server HTTP connections
HTTPServerConnectionsReused,225,Number of reused server HTTP connections
HTTPServerConnectionsPreserved,285,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsExpired,65,Number of expired server HTTP connections.
HTTPServerConnectionsReset,5,Number of reset server HTTP connections. Server closes connection
ConcurrencyControlSlotsAcquired,20554,Total number of CPU slots acquired
