event,start_value,end_value,diff,description
AnalyzePatchRangesMicroseconds,19193,45272,26079,Total time spent analyzing index of patch parts
ArenaAllocBytes,73138176,220430336,147292160,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocChunks,17856,53816,35960,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
AsyncLoaderWaitMicroseconds,193,193,0,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,2,2,0,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,52,52,0,How many messages (accepted or dropped) have been sent to the async queue for the file log
CannotWriteToWriteBufferDiscard,168,168,0,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,16409,1059282,1042873,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,328,423,95,Time spent resetting task for Common executor.
CompileExpressionsBytes,24576,24576,0,Number of bytes used for expressions compilation.
CompileExpressionsMicroseconds,33385,33385,0,Total time spent for compilation of expressions to LLVM code.
CompileFunction,3,3,0,Number of times a compilation of generated LLVM code (to create fused function for complex expressions) was initiated.
CompressedReadBufferBlocks,12846143,38357089,25510946,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,846924628106,2519505151706,1672580523600,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ConcurrencyControlSlotsAcquired,17702,53082,35380,Total number of CPU slots acquired
ConcurrencyControlSlotsAcquiredNonCompeting,451,1032,581,Total number of noncompeting CPU slot acquired
ConcurrencyControlSlotsGranted,451,1032,581,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ContextLock,98794,275346,176552,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,71761,83759,11998,Context lock wait time in microseconds
CreatedReadBufferOrdinary,187324,561886,374562,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,207234767,520333991,313099224,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,3781504,3781504,0,Total time spent waiting for write syscall. This include writes to page cache.
ExternalProcessingFilesTotal,10,10,0,Number of files used by external processing (sorting/aggragating/joining)
FileOpen,9208,16518,7310,Number of files opened.
FileSync,21,21,0,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,5121,5121,0,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
FilteringMarksWithPrimaryKeyMicroseconds,3644,10377,6733,Time spent filtering parts by PK.
FunctionExecute,4278623,12917758,8639135,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
GatheredColumns,140,140,0,Number of columns gathered during the vertical stage of merges.
GatheringColumnMilliseconds,534,534,0,Total time spent while gathering columns for vertical merge
GlobalThreadPoolExpansions,1273,1294,21,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,18679810,48948252,30268442,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,22851,67300,44449,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,830104,2213993,1383889,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,1642956,1907421,264465,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,28,61,33,Number of created server HTTP connections
HTTPServerConnectionsExpired,22,49,27,Number of expired server HTTP connections.
HTTPServerConnectionsPreserved,288,868,580,Number of preserved server HTTP connections. Connection kept alive successfully
HTTPServerConnectionsReset,2,3,1,Number of reset server HTTP connections. Server closes connection
HTTPServerConnectionsReused,268,822,554,Number of reused server HTTP connections
IOBufferAllocBytes,39833149955,111190772520,71357622565,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocs,393062,1148008,754946,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
InitialQuery,307,888,581,"Same as Query, but only counts initial queries (see is_initial_query)."
InsertQuery,8,8,0,"Same as Query, but only for INSERT queries."
InsertQueryTimeMicroseconds,28701032,28701032,0,Total time of INSERT queries.
InsertedBytes,12048433387,12048433387,0,Number of bytes (uncompressed; for columns as they stored in memory) INSERTed to all tables.
InsertedCompactParts,2,2,0,Number of parts inserted in Compact format.
InsertedRows,86586082,86586082,0,Number of rows INSERTed to all tables.
InsertedWideParts,84,84,0,Number of parts inserted in Wide format.
InterfaceHTTPReceiveBytes,292218,880978,588760,Number of bytes received through HTTP interfaces
InterfaceHTTPSendBytes,358289,1028633,670344,Number of bytes sent through HTTP interfaces
InterfaceNativeReceiveBytes,9337713061,9337713061,0,Number of bytes received through native interfaces
InterfaceNativeSendBytes,1582031,1582031,0,Number of bytes sent through native interfaces
JoinBuildTableRowCount,548,1664,1116,Total number of rows in the build table for a JOIN operation.
JoinOptimizeMicroseconds,427480,1118955,691475,Total time spent executing JOIN plan optimizations.
JoinProbeTableRowCount,8102537433,24603325344,16500787911,Total number of rows in the probe table for a JOIN operation.
JoinReorderMicroseconds,873,2654,1781,Total time spent executing JOIN reordering algorithm.
JoinResultRowCount,32410149732,98413301376,66003151644,Total number of rows in the result of a JOIN operation.
LoadedDataPartsMicroseconds,961,961,0,Microseconds spent by MergeTree tables for loading data parts during initialization.
LoadedMarksCount,81125,81125,0,Number of marks loaded (total across columns).
LoadedMarksFiles,77,77,0,Number of mark files loaded.
LoadedMarksMemoryBytes,357896,357896,0,Size of in-memory representations of loaded marks.
LocalThreadPoolBusyMicroseconds,46121088596,134537849800,88416761204,Total time threads have spent executing the actual work.
LocalThreadPoolExpansions,21966,65834,43868,Counts the total number of times threads have been borrowed from the global thread pool to expand local thread pools.
LocalThreadPoolJobWaitTimeMicroseconds,21258539,56164238,34905699,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
LocalThreadPoolJobs,22098,66182,44084,Counts the number of jobs that have been pushed to the local thread pools.
LocalThreadPoolLockWaitMicroseconds,1111521,3368734,2257213,Total time threads have spent waiting for locks in the local thread pools.
LocalThreadPoolShrinks,21918,65786,43868,Counts the total number of times threads have been returned to the global thread pool from local thread pools.
LocalThreadPoolThreadCreationMicroseconds,2945396,5220638,2275242,Total time local thread pools have spent waiting to borrow a thread from the global pool.
LogDebug,1,1,0,Number of log messages with level Debug
LogInfo,48,48,0,Number of log messages with level Info
LogWarning,2,2,0,Number of log messages with level Warning
LoggerElapsedNanoseconds,1174824,1174824,0,Cumulative time spend in logging
MainConfigLoads,1,1,0,Number of times the main configuration was reloaded.
MarkCacheHits,185566,560128,374562,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,77,77,0,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
MemoryWorkerRun,11766,23769,12003,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,972353,2213463,1241110,Total time spent by MemoryWorker for background work
Merge,13,13,0,Number of launched background merges.
MergeExecuteMilliseconds,35154,35154,0,Total busy time spent for execution of background merges
MergeHorizontalStageExecuteMilliseconds,8254,8254,0,Total busy time spent for execution of horizontal stage of background merges
MergeHorizontalStageTotalMilliseconds,8265,8265,0,Total time spent for horizontal stage of background merges
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,35201502,35201502,0,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,506,506,0,Time spent resetting task for MergeMutate executor.
MergeProjectionStageExecuteMilliseconds,23,23,0,Total busy time spent for execution of projection stage of background merges
MergeProjectionStageTotalMilliseconds,29,29,0,Total time spent for projection stage of background merges
MergeSourceParts,78,78,0,Number of source parts scheduled for merges.
MergeTotalMilliseconds,35200,35200,0,Total time spent for background merges
MergeTreeDataWriterBlocks,86,86,0,Number of blocks INSERTed to MergeTree tables. Each block forms a data part of level zero.
MergeTreeDataWriterBlocksAlreadySorted,78,78,0,Number of blocks INSERTed to MergeTree tables that appeared to be already sorted.
MergeTreeDataWriterCompressedBytes,4611161883,4611161883,0,Bytes written to filesystem for data INSERTed to MergeTree tables.
MergeTreeDataWriterRows,86586082,86586082,0,Number of rows INSERTed to MergeTree tables.
MergeTreeDataWriterSortingBlocksMicroseconds,516252,516252,0,Time spent sorting blocks
MergeTreeDataWriterUncompressedBytes,12048433387,12048433387,0,Uncompressed bytes (for columns as they stored in memory) INSERTed to MergeTree tables.
MergeVerticalStageExecuteMilliseconds,26877,26877,0,Total busy time spent for execution of vertical stage of background merges
MergeVerticalStageTotalMilliseconds,26906,26906,0,Total time spent for vertical stage of background merges
MergedColumns,43,43,0,Number of columns merged during the horizontal stage of merges.
MergedIntoWideParts,13,13,0,Number of parts merged into Wide format.
MergedRows,114933235,114933235,0,Rows read for background merges. This is the number of rows before merge.
MergedUncompressedBytes,15795076373,15795076373,0,Uncompressed bytes (for columns as they stored in memory) that was read for background merges. This is the number before merge.
MergerMutatorPartsInRangesForMergeCount,1221,1477,256,Amount of candidate parts for merge
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1708,2098,390,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorRangesForMergeCount,389,454,65,Amount of candidate ranges for merge
MergerMutatorSelectPartsForMergeElapsedMicroseconds,2350,3059,709,Time spent to select parts from ranges which can be merged.
MergerMutatorSelectRangePartsCount,78,78,0,Amount of parts in selected range for merge
MergerMutatorsGetPartsForMergeElapsedMicroseconds,16506,36236,19730,Time spent to take data parts snapshot to build ranges from them.
MergingSortedMilliseconds,6108,17829,11721,Total time spent while merging sorted columns
NetworkReceiveBytes,9338005279,9338594039,588760,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveElapsedMicroseconds,3057835,3063545,5710,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,1940320,2610664,670344,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,46495,114700,68205,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
OSCPUVirtualTimeMicroseconds,5732307465,17116458816,11384151351,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSCPUWaitMicroseconds,3828778234,9681639264,5852861030,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
