arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
27.0068,27.5349,3797.3356,3770.3289,0.5282,np_greedy_58
759.0006,759.3279,3187.8014,2428.8008,0.3273,p_greedy_140
816.0073,816.5033,7390.0782,6574.0709,0.4960,np_greedy_58
1055.0097,1055.4009,3747.1979,2692.1881,0.3911,p_greedy_140
1263.0013,1263.2843,8057.7929,6794.7916,0.2829,np_greedy_58
1350.0008,1350.5264,3833.3984,2483.3975,0.5256,p_greedy_140
1762.1365,1762.5663,7888.4578,6126.3213,0.4297,np_greedy_58
1851.2926,1852.1268,4363.8760,2512.5834,0.8341,p_greedy_140
2594.2013,2594.5950,4697.2707,2103.0694,0.3937,p_greedy_140
2630.0009,2630.5888,4739.3066,2109.3057,0.5879,p_greedy_140
3288.3817,3288.6084,9034.7050,5746.3233,0.2267,np_greedy_58
4468.1511,4468.6023,11299.8866,6831.7355,0.4512,np_greedy_58
5018.0006,5018.1338,11660.2841,6642.2834,0.1332,np_greedy_58
5798.0007,5798.2530,12058.7704,6260.7698,0.2523,np_greedy_58
5971.0007,5971.3201,6894.2057,923.2050,0.3193,p_greedy_140
6397.0024,6397.4106,7320.4587,923.4563,0.4082,p_greedy_140
6713.0019,6713.4046,13271.5205,6558.5185,0.4027,np_greedy_58
7446.0010,7446.2596,9206.0660,1760.0650,0.2586,p_greedy_140
7814.0062,7814.4415,10568.4343,2754.4281,0.4353,p_greedy_140
7930.3023,7931.0469,10815.0714,2884.7691,0.7446,p_greedy_140
7936.0012,7936.1299,10780.1362,2844.1350,0.1288,p_greedy_140
8514.1949,8514.6253,11113.9280,2599.7332,0.4304,p_greedy_140
8881.2149,8882.1274,11206.8956,2325.6806,0.9125,p_greedy_140
9116.3412,9116.5467,15555.0212,6438.6800,0.2055,np_greedy_58
10056.1418,10056.3540,16462.9833,6406.8416,0.2123,np_greedy_58
10703.1220,10703.2706,15964.9310,5261.8090,0.1486,np_greedy_58
11927.0642,11927.2093,13259.0709,1332.0067,0.1451,p_greedy_140
12021.0056,12021.3228,13323.4471,1302.4415,0.3171,p_greedy_140
12425.2391,12425.4172,18389.1114,5963.8723,0.1781,np_greedy_58
13067.1562,13067.3569,14199.8027,1132.6465,0.2007,p_greedy_140
