arrival_ms,start_ms,end_ms,latency_ms,wait_ms,qid
22.0060,22.3768,3954.4587,3932.4528,0.3708,np_greedy_58
608.0013,608.4103,1884.2596,1276.2583,0.4090,p_greedy_140
653.0016,653.4648,10709.6287,10056.6272,0.4633,np_greedy_58
844.1723,844.9186,3597.8041,2753.6318,0.7463,p_greedy_140
1010.3103,1011.5870,10933.4518,9923.1415,1.2767,np_greedy_58
1080.0797,1080.8082,4091.2442,3011.1645,0.7285,p_greedy_140
1409.2373,1410.0741,11932.8714,10523.6341,0.8368,np_greedy_58
1481.2045,1482.2329,4494.2408,3013.0363,1.0284,p_greedy_140
2075.2581,2075.9546,4847.8162,2772.5581,0.6964,p_greedy_140
2104.1642,2104.7722,4889.7537,2785.5895,0.6080,p_greedy_140
2631.2360,2631.8951,10486.3086,7855.0726,0.6591,np_greedy_58
3574.1705,3575.0275,13896.8727,10322.7022,0.8570,np_greedy_58
4014.2486,4015.1628,13955.6184,9941.3698,0.9143,np_greedy_58
4638.2972,4638.9876,14966.7035,10328.4063,0.6904,np_greedy_58
4776.5476,4776.7387,6100.4866,1323.9390,0.1911,p_greedy_140
5117.2280,5117.8185,7690.3613,2573.1333,0.5905,p_greedy_140
5371.1771,5371.3140,13607.0374,8235.8603,0.1369,np_greedy_58
5956.0012,5956.4060,9550.0483,3594.0471,0.4049,p_greedy_140
6251.0007,6251.3475,10173.5978,3922.5971,0.3468,p_greedy_140
6344.2570,6344.9241,10248.2565,3903.9995,0.6671,p_greedy_140
6349.0015,6349.2721,10314.1355,3965.1340,0.2706,p_greedy_140
6811.0571,6811.4579,10594.0466,3782.9895,0.4007,p_greedy_140
7105.5570,7106.3351,10738.8519,3633.2948,0.7781,p_greedy_140
7293.1047,7293.6174,15648.0317,8354.9270,0.5127,np_greedy_58
8045.2825,8045.5526,15994.1938,7948.9112,0.2701,np_greedy_58
8562.1025,8562.5981,16704.4507,8142.3482,0.4956,np_greedy_58
9542.0590,9542.5371,12868.6354,3326.5764,0.4782,p_greedy_140
9617.0111,9617.4443,12954.4329,3337.4218,0.4332,p_greedy_140
9940.2253,9940.6872,17325.0983,7384.8730,0.4619,np_greedy_58
10453.0076,10453.5498,13716.3319,3263.3243,0.5422,p_greedy_140
10794.0761,10794.2859,13986.1832,3192.1071,0.2098,p_greedy_140
10800.0009,10800.1666,17414.9736,6614.9727,0.1657,np_greedy_58
11513.0023,11513.1486,14508.4567,2995.4545,0.1463,p_greedy_140
11518.0017,11518.1237,14436.7805,2918.7789,0.1221,p_greedy_140
13923.0956,13923.3149,15212.2412,1289.1456,0.2193,p_greedy_140
14227.0034,14227.1842,23663.0919,9436.0885,0.1808,np_greedy_58
14634.0024,14634.1873,15584.2624,950.2601,0.1850,p_greedy_140
15965.0006,15965.1294,24846.4010,8881.4004,0.1288,np_greedy_58
