timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
24416.72,0,0,0,0,35,7,0,0,0,0,0,1,0,0,2097278,2,1,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,2,1,8,8,15686,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0
29455.39,253952,62,28676,1888145834,111,7,621,2210822,28,4227,53,71,2,197308,130251617,1244,1,0,70,70,8,210361,621,0,0,0,4591816,20421267,594187976,0,621,13808,2,1,8,8,15686,1,603445614,555229182,52040450,42596563,42612947,2,1,1874248772,73389,73389,8,8,8,42596563,11,3,108748,2250752,645976,4615,603445614,2210822,3946959,12392
34490.80,253952,62,37386,2462415270,113,7,621,2595996,28,6715,53,71,2,197308,130770455,1244,1,0,70,70,8,210361,621,0,0,0,6806431,27858710,762114860,0,621,13808,2,1,8,8,15686,1,771086702,723121548,81906816,55651120,55651120,2,1,2448649280,73389,73389,8,8,8,55651120,11,3,112905,2642228,771280,5894,771086702,2595996,6036434,12392
39507.87,253952,62,51355,3382665790,115,7,621,2901362,28,10630,53,71,2,197308,131035907,1244,1,0,70,70,8,210361,621,0,0,0,10543369,36208485,1030602657,0,621,13808,2,1,8,8,15686,1,1039915374,992166096,138739059,76559202,76575586,2,1,3368604888,73389,73389,8,8,8,76559202,11,3,131452,2952374,962710,7945,1039915374,2901362,9582140,12392
44527.58,253952,62,95293,6277848226,122,7,621,3156507,28,22997,53,71,2,197308,132085649,1244,1,0,70,70,8,210361,621,0,0,0,19843971,41723064,1872669806,0,621,13808,2,1,8,8,15686,1,1885854062,1838500904,218645412,142361037,142377421,2,1,6263885628,73389,73389,8,8,8,142361037,11,3,176142,3212241,1262179,14399,1885854062,3156507,18583615,12392
49545.27,253952,62,118705,7820671522,126,7,621,3496525,28,29609,53,71,2,197308,132882005,1244,1,0,70,70,8,210361,621,0,0,0,26693809,50599291,2325329364,0,621,13808,2,1,8,8,15686,1,2336610670,2289529092,306825883,177427437,177427437,2,1,7806807228,73389,73389,8,8,8,177427437,11,3,212697,3563069,1606233,17838,2336610670,3496525,25089604,12392
54554.64,253952,62,140751,9273441738,130,7,621,3839740,28,35834,53,71,2,197308,133412909,1244,1,0,70,70,8,210361,621,0,0,0,33692941,60461618,2749674749,0,621,13808,2,1,8,8,15686,1,2761283950,2714182507,370863588,210433771,210450155,2,1,9259085924,73389,73389,8,8,8,210433771,11,3,261000,3918273,1986351,21078,2761283950,3839740,31708812,12392
59578.73,253952,62,160487,10573348068,133,7,621,4173861,28,41382,53,71,2,197308,133943813,1244,1,0,70,70,8,210361,621,0,0,0,38601545,67241072,3128550461,0,621,13808,2,1,8,8,15686,1,3139939615,3094204924,424498072,239975333,239991717,2,1,10558914652,73389,73389,8,8,8,239975333,11,3,277727,4259084,2250778,23971,3139939615,4173861,36353194,12392
64609.49,253952,62,169235,11149830354,135,7,621,4573700,28,43879,53,71,2,197308,134209265,1244,1,0,70,70,8,210361,621,0,0,0,41368415,74954163,3298554214,0,621,13808,2,1,8,8,15686,1,3308236063,3262731553,458898667,253089393,253089393,2,1,11135212396,73389,73389,8,8,8,253073009,11,3,286198,4660742,2402380,25255,3308236063,4573700,38968631,12392
69664.19,253952,62,175127,11538092082,136,7,621,4859260,28,45541,53,71,2,197308,134474717,1244,1,0,70,70,8,210361,621,0,0,0,43466352,82695215,3412453751,0,621,13808,2,1,8,8,15686,1,3422006559,3376290087,498622435,261894905,261911289,2,1,11523375820,73389,73389,8,8,8,261894905,11,3,297903,4947692,2503809,26123,3422006559,4859260,40965271,12392
74783.38,253952,62,181315,11946017918,137,7,621,5304929,28,47283,53,71,2,197308,134740169,1244,1,0,70,70,8,210361,621,0,0,0,46017133,93428915,3532785323,0,621,13808,2,1,8,8,15686,1,3541019935,3495462296,602229054,271181586,271197970,2,1,11931989784,73389,73389,8,8,8,271181586,11,3,306128,5411757,2609179,27031,3541019935,5304929,43410827,12392
79817.24,253952,62,188363,12410304714,138,7,621,5740530,28,49260,53,71,2,197308,134740169,1244,1,0,70,70,8,210361,621,0,0,0,47547253,100521958,3668848334,0,621,13808,2,1,8,8,15686,1,3676286239,3631189658,760184153,281738027,281754411,2,1,12396473188,73389,73389,8,8,8,281738027,11,3,311838,5848846,2710366,28063,3676286239,5740530,44839906,12392
84853.85,253952,62,194714,12828647466,139,7,621,6101158,28,51049,53,71,2,197308,134740169,1244,1,0,70,70,8,210361,621,0,0,0,49970940,112131599,3791533196,0,621,13808,2,1,8,8,15686,1,3798445343,3753449166,815268273,291231667,291248051,2,1,12814193348,73389,73389,8,8,8,291231667,11,3,324620,6210952,2826920,28995,3798445343,6101158,47147166,12392
89898.26,253952,62,201552,13279437154,140,7,621,6489492,28,52969,53,71,2,197308,135005621,1244,1,0,70,70,8,210361,621,0,0,0,52347559,123042546,3922874042,0,621,13808,2,1,8,8,15686,1,3930434847,3885245741,878610328,301491037,301491037,2,1,13265605628,73389,73389,8,8,8,301491037,11,3,335489,6610810,2954976,30002,3930434847,6489492,49395869,12392
94929.15,253952,62,209137,13779182234,141,7,621,6906133,28,55093,53,71,2,197308,135271073,1244,1,0,70,70,8,210361,621,0,0,0,54621550,132637045,4067731929,0,621,13808,2,1,8,8,15686,1,4076317983,4031369808,936169615,312831751,312848135,2,1,13764597044,73389,73389,8,8,8,312831751,11,3,344066,7029121,3078326,31115,4076317983,6906133,51546676,12392
99948.89,253952,62,220173,14506419310,143,7,621,7204343,28,58213,53,71,2,197308,135536525,1244,1,0,70,70,8,210361,621,0,0,0,59279538,147701106,4281033129,0,621,13808,2,1,8,8,15686,1,4288916767,4243939991,1151696740,329363590,329379974,2,1,14491997960,73389,73389,8,8,8,329363590,11,3,359401,7329650,3283769,32737,4288916767,7204343,55999397,12392
104975.14,253952,62,228193,15034938002,144,7,621,7687113,28,60454,53,71,2,197308,135801977,1244,1,0,70,70,8,210361,621,0,0,0,60795473,153025136,4434812313,0,621,13808,2,1,8,8,15686,1,4443188511,4398472219,1167610510,341382081,341382081,2,1,15020090668,73389,73389,8,8,8,341365697,11,3,366053,7814174,3385640,33914,4443188511,7687113,57413630,12392
110016.14,253952,62,234678,15462062578,145,7,621,8055056,28,62278,53,71,2,197308,135801977,1244,1,0,70,70,8,210361,621,0,0,0,63231166,162549046,4559474964,0,621,13808,2,1,8,8,15686,1,4568100127,4523290724,1241611854,351080521,351096905,2,1,15447542924,73389,73389,8,8,8,351080521,11,3,380275,8193574,3507207,34867,4568100127,8055056,59727906,12392
115067.24,253952,62,241175,15890239038,146,7,621,8446642,28,64093,53,71,2,197308,136067429,1244,1,0,70,70,8,210361,621,0,0,0,65406105,172811377,4685700308,0,621,13808,2,1,8,8,15686,1,4693142815,4648484071,1302915081,360825954,360825954,2,1,15875621080,73389,73389,8,8,8,360809570,11,3,389524,8586453,3624520,35821,4693142815,8446642,61785665,12392
120097.44,253952,62,249429,16434093154,148,7,621,8755611,28,66463,53,71,2,197308,136332881,1244,1,0,70,70,8,210361,621,0,0,0,68345639,185266092,4844976682,0,621,13808,2,1,8,8,15686,1,4851739935,4807483999,1413928634,373172125,373188509,2,1,16419573500,73389,73389,8,8,8,373172125,11,3,399656,8897108,3746007,37031,4851739935,8755611,64603873,12392
125114.25,253952,62,259945,17126986058,149,7,621,9107066,28,69387,53,71,2,197308,136332881,1244,1,0,70,70,8,210361,621,0,0,0,72075698,197010907,5047660374,0,621,13808,2,1,8,8,15686,1,5054246175,5009963199,1549651524,388927883,388944267,2,1,17112826852,73389,73389,8,8,8,388927883,11,3,408176,9250640,3901587,38576,5054246175,9107066,68178536,12392
130137.11,253952,62,274364,18076993230,152,7,621,9445346,28,73486,53,71,2,197308,136863785,1244,1,0,70,70,8,210361,621,0,0,0,75994491,206217521,5324143083,0,621,13808,2,1,8,8,15686,1,5331856671,5287747482,1626266271,410521934,410521934,2,1,18062244200,73389,73389,8,8,8,410505550,11,3,418063,9591660,4098646,40694,5331856671,9445346,71900449,12392
135141.12,253952,62,328048,21614084870,162,7,621,9693693,28,88621,53,71,2,197308,138721949,1244,1,0,70,70,8,210361,621,0,0,0,86540122,209594492,6355114025,0,621,13808,2,1,8,8,15686,1,6364018448,6321681938,1716034388,490914104,490914104,2,1,21600220576,73389,73389,8,8,8,490914104,11,3,438353,9845210,4439149,48578,6364018448,9693693,82105975,12392
140144.78,253952,62,388448,25593436594,173,7,621,9915639,28,105731,53,71,2,197308,140568047,1244,1,0,70,70,8,210361,621,0,0,0,97186424,209644609,7515113770,0,621,13808,2,1,8,8,15686,1,7524653633,7484953321,1738861334,581350937,581367321,2,1,25579441228,73389,73389,8,8,8,581350937,11,3,449443,10072383,4703712,57438,7524653633,9915639,92488128,12392
141242.27,253952,62,400935,26415466446,178,7,621,9963749,28,109410,53,78,2,197308,148439424,1251,1,1039,77,77,70,210383,621,457,1039,75,102423690,218994810,7768352092,8,621,13808,2,1,8,8,15686,1,7763456807,7725180361,7354167077,600037902,600037902,2,1,26401667688,73389,73389,8,8,8,600037902,11,3,462709,10121559,4858987,59276,7763456807,9963749,97570276,12392
