timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
9371.40,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
14418.23,5,253952,62,31661,2085098054,112,0,621,1889681,8,5100,46,57,1,230342,130517069,1244,1,0,56,58,2,6,230954,621,0,0,0,5319549,10535974,646895817,0,621,569,2,1,8,8,9583,0,1,661117294,612796713,28166121,47074984,47074984,2,1,0,2071299296,73389,73389,8,8,8,47074984,8,3,293048,1911162,1184484,5055,661117294,1889681,4134855,6372
19445.88,5,253952,62,41064,2704783938,113,0,621,2290853,8,7714,46,57,1,230342,130770455,1244,1,0,56,58,2,6,230954,621,0,0,0,8319441,18540530,827295182,0,621,569,2,1,8,8,9583,0,1,841996654,793911281,70707293,61153541,61169925,2,1,0,2690755804,73389,73389,8,8,8,61153541,8,3,316882,2314407,1394397,6435,841996654,2290853,6925018,6372
24572.41,5,253952,62,48590,3200662394,115,0,621,2754294,8,9878,46,57,1,230342,131035907,1244,1,0,56,58,2,6,230954,621,0,0,0,10368020,24906951,972160298,0,621,569,2,1,8,8,9583,0,1,986831214,938960749,116467363,72428719,72428719,2,1,0,3186142740,73389,73389,8,8,8,72412335,8,3,326937,2779552,1543049,7540,986831214,2754294,8825123,6372
29605.99,5,253952,62,56187,3701193906,116,0,621,3116776,8,12008,46,57,1,230342,131301359,1244,1,0,56,58,2,6,230954,621,0,0,0,12883171,34252707,1120681143,0,621,569,2,1,8,8,9583,0,1,1133107566,1085206394,173789707,83802201,83818585,2,1,0,3687296844,73389,73389,8,8,8,83802201,8,3,337948,3170524,1660440,8656,1133107566,3116776,11223031,6372
34626.32,5,253952,62,63917,4210441706,117,0,621,3517353,8,14169,46,57,1,230342,131301359,1244,1,0,56,58,2,6,230954,621,0,0,0,15949775,44982915,1268160105,0,621,569,2,1,8,8,9583,0,1,1281481070,1234112469,224535791,95380483,95396867,2,1,0,4196741252,73389,73389,8,8,8,95380483,8,3,346430,3573210,1801426,9788,1281481070,3517353,14148817,6372
39648.11,5,253952,62,76940,5068683104,119,0,621,3816782,8,17829,46,57,1,230342,131820197,1244,1,0,56,58,2,6,230954,621,0,0,0,20426369,56780245,1518813075,0,621,569,2,1,8,8,9583,0,1,1532746094,1485009468,312660203,114871349,114887733,2,1,0,5054339356,73389,73389,8,8,8,114871349,8,3,352311,3875043,1960857,11705,1532746094,3816782,18466173,6372
44658.55,5,253952,62,117741,7757229366,126,0,621,4085300,8,29337,46,57,1,230342,132882005,1244,1,0,56,58,2,6,230954,621,0,0,0,29849853,62188673,2302159605,0,621,569,2,1,8,8,9583,0,1,2318260590,2270903512,390827241,175979612,175995996,2,1,0,7743102928,73389,73389,8,8,8,175979612,8,3,368614,4147759,2241674,17698,2318260590,4085300,27609164,6372
49678.37,5,253952,62,141728,9337735862,130,0,621,4429511,8,36105,46,57,1,230342,133412909,1244,1,0,56,58,2,6,230954,621,0,0,0,35408420,68314486,2763734052,0,621,569,2,1,8,8,9583,0,1,2779634030,2732948766,441208786,211897980,211914364,2,1,0,9323511120,73389,73389,8,8,8,211897980,8,3,376120,4499201,2512656,21218,2779634030,4429511,32896957,6372
54691.33,5,253952,62,163121,10747019634,134,0,621,4768470,8,42120,46,57,1,230342,134209265,1244,1,0,56,58,2,6,230954,621,0,0,0,42663314,78916541,3177082573,0,621,569,2,1,8,8,9583,0,1,3190533407,3144946965,509441990,243931625,243948009,2,1,0,10732991500,73389,73389,8,8,8,243931625,8,3,389145,4853539,2771702,24357,3190533407,4768470,39892998,6372
59702.63,5,253952,62,184498,12155680814,137,0,621,5166932,8,48152,46,57,1,230342,134740169,1244,1,0,56,58,2,6,230954,621,0,0,0,49470628,89397441,3585798461,0,621,569,2,1,8,8,9583,0,1,3601968415,3556735536,659122151,275940694,275957078,2,1,0,12141390536,73389,73389,8,8,8,275940694,8,3,406258,5255364,3064399,27496,3601968415,5166932,46407818,6372
64729.33,5,253952,62,193501,12748621394,139,0,621,5581412,8,50713,46,57,1,230342,134740169,1244,1,0,56,58,2,6,230954,621,0,0,0,51348221,94927907,3759632147,0,621,569,2,1,8,8,9583,0,1,3775245599,3730045867,680432526,289417361,289433745,2,1,0,12734363884,73389,73389,8,8,8,289417361,8,3,408761,5680772,3181169,28818,3775245599,5581412,48168809,6372
69770.60,5,253952,62,200762,13227398262,140,0,621,6055986,8,52754,46,57,1,230342,135005621,1244,1,0,56,58,2,6,230954,621,0,0,0,53405780,103036160,3901462164,0,621,569,2,1,8,8,9583,0,1,3915099423,3869991837,726328637,300305356,300321740,2,1,0,13213435664,73389,73389,8,8,8,300305356,8,3,410602,6171803,3274791,29885,3915099423,6055986,50132892,6372
74875.43,5,253952,62,206894,13631388630,141,0,621,6408216,8,54477,46,57,1,230342,135271073,1244,1,0,56,58,2,6,230954,621,0,0,0,55895021,113641775,4020743171,0,621,569,2,1,8,8,9583,0,1,4033195295,3988156273,767969429,309471316,309487700,2,1,0,13616737904,73389,73389,8,8,8,309471316,8,3,411961,6525240,3347213,30786,4033195295,6408216,52549853,6372
79916.18,5,253952,62,212667,14011586122,142,0,621,6805683,8,56106,46,57,1,230342,135271073,1244,1,0,56,58,2,6,230954,621,0,0,0,58380853,123860696,4131885165,0,621,569,2,1,8,8,9583,0,1,4144344351,4099327421,863284736,318115147,318131531,2,1,0,13997066468,73389,73389,8,8,8,318115147,8,3,416487,6923904,3439557,31634,4144344351,6805683,54943465,6372
84956.09,5,253952,62,219045,14431963798,143,0,621,7046749,8,57904,46,57,1,230342,135536525,1244,1,0,56,58,2,6,230954,621,0,0,0,60629414,134165071,4255361459,0,621,569,2,1,8,8,9583,0,1,4266896671,4222192474,980230209,327680356,327680356,2,1,0,14417214768,73389,73389,8,8,8,327663972,8,3,419549,7180441,3530545,32569,4266896671,7046749,57101179,6372
89993.12,5,253952,62,225746,14873775054,144,0,621,7471355,8,59782,46,57,1,230342,135801977,1244,1,0,56,58,2,6,230954,621,0,0,0,62809210,145598973,4386057392,0,621,569,2,1,8,8,9583,0,1,4395871519,4351334981,1110207827,337710350,337726734,2,1,0,14859255400,73389,73389,8,8,8,337710350,8,3,422889,7621618,3632312,33553,4395871519,7471355,59179359,6372
95025.18,5,253952,62,233439,15380598022,145,0,621,7843415,8,61939,46,57,1,230342,135801977,1244,1,0,56,58,2,6,230954,621,0,0,0,65506586,156192677,4534458668,0,621,569,2,1,8,8,9583,0,1,4544113951,4499495138,1301112061,349239480,349239480,2,1,0,15365816224,73389,73389,8,8,8,349223096,8,3,426325,7995334,3739390,34684,4544113951,7843415,61769822,6372
100050.88,5,253952,62,244289,16095645402,147,1,621,8217995,8,65009,46,57,1,230342,136332881,1244,1,0,56,58,2,6,230954,621,0,0,0,69775873,170600854,4741990354,0,621,569,2,1,8,8,9583,0,1,4752911647,4708485343,1408325142,365484599,365500983,2,1,0,16081322356,73389,73389,8,8,8,365484599,8,3,435709,8371995,3921297,36277,4752911647,8217995,65857389,6372
105077.26,5,253952,62,252793,16655883518,148,1,621,8656809,8,67384,46,57,1,230342,136332881,1244,1,0,56,58,2,6,230954,621,0,0,0,72062115,178262628,4905989034,0,621,569,2,1,8,8,9583,0,1,4916489503,4872293028,1450324460,378215794,378232178,2,1,0,16641494936,73389,73389,8,8,8,378215794,8,3,439322,8812480,4039575,37525,4916489503,8656809,68025517,6372
110120.21,5,253952,62,259223,17079403614,149,1,621,9031317,8,69193,46,57,1,230342,136332881,1244,1,0,56,58,2,6,230954,621,0,0,0,73902024,185918001,5030774118,0,621,569,2,1,8,8,9583,0,1,5040614687,4996112879,1483528430,387840506,387856890,2,1,0,17064982264,73389,73389,8,8,8,387840506,8,3,442331,9188387,4136141,38472,5040614687,9031317,69769002,6372
115183.11,5,253952,62,265304,17480051646,150,1,621,9439756,8,70904,46,57,1,230342,136598333,1244,1,0,56,58,2,6,230954,621,0,0,0,75974498,195266657,5147828095,0,621,569,2,1,8,8,9583,0,1,5157530911,5113206769,1532144142,396957314,396957314,2,1,0,17466121816,73389,73389,8,8,8,396957314,8,3,445141,9598086,4209833,39364,5157530911,9439756,71767931,6372
120220.19,5,253952,62,272778,17972787682,151,1,621,9725093,8,73000,46,57,1,230342,136863785,1244,1,0,56,58,2,6,230954,621,0,0,0,80317437,213411266,5292683616,0,621,569,2,1,8,8,9583,0,1,5301447967,5257249940,1711267540,408156605,408156605,2,1,0,17958169724,73389,73389,8,8,8,408140221,8,3,450467,9884964,4333343,40462,5301447967,9725093,75987509,6372
125237.11,5,253952,62,282249,18596664562,153,1,621,10104386,8,75691,46,57,1,230342,137129237,1244,1,0,56,58,2,6,230954,621,0,0,0,84115838,227001275,5474776738,0,621,569,2,1,8,8,9583,0,1,5484031263,5439706326,1803890680,422327433,422327433,2,1,0,18582407052,73389,73389,8,8,8,422327433,8,3,453566,10272219,4466750,41855,5484031263,10104386,79652673,6372
130250.23,5,253952,62,296868,19559683938,156,1,621,10452734,8,79839,46,57,1,230342,137660141,1244,1,0,56,58,2,6,230954,621,0,0,0,88246390,236966939,5753605999,0,621,569,2,1,8,8,9583,0,1,5764384199,5721148617,1877514435,444222429,444222429,2,1,0,19545786876,73389,73389,8,8,8,444222429,8,3,470102,10625226,4669216,43998,5764384199,10452734,83580940,6372
135253.69,5,253952,62,346590,22835365394,166,1,621,10683986,8,93895,46,57,1,230342,139252853,1244,1,0,56,58,2,6,230954,621,0,0,0,98934077,240037690,6708622798,0,621,569,2,1,8,8,9583,0,1,6720078818,6678791149,1915156353,518663777,518663777,2,1,0,22820485292,73389,73389,8,8,8,518647393,8,3,487242,10861400,4951163,51299,6720078818,10683986,93986074,6372
140257.44,5,253952,62,400313,26375009630,176,1,621,10895423,8,109079,46,57,1,230342,141098951,1244,1,0,56,58,2,6,230954,621,0,0,0,109360214,240038266,7743399150,0,621,569,2,1,8,8,9583,0,1,7752627412,7713404100,1939747636,599115450,599115450,2,1,0,26361079800,73389,73389,8,8,8,599115450,8,3,497125,11078136,5221368,59182,7752627412,10895423,104143440,6372
140396.23,5,253952,62,400935,26415466446,181,1,621,10897661,8,109410,46,76,10,230342,148439424,1251,1,1038,75,77,2,68,233337,621,636,1038,77,111544818,244823299,7768612256,8,621,569,2,1,8,8,9583,131031130,1,7763456807,7725180361,6807156040,600037902,600037902,2,1,131031130,26401667688,73389,73389,8,8,8,600037902,8,3,523279,11080447,5354344,59276,7763456807,10897661,106196111,6372
