timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
14771.52,2,253952,62,20316,1337751960,179,1,558,783063,0,18,7781,71,0,100703896,1118,1,0,4,7481,24623601,10,97912940,70,70,8,334,558,0,0,12852980,37106701,448093145,0,558,256,0,3,1,8,8,8205,3,453518049,423887003,54777996,25450324,25614164,3,1,1320009008,73389,73389,8,8,8,25384792,10,3,192005,796439,693603,3812,453518049,783063,12159830,46994
15796.80,2,253952,62,42171,2777256708,312,1,558,1639622,0,18,16339,71,0,107919364,1118,1,0,4,7481,51812544,10,206410136,70,70,8,334,558,0,0,26901929,78566581,899933220,0,558,256,0,3,1,8,8,8205,3,906341992,877281318,113839240,53122395,53253467,3,1,2761512604,73389,73389,8,8,8,53106015,10,3,224016,1658062,1013033,7553,906473064,1639678,25889855,46994
16807.19,6,253952,62,68214,4494701232,484,5,558,2565710,0,18,26633,71,0,113831704,1118,1,0,4,7481,84529478,10,336954584,70,70,8,334,558,0,0,45746249,124962343,1436842913,0,558,256,0,3,1,8,8,8205,3,1444706869,1417953282,181135837,86193821,86292125,3,1,4480374788,73389,73389,8,8,8,86161057,10,3,255330,2590120,1365112,12021,1444706869,2565710,44382620,46994
17835.72,9,253952,62,96934,6385317220,667,11,558,3479946,0,18,37940,71,0,113831704,1118,1,0,4,7481,120347093,10,480548276,70,70,8,334,558,0,0,65709379,165625280,2031503056,0,558,256,0,3,1,8,8,8205,3,2039982716,2013291576,243454954,122508008,122655464,3,1,6368712512,73389,73389,8,8,8,122475244,10,3,275364,3510928,1738181,16953,2039982716,3479946,63973187,46994
18857.63,14,253952,62,123719,8151691106,841,15,558,4392315,0,18,48540,71,0,113831704,1118,1,0,4,7481,153907753,10,615113920,70,70,8,334,558,0,0,83895491,203672316,2588520678,0,558,256,0,3,1,8,8,8205,3,2596568289,2569251507,304489318,156511163,156609467,3,1,8136024604,73389,73389,8,8,8,156462015,10,3,317031,4432679,2177642,21567,2596568289,4392315,81720297,46994
19889.54,19,253952,62,146250,9635486124,984,18,558,5092740,0,18,57401,71,0,113831704,1118,1,0,4,7481,182093482,10,727405224,70,70,8,334,558,0,0,101459290,246792263,3058004203,0,558,256,0,3,1,8,8,8205,3,3061370934,3036361275,371089394,185067970,185182658,3,1,9620978568,73389,73389,8,8,8,185018822,10,3,368320,5141331,2549871,25417,3061370934,5092740,98912366,46994
20913.00,23,253952,62,163443,10768605354,1099,26,558,6092557,0,18,64177,71,0,113831704,1118,1,0,4,7481,203457019,10,813246572,70,70,8,334,558,0,0,114062805,294276491,3416017482,0,558,256,0,3,1,8,8,8205,3,3417605617,3393257222,434255405,206881046,206928039,3,1,10756110488,73389,73389,8,8,8,206848282,10,3,404451,6145253,2871776,28381,3417605617,6092557,111194411,46994
21949.91,26,253952,62,180419,11887068896,1205,26,558,7193279,0,18,70829,71,0,113831704,1118,1,0,4,7481,224640662,10,897851732,70,70,8,334,558,0,0,126312316,341876871,3770671288,0,558,256,0,3,1,8,8,8205,3,3774094360,3745141876,496792206,228303065,228466905,3,1,11868351540,73389,73389,8,8,8,228237533,10,3,434061,7262163,3164207,31327,3774094360,7193279,123150923,46994
22987.21,30,253952,62,196930,12975709762,1308,27,567,8212978,0,18,77324,71,0,115282511,1136,1,0,4,7481,245173615,10,980113240,70,70,8,334,567,0,0,137263130,385516986,4113847550,0,567,264,0,3,1,8,8,8205,3,4118245343,4087731158,555454616,249237438,249417662,3,1,12957790904,73389,73389,8,8,8,249188290,10,3,462091,8298847,3446706,34174,4118245343,8212978,133820671,47028
24006.41,34,253952,62,213142,14043512566,1419,28,567,9246693,0,18,83721,71,0,115584161,1136,1,0,4,7481,265549699,10,1061164560,70,70,8,334,567,0,0,150911359,436488582,4454511407,0,567,264,0,3,1,8,8,8205,3,4455300414,4424179441,627198415,269811807,269910111,3,1,14025102188,73389,73389,8,8,8,269713507,10,3,495058,9336566,3733255,36977,4455300414,9246693,147182782,47028
25038.76,38,253952,62,228255,15039291306,1519,28,576,10102424,0,18,89708,71,0,117083050,1154,1,0,4,7481,284456095,10,1137242876,70,70,8,334,576,0,0,161407405,480884729,4767397063,0,576,278,0,3,1,8,8,8205,3,4767521371,4737409305,685144925,288936192,289100032,3,1,15019570208,73389,73389,8,8,8,288837892,10,3,553023,10202109,4030093,39571,4767521371,10102424,157382370,47074
26057.64,41,253952,62,245494,16175642380,1626,29,576,11117894,0,18,96486,71,0,117083050,1154,1,0,4,7481,305895302,10,1223072816,70,70,8,334,576,0,0,174466380,531211619,5124665289,0,576,278,0,3,1,8,8,8205,3,5124651947,5095274930,752613410,310779877,310960101,3,1,16158849700,73389,73389,8,8,8,310747113,10,3,608051,11257053,4362234,42525,5124651947,11117894,170108641,47074
27067.41,47,253952,62,262142,17270486498,1732,32,576,11904989,0,18,103046,71,0,117083050,1154,1,0,4,7481,326657737,10,1306307916,70,70,8,334,576,0,0,186543110,577119375,5467648838,0,576,278,0,3,1,8,8,8205,3,5469355403,5440267928,814883764,331905713,332020401,3,1,17251429396,73389,73389,8,8,8,331758261,10,3,648680,12048270,4661413,45378,5469355403,11904989,181886632,47074
28095.91,55,253952,62,281286,18534519162,1858,34,585,12718649,0,18,110552,71,0,118895820,1172,1,0,4,7481,350639862,10,1401339272,70,70,8,334,585,0,0,201191341,624268131,5865250467,0,585,289,0,3,1,8,8,8205,3,5866996897,5838127653,879909208,356146607,356294063,3,1,18517919660,73389,73389,8,8,8,356113843,10,3,680378,12890672,4975718,48678,5866996897,12718649,196221999,47105
29112.89,60,253952,62,301240,19849403776,1989,34,594,13661874,0,18,118420,71,0,120394185,1190,1,0,4,7481,375524222,10,1501256672,70,70,8,334,594,0,0,215980644,668885445,6279444653,0,594,298,0,3,1,8,8,8205,3,6280679149,6252000531,943092117,381483958,381582262,3,1,19832054040,73389,73389,8,8,8,381385658,10,3,716157,13847896,5327830,52106,6280679149,13661874,210656684,47132
