timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
44230.38,0,0,0,0,0,16,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
45247.96,17,253952,62,81975,5399968872,570,3,558,875061,12,13,32048,71,102,113831704,1118,1,0,4,290,101674363,6,405599876,70,70,29,8,557,558,0,0,45843278,12299738,1700847437,0,546,163,12,3,1,8,8,728,3,1730597383,1703057335,58696596,103586264,103684568,3,1,5385633792,73389,73389,8,8,8,103569884,3,3,314621,889534,1531874,14391,1730597383,875061,44311191,2716
46255.68,22,253952,62,165420,10899654144,1110,7,558,1803584,12,13,64924,71,102,113831704,1118,1,0,4,290,205883907,6,822695164,70,70,29,8,557,558,0,0,95133727,25844175,3428007339,0,546,163,12,3,1,8,8,728,3,3458545552,3434414364,122027833,209360619,209442539,3,1,10884196316,73389,73389,8,8,8,209311471,3,3,343836,1834503,2430205,28714,3458545552,1803584,92705068,2716
47271.81,30,253952,62,249018,16406325792,1650,9,576,2703204,12,13,97828,71,102,117083050,1154,1,0,4,290,310223606,6,1239925076,70,70,29,8,557,576,0,0,144772492,38924742,5168955841,0,564,180,12,3,1,8,8,728,3,5196964740,5168002037,185326109,315254868,315402324,3,1,16391549232,73389,73389,8,8,8,315222104,3,3,367227,2754342,3322557,43133,5196964740,2703204,141452287,2793
48290.10,35,253952,62,298125,19644016338,1966,14,594,3647263,12,13,117202,71,102,120394185,1190,1,0,4,290,371704085,6,1485847068,70,70,29,8,557,594,0,0,175894916,67173594,6200682366,0,582,203,12,3,1,8,8,728,3,6215160112,6187642808,246302643,377527666,377609586,3,1,19628030792,73389,73389,8,8,8,377462134,3,3,416439,3723441,3930424,51562,6215160112,3647263,171967462,2874
49306.29,41,253952,62,339478,22369462432,2233,16,594,4641094,12,13,133484,71,102,121021617,1190,1,0,4,290,423272502,6,1692250432,70,70,29,8,557,594,0,0,202716455,100544259,7058483091,0,582,203,12,3,1,8,8,728,3,7072331323,7045373484,308020712,429883443,430096435,3,1,22351383164,73389,73389,8,8,8,429834295,3,3,463121,4746092,4493798,58653,7072331323,4641094,198269027,2874
50331.16,44,253952,62,378818,24959907728,2490,17,594,5547638,12,13,148965,71,102,121021617,1190,1,0,4,290,472489095,6,1888792044,70,70,29,8,557,594,0,0,228918076,135812776,7873071977,0,582,203,12,3,1,8,8,728,3,7891911829,7861137371,371186320,479737674,479868746,3,1,24945507112,73389,73389,8,8,8,479721294,3,3,626228,5670232,5312020,65444,7891911829,5547638,223609195,2874
51340.89,60,253952,62,419471,27638525408,2751,18,603,6501325,14,13,164991,71,102,122463765,1208,1,0,4,290,523140823,6,2092046272,70,70,29,8,557,603,0,0,255667444,171275068,8727198288,0,589,3234,14,3,1,8,8,728,3,8735804132,8704185558,435694847,531258311,531370840,3,1,27622876300,73389,73389,8,8,8,531209163,3,3,687766,6641471,5909019,72434,8735804132,6501325,249762105,2919
52362.39,64,253952,62,459787,30293826350,3005,19,639,7343915,16,13,180806,71,102,128232744,1280,1,0,4,290,573401960,6,2292573876,70,70,29,8,557,639,0,0,281441878,206027976,9565283102,0,623,3306,16,3,1,8,8,728,3,9577217439,9541029369,498091441,582304442,582353594,3,1,30275571176,73389,73389,8,8,8,582222526,3,3,732143,7495740,6409987,79432,9577217439,7343915,275036179,3087
52812.94,65,253952,62,473880,31221757570,3118,22,783,7661893,16,13,186567,75,102,160993285,1575,1,1227,4,290,591599349,6,2366397396,74,77,29,70,649,783,1227,150,293046877,221365596,9895591063,8,767,3476,16,3,1,8,8,728,3,9890206813,9835445536,538768643,600037902,600037902,3,1,31201970936,73389,73389,8,8,8,600037906,3,3,757881,7817061,6642777,82023,9890206813,7661893,286409633,8711
