timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
25310.42,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
27315.03,0,0,16604,1092672428,0,0,0,0,1,1,6233,117,0,504,126865,10,1551,8,0,103715390,1010,1,0,7,15,6,2372,504,0,0,0,1974969,16047,358475986,0,504,434,2,1,14,14,411,1,359956676,322205318,1992345,24572065,24588449,1,2,1,1081170860,73389,73389,14,14,14,24572065,9,3,315339,128930,815808,2764,359956676,126865,1159243,1677
29321.40,253952,62,32676,2151819030,17,18743524,0,37,22,22,6233,119,0,675,252090,10,5007,29,85,140299886,1352,1,0,28,36,6,2596,675,0,0,0,5401773,652142,679949552,0,675,504,2,1,14,14,411,1,683801392,632879966,26298740,48535319,48551703,1,2,1,2135554036,73389,73389,14,14,14,48535319,9,3,484601,258018,1305783,5236,683801392,252090,4096193,2218
31328.06,253952,62,46818,3083672730,17,23398358,0,72,22,22,6233,121,0,675,363276,10,8957,29,85,140565338,1352,1,0,28,36,6,2596,675,0,0,0,9406378,1655600,954533434,0,675,504,2,1,14,14,411,1,956169008,905270365,34738995,69727962,69727962,1,2,1,3067309432,73389,73389,14,14,14,69711578,9,3,503366,371674,1504639,7314,956169008,363276,7902062,2218
33335.85,253952,62,60517,3986493982,17,26837701,0,104,23,23,6233,124,0,675,458680,10,12866,29,85,141096242,1352,1,0,28,37,6,2596,675,0,0,0,13549553,3240107,1218499089,0,675,504,2,1,14,14,411,1,1219885872,1169157774,47578942,90240669,90257053,1,2,1,3970589436,73389,73389,14,14,14,90240669,9,3,524168,469175,1706678,9326,1219885872,458680,11843320,2218
35340.35,253952,62,72509,4776648926,19,31729371,0,144,23,23,6233,126,0,675,532068,10,16238,29,85,141361694,1352,1,0,28,37,6,2596,675,0,0,0,16851772,3891260,1450474677,0,675,504,2,1,14,14,411,1,1450703664,1400229444,56707253,108203949,108203949,1,2,1,4760973756,73389,73389,14,14,14,108203949,9,3,536211,544458,1860047,11087,1450703664,532068,14992278,2218
37350.17,253952,62,82851,5457873114,21,35433866,0,167,24,24,6233,127,0,675,585855,10,19115,29,85,141361694,1352,1,0,28,38,6,2596,675,0,0,0,19287753,3953440,1649267209,0,675,504,2,1,14,14,411,1,1649408816,1599338392,62924890,123691530,123691530,1,2,1,5442427320,73389,73389,14,14,14,123691530,9,3,551456,599592,1986055,12603,1649408816,585855,17302335,2218
39354.62,253952,62,95866,6315867742,21,37261170,0,229,26,26,6233,129,0,675,688179,10,22775,29,85,141892598,1352,1,0,28,40,6,2596,675,0,0,0,22783135,4567395,1898285129,0,675,504,2,1,14,14,411,1,1900411696,1850128198,69136135,143188429,143188429,1,2,1,6300290876,73389,73389,14,14,14,143188429,9,3,561488,703906,2129669,14518,1900411696,688179,20654214,2218
41358.40,253952,62,116732,7690509122,24,40674019,0,238,29,29,6233,133,0,675,760040,10,28685,29,85,142423502,1352,1,0,28,43,6,2596,675,0,0,0,26549953,4574781,2301482454,0,675,504,2,1,14,14,411,1,2301885232,2251987407,78148909,174415384,174431768,1,2,1,7674276896,73389,73389,14,14,14,174415384,9,3,575232,777777,2256053,17581,2301885232,760040,24294802,2218
43362.11,253952,62,141315,9310340526,24,40674019,0,238,29,29,6233,137,0,675,834549,10,35609,29,85,142942340,1352,1,0,28,43,6,2596,675,0,0,0,30703519,4575140,2774166028,0,675,504,2,1,14,14,411,1,2775055152,2725547960,86705383,211240905,211240905,1,2,1,9293878924,73389,73389,14,14,14,211224521,9,3,586552,854384,2389011,21191,2775055152,834549,28315591,2218
45365.79,253952,62,165794,10923297266,24,40674019,0,238,29,29,6233,141,0,675,920548,10,42503,29,85,144004148,1352,1,0,28,43,6,2596,675,0,0,0,34821345,4575375,3245251734,0,675,504,2,1,14,14,411,1,3245312976,3196860299,95083833,247906460,247906460,1,2,1,10907884240,73389,73389,14,14,14,247906460,9,3,621164,942574,2567908,24782,3245312976,920548,32254699,2218
47371.45,253952,62,183121,12064679482,26,44104049,0,263,29,29,6233,144,0,675,1014936,10,47391,29,85,144269600,1352,1,0,28,43,6,2596,675,0,0,0,38526770,4667502,3579628259,0,675,504,2,1,14,14,411,1,3579022288,3530575696,110635201,273827602,273843986,1,2,1,12048414488,73389,73389,14,14,14,273827602,9,3,647615,1039106,2746459,27328,3579022288,1014936,35781720,2218
49381.28,253952,62,198854,13101331862,26,46317408,0,302,30,30,6233,146,0,675,1130164,10,51794,29,85,144535052,1352,1,0,28,44,6,2596,675,0,0,0,42559107,5018756,3883084984,0,675,504,2,1,14,14,411,1,3881929680,3833547850,117504201,297407991,297407991,1,2,1,13085951604,73389,73389,14,14,14,297407991,9,3,673207,1156885,2953593,29639,3881929680,1130164,39607084,2218
51389.17,253952,62,215527,14200118986,26,49197786,0,346,31,31,6233,149,0,675,1258597,10,56507,29,85,145065956,1352,1,0,28,45,6,2596,675,0,0,0,46574738,5869508,4200829344,0,675,504,2,1,14,14,411,1,4202793936,4154770710,125045223,322368510,322384894,1,2,1,14184214440,73389,73389,14,14,14,322368510,9,3,701583,1287836,3199456,32087,4202793936,1258597,43377011,2218
53393.27,253952,62,227880,15014197878,29,53493736,0,391,31,31,6233,151,0,675,1330585,10,59987,29,85,145596860,1352,1,0,28,45,6,2596,675,0,0,0,49231143,5969010,4441443642,0,675,504,2,1,14,14,411,1,4440820688,4392699849,132947507,340886687,340886687,1,2,1,14999014228,73389,73389,14,14,14,340886687,9,3,716087,1361373,3330251,33903,4440820688,1330585,45902720,2218
55404.23,253952,62,242114,15951815438,29,55014111,0,429,32,32,6233,153,0,675,1422953,10,63978,29,85,145596860,1352,1,0,28,46,6,2596,675,0,0,0,52588748,6300250,4714331760,0,675,504,2,1,14,14,411,1,4714367952,4666760183,138336958,362187985,362204369,1,2,1,15936271340,73389,73389,14,14,14,362187985,9,3,734729,1455757,3505043,35990,4714367952,1422953,49085665,2218
57411.57,253952,62,258336,17020780374,30,57457403,0,475,35,35,6233,156,0,675,1550117,10,68567,29,85,146127764,1352,1,0,28,49,6,2596,675,0,0,0,56591366,6903898,5026952218,0,675,504,2,1,14,14,411,1,5026712528,4979363120,145694044,386470727,386487111,1,2,1,17004711988,73389,73389,14,14,14,386470727,9,3,757551,1585256,3739109,38373,5026712528,1550117,52854363,2218
59418.51,253952,62,274428,18081491082,31,61172297,0,522,35,35,6233,158,0,675,1681091,10,73067,29,85,146658668,1352,1,0,28,49,6,2596,675,0,0,0,60646011,7522394,5337868774,0,675,504,2,1,14,14,411,1,5336959952,5289384969,154346489,410579278,410595662,1,2,1,18065488232,73389,73389,14,14,14,410579278,9,3,776571,1718789,3948904,40740,5336959952,1681091,56699360,2218
61427.68,253952,62,290175,19118369530,32,64165409,0,559,36,36,6233,161,0,675,1817024,10,77527,29,85,146924120,1352,1,0,28,50,6,2596,675,0,0,0,64625838,8036129,5637771932,0,675,504,2,1,14,14,411,1,5638953803,5592468712,161443222,434161826,434161826,1,2,1,19102399448,73389,73389,14,14,14,434145442,9,3,804503,1857278,4170342,43048,5638953803,1817024,60457892,2218
63437.44,253952,62,305490,20127627862,33,68204636,0,601,37,37,6233,164,0,675,1938821,10,81869,29,85,147455024,1352,1,0,28,51,6,2596,675,0,0,0,68691008,8833194,5933085950,0,675,504,2,1,14,14,411,1,5934259019,5887501461,171447138,457086855,457103239,1,2,1,20111821620,73389,73389,14,14,14,457086855,9,3,827775,1981493,4395753,45301,5934259019,1938821,64297790,2218
65444.81,253952,62,320842,21138586822,33,70938462,0,641,38,38,6233,167,0,675,2041384,10,86217,29,85,147720476,1352,1,0,28,52,6,2596,675,0,0,0,72724795,9858022,6229471908,0,675,504,2,1,14,14,411,1,6228940137,6182975388,179864972,480079579,480079579,1,2,1,21122780580,73389,73389,14,14,14,480063195,9,3,862390,2089434,4580785,47556,6228940137,2041384,68146682,2218
67451.51,253952,62,335143,22080712280,35,74854870,0,695,41,41,6233,171,0,675,2157239,10,90396,29,85,148516832,1352,1,0,28,55,6,2596,675,0,0,0,76649704,10588153,6503910226,0,675,504,2,1,14,14,411,1,6503608330,6458254651,188818769,501499439,501515823,1,2,1,22065975316,73389,73389,14,14,14,501499439,9,3,897409,2207642,4768653,49658,6503608330,2157239,71883851,2218
69458.85,253952,62,350628,23101111732,37,80074317,0,754,41,41,6233,173,0,675,2292570,10,94717,29,85,148782284,1352,1,0,28,55,6,2596,675,0,0,0,81036950,11276892,6801793237,0,675,504,2,1,14,14,411,1,6801797130,6756617061,199218649,524686612,524702996,1,2,1,23086210928,73389,73389,14,14,14,524686612,9,3,931402,2345603,5005340,51933,6801797130,2292570,76034527,2218
71463.85,253952,62,362421,23878064480,39,83973140,0,796,41,41,6233,176,0,675,2379132,10,98093,29,85,149578640,1352,1,0,28,55,6,2596,675,0,0,0,84197621,11531038,7030612079,0,675,504,2,1,14,14,411,1,7027891011,6983699721,207290923,542344629,542344629,1,2,1,23862442780,73389,73389,14,14,14,542328245,9,3,957723,2433950,5130831,53664,7027891011,2379132,79069812,2218
73473.81,253952,62,375772,24757548300,39,85546677,0,842,43,43,6233,178,0,675,2485484,10,101845,29,85,149844092,1352,1,0,28,57,6,2596,675,0,0,0,87581354,11814854,7285653095,0,675,504,2,1,14,14,411,1,7284661059,7240740449,212707767,562320982,562337366,1,2,1,24742123208,73389,73389,14,14,14,562320982,9,3,975030,2542285,5288397,55623,7284661059,2485484,82296083,2218
75482.45,253952,62,389902,25687730832,39,88210419,0,882,45,45,6233,183,0,675,2622060,10,105970,29,85,150640448,1352,1,0,28,59,6,2596,675,0,0,0,91563543,12821247,7556324799,0,675,504,2,1,14,14,411,1,7555213191,7512579954,221121458,583480857,583480857,1,2,1,25673157708,73389,73389,14,14,14,583480857,9,3,1015327,2681177,5569622,57701,7555213191,2622060,85997171,2218
77172.90,253952,62,400982,26415782060,44,92110390,3,912,47,47,6233,191,1,675,2720504,10,109422,34,85,158511825,1359,1,1037,33,68,28,5036,675,590,1037,123,95034193,13996963,7767182850,8,675,504,2,1,14,14,411,1,7763869224,7725268584,282280806,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,9,3,1053720,2781437,5812842,59330,7763869224,2720504,89224713,2218
