timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
70134.62,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,1,0,2097278,2,1,0,1,1,0,1026,0,0,0,0,0,0,0,0,0,0,2,1,14,14,417,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0
72139.29,1,0,0,20965,1380067636,0,188,0,1,1,1,5213,117,639,131294,14,1958,7,0,131875832,1280,1,0,6,15,5,3806,639,0,0,0,1985338,578,453111447,0,639,427,2,1,14,14,417,1,455508164,406962147,1986586,31030791,31047175,1,2,1,1365354804,73389,73389,14,14,14,31030791,9,3,382402,133437,814863,3493,455508164,131294,1170565,1886
74149.89,1,253952,62,38501,2535689846,21,23507514,0,48,28,28,5213,120,675,244252,14,6638,34,22,140299886,1352,1,0,33,42,5,4284,675,0,0,0,6318751,1234380,791511937,0,675,444,2,1,14,14,417,1,796130096,745092908,42263386,57267103,57283487,1,2,1,2519752532,73389,73389,14,14,14,57267103,9,3,486802,248903,1185583,6093,796130096,244252,5133428,1978
76159.51,1,253952,62,53973,3555237330,22,28550477,0,89,28,28,5213,123,675,353145,14,10986,34,22,140830790,1352,1,0,33,42,5,4284,675,0,0,0,10310402,2791316,1092206279,0,675,444,2,1,14,14,417,1,1093925680,1043115326,54770276,80446084,80446084,1,2,1,3539627696,73389,73389,14,14,14,80446084,9,3,502951,360190,1365354,8365,1093925680,353145,8945102,1978
78164.44,1,253952,62,67943,4475818838,24,32794434,0,142,29,29,5213,125,675,453275,14,14937,34,22,141361694,1352,1,0,33,43,5,4284,675,0,0,0,13978260,3865762,1361295913,0,675,444,2,1,14,14,417,1,1362623280,1312265411,65136347,101368391,101368391,1,2,1,4460209204,73389,73389,14,14,14,101368391,9,3,513420,464267,1494244,10415,1362623280,453275,12484564,1978
80173.20,1,253952,62,79563,5241328938,27,37296348,0,166,33,33,5213,127,675,510238,14,18224,34,22,141361694,1352,1,0,33,47,5,4284,675,0,0,0,16478486,4071227,1582907193,0,675,444,2,1,14,14,417,1,1586232112,1536022446,72791187,118768582,118768582,1,2,1,5225817608,73389,73389,14,14,14,118768582,9,3,527241,522799,1598003,12121,1586232112,510238,14881130,1978
82183.66,1,253952,62,95113,6266253682,28,41080471,0,210,34,34,5213,129,675,623426,14,22571,34,22,141892598,1352,1,0,33,48,5,4284,675,0,0,0,20591159,5844784,1883717572,0,675,444,2,1,14,14,417,1,1885600560,1835596652,82681007,142051900,142068284,1,2,1,6250283600,73389,73389,14,14,14,142051900,9,3,540270,639172,1764239,14405,1885600560,623426,18827706,1978
84188.39,1,253952,62,106458,7013741382,32,46581176,0,250,34,34,5213,131,675,682132,14,25770,34,22,142158050,1352,1,0,33,48,5,4284,675,0,0,0,23220053,6009261,2103756464,0,675,444,2,1,14,14,417,1,2104359728,2054207483,92340227,159042491,159042491,1,2,1,6997869604,73389,73389,14,14,14,159042491,9,3,541881,699438,1848334,16074,2104359728,682132,21372610,1978
86199.95,1,253952,62,120593,7944882944,32,48667649,0,279,38,38,5213,133,675,770372,14,29738,34,22,142423502,1352,1,0,33,52,5,4284,675,0,0,0,26664987,6906628,2374944636,0,675,444,2,1,14,14,417,1,2376465200,2326364306,99461721,180196333,180212717,1,2,1,7928638652,73389,73389,14,14,14,180196333,9,3,555534,790485,1988230,18150,2376465200,770372,24677788,1978
88212.22,1,253952,62,136044,8963066238,35,54568583,0,318,40,40,5213,136,675,876495,14,34118,34,22,142942340,1352,1,0,33,54,5,4284,675,0,0,0,30693246,8206028,2671711117,0,675,444,2,1,14,14,417,1,2673343280,2624010842,112120545,203334354,203350738,1,2,1,8946711576,73389,73389,14,14,14,203334354,9,3,562395,899028,2125905,20415,2673343280,876495,28568526,1978
