timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
65499.98,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
67507.04,4,253952,62,33744,2222185524,1,3892157,0,199,12,12,1351,269,2,567,306471,2,6,13244,20,103230823,1136,1,0,4,1775,41902127,7,167608508,19,26,0,7,9959,567,0,0,0,18321105,563476,734493504,0,565,495,2,3,1,14,14,2388,3,735276000,702324186,22765485,42549570,42565954,1,3,1,2212577672,73389,73389,14,14,14,42549574,7,3,115081,313243,601580,6148,735276000,306471,17720288,4617
69517.20,5,253952,62,65503,4314475144,3,8362182,0,389,12,12,1351,478,6,567,594232,2,6,25747,20,107900365,1136,1,0,4,1775,81549355,7,326132780,19,26,0,7,9959,567,0,0,0,35183119,860990,1394790016,0,565,495,2,3,1,14,14,2388,3,1394175061,1361327195,44365266,82745877,82811413,1,3,1,4302785636,73389,73389,14,14,14,82745881,7,3,125894,607549,936886,11626,1394175061,594232,34247630,4617
71522.00,8,253952,62,90707,5973520286,6,12380694,0,491,12,12,1351,635,8,576,783110,2,6,35616,20,111851246,1154,1,0,4,1775,113007099,7,451963660,19,26,0,7,9959,576,0,0,0,47122645,1009934,1913800851,0,574,508,2,3,1,14,14,2388,3,1913801489,1883429494,60467117,114702364,114702364,1,3,1,5963670992,73389,73389,14,14,14,114685984,7,3,140628,801042,1132713,15935,1913801489,783110,45991790,4657
73528.35,9,253952,62,115821,7629092454,8,14991633,0,602,17,17,1351,800,13,576,979266,2,6,45560,20,114071390,1154,1,0,4,1775,144408522,7,577505016,19,31,0,7,9959,576,0,0,0,59429976,1094586,2435173295,0,574,508,2,3,1,14,14,2388,3,2435229441,2404668674,75458216,146518699,146535083,1,3,1,7618972380,73389,73389,14,14,14,146518703,7,3,171492,1001901,1391471,20271,2435360513,979321,58040838,4657
75535.88,14,253952,62,145406,9581114888,8,18068360,0,762,18,18,1351,993,17,585,1261667,2,6,57235,20,118043945,1172,1,0,4,1775,181416008,7,725534708,19,32,0,7,9959,585,0,0,0,75594208,1496802,3048484601,0,583,520,2,3,1,14,14,2388,3,3046798859,3019105932,95106052,184053877,184070261,1,3,1,9570801636,73389,73389,14,14,14,184053881,7,3,184132,1290534,1750346,25350,3046798859,1261667,73846790,4694
77545.60,19,253952,62,174701,11510241180,9,21486741,0,930,18,18,1351,1178,22,603,1551771,2,6,68754,20,121981487,1208,1,0,4,1775,217954079,7,871622288,19,32,0,7,9959,603,0,0,0,91879610,1913243,3659454519,0,601,545,2,3,1,14,14,2388,3,3656924894,3626902701,115185635,221145860,221160085,1,3,1,11499584752,73389,73389,14,14,14,221145864,7,3,199318,1586959,2091841,30408,3656924894,1551771,89791282,4756
79550.05,20,253952,62,197470,13011479864,13,26665370,0,998,18,18,1351,1321,22,603,1701678,2,6,77653,20,122295203,1208,1,0,4,1775,246291030,7,985099456,19,32,0,7,9959,603,0,0,0,101761274,1914879,4135699052,0,601,545,2,3,1,14,14,2388,3,4132256920,4099761117,130242831,250001009,250001009,1,3,1,13000052500,73389,73389,14,14,14,250001013,7,3,210753,1740485,2268071,34343,4132256920,1701678,99497106,4756
81558.92,26,253952,62,226879,14947937918,13,29351422,0,1143,23,23,1351,1513,23,630,1982873,2,6,89267,20,127046628,1262,1,0,4,1775,283021403,7,1131827240,19,37,0,7,9959,630,0,0,0,117403063,2331964,4758185251,0,628,570,2,3,1,14,14,2388,3,4756047632,4710489183,148983031,287171038,287187422,1,3,1,14932894008,73389,73389,14,14,14,287171042,7,3,236917,2027689,2592065,39524,4756047632,1982873,114815480,4849
83562.86,28,253952,62,255057,16803431572,15,32779032,0,1258,23,23,1351,1693,30,639,2224591,4,6,100274,20,128488295,1280,1,0,4,1775,318006919,7,1271833980,19,37,0,7,9959,639,0,0,0,131335897,2531880,5361340270,0,635,585,4,3,1,14,14,2388,3,5357999855,5295856506,166499037,322770362,322770362,1,3,1,16784058856,73389,73389,14,14,14,322770366,7,3,259650,2274659,2902095,44524,5357999855,2224591,128438814,4884
85574.33,31,253952,62,283014,18645112416,17,36774457,0,1392,27,27,1351,1874,35,729,2424621,4,6,111303,20,144738969,1460,1,0,4,1775,352808057,7,1411167588,19,41,0,7,9959,729,0,0,0,144424447,2631232,5967149745,0,725,664,4,3,1,14,14,2388,3,5963978188,5878256449,183684180,358004476,358035085,1,3,1,18616232784,73389,73389,14,14,14,358004480,7,3,293280,2479567,3178923,49562,5963978188,2424621,141251000,5142
87583.57,40,253952,62,317431,20914227756,17,38270531,0,1573,28,28,1351,2087,35,765,2737359,6,6,124788,20,152560487,1532,1,0,4,1775,395615550,7,1582268272,19,42,0,7,9959,765,0,0,0,163046452,3015368,6712105772,0,759,712,6,3,1,14,14,2388,3,6707330824,6595251860,204159934,401472377,401505145,1,3,1,20876563636,73389,73389,14,14,14,401472381,7,3,305051,2799448,3529391,55712,6707330824,2737359,159523208,5266
89591.75,41,253952,62,351407,23151892886,17,40622046,0,1754,28,28,1351,2309,42,855,3044792,6,6,138111,20,168568248,1712,1,0,4,1775,437842215,7,1751175124,19,42,0,7,9959,855,0,0,0,181690646,3403008,7456907073,0,849,787,6,3,1,14,14,2388,3,7451891834,7303063955,225545388,444300031,444332799,1,3,1,23102749676,73389,73389,14,14,14,444283651,7,3,320119,3113914,3929529,61887,7451891834,3044792,177767947,5590
91600.22,54,253952,62,388423,25588929062,18,43172329,0,1951,32,32,1351,2547,42,972,3380076,8,6,152617,23,188991802,1946,1,0,4,1775,483834903,7,1935274940,22,46,0,7,10055,972,0,0,0,202102598,3706290,8266473914,0,964,925,8,3,1,14,14,2388,3,8261103722,8073686267,248775016,490947316,490963700,1,3,1,25528520764,73389,73389,14,14,14,490933095,7,3,336238,3456882,4344704,68582,8261103722,3380076,197765450,5985
