timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
25301.26,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
27305.35,253952,62,23659,1557695494,0,0,0,0,30,30,5207,118,675,118790,19,2477,44,110,140034434,1352,1,0,43,44,33,13,724,675,0,0,0,2190753,110,507348432,0,675,269,2,1,14,14,301,1,510130992,459104919,2350382,35052619,35052619,1,2,1,1541594340,73389,73389,14,14,14,35036235,6,3,464425,120914,816551,3911,510130992,118790,1374294,1725
29309.37,253952,62,45729,3012038574,0,0,0,0,30,30,5207,121,675,210721,19,8660,44,110,140565338,1352,1,0,43,44,33,13,724,675,0,0,0,6317972,247,931797492,0,675,269,2,1,14,14,301,1,935066416,884334849,10072005,68099913,68099913,1,2,1,2995675276,73389,73389,14,14,14,68083529,6,3,475248,214987,938077,7153,935066416,210721,5380167,1725
31313.27,253952,62,67623,4454847318,0,0,0,0,30,30,5207,125,675,302407,19,14852,44,110,141361694,1352,1,0,43,44,33,13,724,675,0,0,0,10521615,489,1354411324,0,675,269,2,1,14,14,301,1,1356462896,1306113592,18429264,100876871,100893255,1,2,1,4438582324,73389,73389,14,14,14,100876871,6,3,483551,308712,1061232,10368,1356462896,302407,9460835,1725
33317.10,253952,62,89666,5907155474,0,0,0,0,30,30,5207,128,675,393901,19,21029,44,110,141627146,1352,1,0,43,44,33,13,724,675,0,0,0,14686037,566,1777942737,0,675,269,2,1,14,14,301,1,1781005104,1730640501,26304457,133901748,133901748,1,2,1,5891676912,73389,73389,14,14,14,133901748,6,3,488964,402319,1176824,13607,1781005104,393901,13509836,1725
35321.24,253952,62,111279,7331548602,0,0,0,3,30,30,5207,132,675,479752,19,27143,44,110,142423502,1352,1,0,43,44,33,13,724,675,0,0,0,18788675,619,2194000508,0,675,269,2,1,14,14,301,1,2197027632,2147077807,55631934,166269106,166269106,1,2,1,7315119768,73389,73389,14,14,14,166252722,6,3,501369,490263,1313969,16781,2197027632,479752,17475494,1725
37325.49,253952,62,133188,8774809482,3,3000398,0,4,30,30,5207,135,675,565057,19,33284,44,110,142688954,1352,1,0,43,44,33,13,724,675,0,0,0,23003099,711,2618189645,0,675,269,2,1,14,14,301,1,2618686256,2568924844,66652515,199074958,199074958,1,2,1,8759298152,73389,73389,14,14,14,199074958,6,3,505552,577882,1417628,19998,2618686256,565057,21586440,1725
39329.71,253952,62,154541,10181573426,4,4000461,0,4,30,30,5207,139,675,652026,19,39326,44,110,143473244,1352,1,0,43,44,33,13,724,675,0,0,0,27115590,815,3027271483,0,675,269,2,1,14,14,301,1,3028650960,2980079135,95119727,231040908,231057292,1,2,1,10165799952,73389,73389,14,14,14,231040908,6,3,517114,667151,1554277,23129,3028650960,652026,25562444,1725
41333.97,253952,62,176314,11616186862,4,4000461,0,4,30,30,5207,143,675,741939,19,45472,44,110,144004148,1352,1,0,43,44,33,13,724,675,0,0,0,31238025,891,3445951661,0,675,269,2,1,14,14,301,1,3448081360,3399406198,106504976,263656185,263656185,1,2,1,11600872140,73389,73389,14,14,14,263656185,6,3,523773,759321,1681502,26329,3448081360,741939,29557827,1725
43338.08,253952,62,198106,13052045482,4,4000461,0,4,30,30,5207,146,675,835595,19,51590,44,110,144535052,1352,1,0,43,44,33,13,724,675,0,0,0,35485528,1048,3867780133,0,675,269,2,1,14,14,301,1,3867511760,3819143942,114547175,296287846,296287846,1,2,1,13036665224,73389,73389,14,14,14,296287846,6,3,529494,855157,1796872,29529,3867511760,835595,33690135,1725
