timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6220.22,0,0,13914,916380588,0,154283,0,20,1,1,15137,116,585,134550,31,1311,12,16,119656028,1172,1,0,11,15,0,10,177,585,0,0,0,1816224,15586,315068272,0,585,527,2,1,14,14,360,1,315637764,271084670,1989463,20517025,20517025,1,2,1,902749100,73389,73389,14,14,14,20517025,7,3,278943,136568,740537,2424,315637764,134550,1075766,2089
8230.98,253952,62,33963,2236694766,10,10155996,0,30,22,22,15137,119,675,266299,31,5344,33,36,140299886,1352,1,0,32,36,8,10,300,675,0,0,0,5725163,43008,706050501,0,675,591,2,1,14,14,360,1,708705072,657654641,18470429,50464313,50480697,1,2,1,2220429772,73389,73389,14,14,14,50464313,7,3,491368,271047,1401568,5426,708705072,266299,4323812,2349
10241.77,253952,62,47655,3138791814,17,20381760,0,77,22,22,15137,121,675,387821,31,9188,33,36,140565338,1352,1,0,32,36,8,10,300,675,0,0,0,9644631,1660116,970546246,0,675,591,2,1,14,14,360,1,972290864,921432511,43996097,70979179,70995563,1,2,1,3123083876,73389,73389,14,14,14,70979179,7,3,509982,394887,1603831,7437,972290864,387821,8041135,2349
12245.86,253952,62,59385,3911776326,20,25163721,0,127,22,22,15137,123,675,462490,31,12494,33,36,140830790,1352,1,0,32,36,8,10,300,675,0,0,0,12865795,2312286,1197797671,0,675,591,2,1,14,14,360,1,1197996848,1147349384,53546547,88549243,88549243,1,2,1,3896166692,73389,73389,14,14,14,88549243,7,3,517219,471274,1706345,9159,1197996848,462490,11159888,2349
14255.65,253952,62,70968,4675127046,20,26845395,0,140,24,24,15137,125,675,530749,31,15768,33,36,141361694,1352,1,0,32,38,8,10,300,675,0,0,0,15655365,2714691,1420324275,0,675,591,2,1,14,14,360,1,1421212464,1370506428,58361092,105898123,105898123,1,2,1,4659517412,73389,73389,14,14,14,105898123,7,3,533734,541152,1811969,10862,1421212464,530749,13843932,2349
16260.14,253952,62,83412,5494904262,22,30126969,0,185,24,24,15137,127,675,598391,31,19267,33,36,141361694,1352,1,0,32,38,8,10,300,675,0,0,0,18689309,3200054,1660429113,0,675,591,2,1,14,14,360,1,1660418864,1610146021,65667301,124533147,124533147,1,2,1,5479458468,73389,73389,14,14,14,124533147,7,3,537598,611196,1908567,12687,1660418864,598391,16781396,2349
18265.05,253952,62,93819,6180919194,22,31929811,0,240,24,24,15137,129,675,653039,31,22215,33,36,141892598,1352,1,0,32,38,8,10,300,675,0,0,0,21008555,3200626,1860662795,0,675,591,2,1,14,14,360,1,1860827952,1810675018,69801147,140122906,140122906,1,2,1,6164686968,73389,73389,14,14,14,140106522,7,3,560620,667165,1998228,14216,1860827952,653039,19011066,2349
20270.20,253952,62,104859,6908177094,25,36168954,0,281,28,28,15137,131,675,732171,31,25337,33,36,142158050,1352,1,0,32,42,8,10,300,675,0,0,0,23787087,3776150,2069686310,0,675,591,2,1,14,14,360,1,2073295664,2023366102,78028227,156632328,156648712,1,2,1,6891822432,73389,73389,14,14,14,156632328,7,3,582414,747900,2117038,15837,2073295664,732171,21670886,2349
22281.19,253952,62,115614,7616974422,26,38738790,0,297,30,30,15137,132,675,795797,31,28327,33,36,142423502,1352,1,0,32,44,8,10,300,675,0,0,0,26285479,3940274,2280285145,0,675,591,2,1,14,14,360,1,2280389424,2230536422,83329597,172754567,172754567,1,2,1,7601200948,73389,73389,14,14,14,172754567,7,3,597689,812992,2204760,17417,2280389424,795797,24081654,2349
24286.39,253952,62,126068,8305538642,30,44175686,0,330,32,32,15137,134,675,858333,31,31284,33,36,142423502,1352,1,0,32,46,8,10,300,675,0,0,0,28826688,4314490,2481566114,0,675,591,2,1,14,14,360,1,2481322800,2431761299,92180294,188405988,188405988,1,2,1,8289863472,73389,73389,14,14,14,188405988,7,3,615284,876864,2284772,18950,2481322800,858333,26542948,2349
26297.60,253952,62,138899,9151209194,30,46389987,0,362,35,35,15137,136,675,953570,31,34900,33,36,142942340,1352,1,0,32,49,8,10,300,675,0,0,0,32173420,5223398,2729409870,0,675,591,2,1,14,14,360,1,2728655664,2678954240,99198816,207618326,207634710,1,2,1,9135206344,73389,73389,14,14,14,207618326,7,3,641077,974045,2435836,20837,2728655664,953570,29738733,2349
28304.97,253952,62,152720,10061436014,30,49454987,0,398,38,38,15137,139,675,1071872,31,38828,33,36,143207792,1352,1,0,32,52,8,10,300,675,0,0,0,36093181,7070105,2994128977,0,675,591,2,1,14,14,360,1,2993785808,2945028444,110773061,228303065,228319449,1,2,1,10045334860,73389,73389,14,14,14,228303065,7,3,679362,1094569,2676498,22863,2993785808,1071872,33417948,2349
