timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
4558.68,15,253952,62,124607,8209211378,27,34756782,0,181,60,60,5092,852,2,576,939622,18,30,48963,75,32,116602928,1154,1,0,4,462,155268963,4,620817496,74,74,0,14,1958,576,0,0,63878409,377484,2612145331,0,558,146,18,3,1,14,14,849,3,2614893185,2587447920,99011943,157664520,157695129,1,3,1,8197703104,73389,73389,14,14,14,157648140,5,3,324101,959856,1627252,21747,2614893185,939622,62253225,1252
6562.47,17,253952,62,182060,11995494290,44,54234574,0,376,60,60,5092,1224,2,585,1403247,20,30,71576,75,32,118044081,1172,1,0,4,462,227013127,4,907858788,74,74,0,14,1958,585,0,0,94092388,700452,3809393303,0,565,157,20,3,1,14,14,849,3,3808803331,3779453224,149018309,230500236,230500236,1,3,1,11986012304,73389,73389,14,14,14,230500240,5,3,328810,1433723,2211973,31652,3808803331,1403247,91883622,1284
8573.90,30,253952,62,225139,14833814200,47,62435974,0,553,64,64,5092,1497,2,585,1751674,20,30,88588,75,32,118357797,1172,1,0,4,462,280868284,4,1123408524,74,78,0,14,1958,585,0,0,116463412,863189,4704763640,0,565,157,20,3,1,14,14,849,3,4703603974,4673319892,179786042,285020860,285086396,1,3,1,14820232784,73389,73389,14,14,14,285004480,5,3,347834,1789779,2656580,39063,4703603974,1751674,113810858,1284
10579.77,33,253952,62,257141,16942415180,53,71380690,0,726,64,64,5092,1708,2,585,2053447,20,30,101200,75,32,118671513,1172,1,0,4,462,320882981,4,1283337856,74,78,0,14,1958,585,0,0,134950068,1504242,5378560662,0,565,157,20,3,1,14,14,849,3,5374813007,5338094295,207907812,325550880,325567264,1,3,1,16928645792,73389,73389,14,14,14,325550884,5,3,364258,2097894,3077806,44631,5374813007,2053447,131875937,1284
12584.34,35,253952,62,283168,18657532132,58,77720835,0,852,64,64,5092,1876,2,603,2248645,20,30,111410,75,32,121924738,1208,1,0,4,462,353273376,4,1412899972,74,78,0,14,1958,603,0,0,148255528,1647255,5923998111,0,583,172,20,3,1,14,14,849,3,5919711762,5878152582,227678461,358524446,358524446,1,3,1,18643271224,73389,73389,14,14,14,358524450,5,3,374306,2297681,3309739,49153,5919711762,2248645,144950974,1351
14593.98,36,253952,62,311240,20508040278,58,79511852,0,988,68,68,5092,2054,2,612,2482807,20,30,122487,75,32,123736950,1226,1,0,4,462,388374044,4,1553431540,74,82,0,14,1958,612,0,0,162594592,1867848,6520387335,0,592,176,20,3,1,14,14,849,3,6515762998,6461742586,244007194,394026737,394026737,1,3,1,20489390356,73389,73389,14,14,14,394026741,5,3,398176,2536757,3624716,54091,6515762998,2482807,158975619,1379
16598.73,36,253952,62,337404,22229954658,62,84643258,0,1092,68,68,5092,2227,2,648,2677746,20,30,132676,75,32,130244333,1298,1,0,4,462,420768475,4,1682944792,74,82,0,14,1958,648,0,0,174985288,1997183,7079889620,0,628,199,20,3,1,14,14,849,3,7074924037,7005427062,261642069,427027482,427027482,1,3,1,22205429096,73389,73389,14,14,14,427027486,5,3,414925,2736053,3886096,58745,7074924037,2677746,171104421,1489
18603.61,37,253952,62,361236,23799585966,63,87355319,0,1186,70,70,5092,2379,2,684,2836452,22,30,142037,75,32,136752724,1370,1,0,4,462,450366511,4,1801466044,74,84,0,14,1958,684,0,0,185557006,1997763,7588327989,0,662,227,22,3,1,14,14,849,3,7583084595,7501062243,274925740,457098280,457114664,1,3,1,23769110592,73389,73389,14,14,14,457098284,5,3,431257,2898506,4075875,62973,7583084595,2836452,181487779,1598
20607.86,38,253952,62,386188,25443844660,66,92453548,0,1321,74,74,5092,2533,2,702,3044019,22,30,151826,75,32,140063340,1406,1,0,4,462,481453304,4,1925748524,74,88,0,14,1958,702,0,0,198111488,2217536,8129946609,0,680,243,22,3,1,14,14,849,3,8123426394,8020529185,292767713,488613670,488613670,1,3,1,25407910872,73389,73389,14,14,14,488613674,5,3,460253,3110547,4367632,67443,8123426394,3044019,193750997,1652
22614.17,38,253952,62,405677,26727585466,69,96998295,0,1428,76,76,5092,2660,2,909,3192168,22,30,159430,75,32,176090208,1820,1,0,4,462,505482637,4,2021930548,74,90,0,14,1958,909,0,0,207508901,2384248,8577660764,0,887,441,22,3,1,14,14,849,3,8570898121,8428404555,306824182,513045583,513061967,1,3,1,26678370348,73389,73389,14,14,14,513045587,5,3,473086,3262211,4566339,71168,8570898121,3192168,202950093,2325
