timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
6178.21,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
8183.12,2,253952,62,41267,2717372666,1,3530415,168,14,14,724,310,1,576,301987,0,48,16188,28,153,104949494,1154,1,0,4,2004,51297605,8,205061336,27,28,92,13,352,576,0,0,20608096,73248,885129303,0,576,371,0,3,1,14,14,2605,3,886742267,858491136,24174840,52061753,52094521,1,3,1,2707211188,73389,73389,14,14,14,52061757,7,3,112881,309094,569176,7398,886742267,301987,20039704,1601
10190.62,6,253952,62,75654,4983556002,9,13975452,340,20,20,724,534,1,576,618206,0,48,29742,33,153,109679366,1154,1,0,4,2004,94261197,8,376980148,32,34,92,13,418,576,0,0,40607862,1045834,1602115848,0,576,371,0,3,1,14,14,2605,3,1602095730,1571790576,55624192,95655137,95655137,1,3,1,4974067156,73389,73389,14,14,14,95655141,7,3,133939,632347,997172,13339,1602095730,618206,39612284,1601
12194.65,7,253952,62,103455,6815175138,12,19009576,493,20,20,724,714,3,576,834698,0,48,40643,33,153,112164962,1154,1,0,4,2004,128878061,8,515382756,32,34,92,13,418,576,0,0,55285912,1417071,2178696524,0,576,371,0,3,1,14,14,2605,3,2177460257,2148590189,75712442,130879344,130879344,1,3,1,6805725920,73389,73389,14,14,14,130879348,7,3,144076,853996,1288916,18116,2177460257,834698,53999139,1601
14203.39,10,253952,62,129618,8537572402,14,22207747,615,24,24,724,878,3,585,1030074,0,48,50962,33,153,114942800,1172,1,0,4,2004,161603527,8,646155172,32,38,92,13,418,585,0,0,68418977,1553153,2723636783,0,585,381,0,3,1,14,14,2605,3,2723014280,2690978928,92193304,163976234,163992618,1,3,1,8526764200,73389,73389,14,14,14,163976238,7,3,157462,1053955,1565516,22638,2723014280,1030074,66856109,1628
16208.25,10,253952,62,156253,10292397066,17,26874199,735,24,24,724,1065,3,612,1236411,2,48,61447,33,153,121262913,1226,1,0,4,2004,194813570,8,779189620,32,38,92,13,418,612,0,0,82168371,1836464,3283518167,0,610,399,2,3,1,14,14,2605,3,3281558778,3244069226,110866010,197676729,197693113,1,3,1,10279189940,73389,73389,14,14,14,197676733,7,3,170708,1265148,1852062,27302,3281558778,1236411,80319467,1714
18213.03,12,253952,62,179969,11856039132,18,29220969,813,25,25,724,1211,3,648,1388773,4,48,70774,33,153,129687875,1298,1,0,4,2004,224402090,8,897479224,32,39,92,13,418,648,0,0,92907214,1836903,3783827507,0,644,425,4,3,1,14,14,2605,3,3781702035,3736933390,123942307,227719274,227719274,1,3,1,11841402280,73389,73389,14,14,14,227719278,7,3,182399,1421341,2050212,31437,3781702035,1388773,90860610,1815
20217.87,13,253952,62,204771,13489900080,20,33394813,946,29,29,724,1374,3,675,1585917,4,48,80508,33,153,134441452,1352,1,0,4,2004,255144943,8,1020515252,32,43,92,13,418,675,0,0,105485138,2025417,4310838082,0,671,451,4,3,1,14,14,2605,3,4309356504,4252332961,140772148,259048407,259064791,1,3,1,13470517196,73389,73389,14,14,14,259048411,7,3,215950,1623040,2333350,35832,4309356504,1585917,103155900,1903
22232.46,13,253952,62,223799,14742553910,24,38824116,1040,30,30,724,1487,3,702,1720069,4,48,87944,33,153,139449932,1406,1,0,4,2004,278780542,8,1114992904,32,44,92,13,418,702,0,0,114459021,2090582,4726780774,0,698,468,4,3,1,14,14,2605,3,4724340576,4648575215,155354116,283036681,283036681,1,3,1,14717055476,73389,73389,14,14,14,283020301,7,3,226280,1760490,2500647,39241,4724340576,1720069,111962839,1985
24238.00,18,253952,62,241069,15881184048,26,41767457,1137,30,30,724,1607,4,837,1847900,4,48,94725,33,153,162887403,1676,1,0,4,2004,300234978,8,1200939912,32,44,92,13,418,837,0,0,122869493,2180212,5113265595,0,833,548,4,3,1,14,14,2605,3,5110100615,5009706139,166787534,304746691,304763075,1,3,1,15846827964,73389,73389,14,14,14,304746695,7,3,239174,1891481,2667230,42457,5110100615,1847900,120207064,2343
