timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
4213.78,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
6217.40,253952,62,24705,1626511602,0,584,0,2,42,42,11485,118,675,120833,18,2762,57,66,140034434,1352,1,0,56,56,22,14,201,675,0,0,0,2270301,115,527799261,0,675,220,2,1,14,14,283,1,530053936,479251743,2473043,36615132,36615132,1,2,1,1611065808,73389,73389,14,14,14,36615132,3,3,462744,122884,813915,4063,530053936,120833,1456486,1392
8221.00,253952,62,46663,3073514650,0,584,0,3,42,42,11485,121,675,200337,18,8915,57,66,140565338,1352,1,0,56,56,22,14,201,675,0,0,0,6379623,364,950935655,0,675,220,2,1,14,14,283,1,953154352,902285100,10211120,69482202,69498586,1,2,1,3057216888,73389,73389,14,14,14,69482202,3,3,475835,204598,935256,7291,953154352,200337,5444642,1392
10224.92,253952,62,68163,4490502210,1,1000642,0,3,42,42,11485,125,675,285323,18,14999,57,66,141361694,1352,1,0,56,56,22,14,201,675,0,0,0,10413610,472,1363324111,0,675,220,2,1,14,14,283,1,1366948656,1316547585,23437555,101702104,101702104,1,2,1,4474892576,73389,73389,14,14,14,101702104,3,3,481116,291832,1047342,10448,1366948656,285323,9366722,1392
12228.80,253952,62,90248,5945562878,1,1000642,0,3,42,42,11485,128,675,369832,18,21188,57,66,141627146,1352,1,0,56,56,22,14,201,675,0,0,0,14475393,543,1790003182,0,675,220,2,1,14,14,283,1,1792146224,1741829468,29490634,134776133,134776133,1,2,1,5930149852,73389,73389,14,14,14,134776133,3,3,484742,378428,1145122,13692,1792146224,369832,13330900,1392
14233.15,253952,62,112119,7386864294,1,1000642,0,3,42,42,11485,132,675,455193,18,27374,57,66,142423502,1352,1,0,56,56,22,14,201,675,0,0,0,18513397,634,2209470214,0,675,220,2,1,14,14,283,1,2213280560,2163176772,35582570,167520323,167536707,1,2,1,7370894212,73389,73389,14,14,14,167520323,3,3,488442,465769,1258656,16905,2213280560,455193,17255540,1392
16237.46,253952,62,134142,8837861730,1,1000642,0,3,42,42,11485,136,675,540653,18,33583,57,66,142688954,1352,1,0,56,56,22,14,201,675,0,0,0,22494442,749,2634704797,0,675,220,2,1,14,14,283,1,2637167408,2587388367,41565014,200504240,200504240,1,2,1,8822186560,73389,73389,14,14,14,200504240,3,3,489496,553208,1371430,20139,2637167408,540653,21123987,1392
18241.16,253952,62,155597,10251044894,1,1000642,0,3,42,42,11485,139,675,626504,18,39614,57,66,143473244,1352,1,0,56,56,22,14,201,675,0,0,0,26657353,809,3045621409,0,675,220,2,1,14,14,283,1,3049229264,3000395875,55485297,232619805,232636189,1,2,1,10235271420,73389,73389,14,14,14,232619805,3,3,491447,641418,1481712,23286,3049229264,626504,25175781,1392
20244.98,253952,62,176568,11632833006,1,1000642,0,3,42,42,11485,143,675,714175,18,45551,57,66,144004148,1352,1,0,56,56,22,14,201,675,0,0,0,30853485,870,3450404186,0,675,220,2,1,14,14,283,1,3452931024,3404305732,71698684,264033017,264033017,1,2,1,11616731852,73389,73389,14,14,14,264016633,3,3,498741,731562,1583197,26366,3452931024,714175,29271585,1392
22249.73,253952,62,197974,13043394730,1,1000642,0,3,42,42,11485,146,675,804023,18,51554,57,66,144535052,1352,1,0,56,56,22,14,201,675,0,0,0,35054156,962,3862926098,0,675,220,2,1,14,14,283,1,3865152464,3816611437,84645571,296091238,296091238,1,2,1,13027293576,73389,73389,14,14,14,296074854,3,3,512904,823797,1707049,29511,3865152464,804023,33348573,1392
24253.84,253952,62,219103,14435802982,1,1000642,0,3,42,42,11485,149,675,896889,18,57484,57,66,145065956,1352,1,0,56,56,22,14,201,675,0,0,0,39143422,1007,4270071949,0,675,220,2,1,14,14,283,1,4271737808,4223624703,91527894,327739859,327739859,1,2,1,14420553796,73389,73389,14,14,14,327739859,3,3,521672,919088,1810765,32614,4271868880,896918,37334295,1392
26258.45,253952,62,239782,15798189130,1,1000642,0,3,42,42,11485,153,675,997262,18,63344,57,66,145596860,1352,1,0,56,56,22,14,201,675,0,0,0,43613336,1119,4668439572,0,675,220,2,1,14,14,283,1,4669410256,4621844849,100841637,358696478,358712862,1,2,1,15782645032,73389,73389,14,14,14,358696478,3,3,530729,1021778,1960851,35647,4669410256,997262,41654299,1392
28264.13,253952,62,260007,17130821934,1,1000642,0,3,42,42,11485,156,675,1113423,18,69023,57,66,146127764,1352,1,0,56,56,22,14,201,675,0,0,0,48183652,7260,5058823349,0,675,220,2,1,14,14,283,1,5059218384,5011558088,114702038,388973161,388989545,1,2,1,17114819084,73389,73389,14,14,14,388973161,3,3,544023,1140637,2124084,38621,5059218384,1113423,46061567,1392
30274.66,253952,62,279093,18388543782,1,1000642,0,3,42,42,11485,159,675,1242308,18,74397,57,66,146658668,1352,1,0,56,56,22,14,201,675,0,0,0,52928710,98630,5423521949,0,675,220,2,1,14,14,283,1,5426482128,5379089041,149993225,417572643,417572643,1,2,1,18372475396,73389,73389,14,14,14,417556259,3,3,564890,1272355,2318474,41423,5426482128,1242308,50612430,1392
32279.99,253952,62,297641,19610315826,1,1000642,0,3,42,42,11485,163,675,1370757,18,79673,57,66,147189572,1352,1,0,56,56,22,14,201,675,0,0,0,57688265,288376,5780624059,0,675,220,2,1,14,14,283,1,5782739787,5736255844,160641492,445330508,445346892,1,2,1,19594542352,73389,73389,14,14,14,445330508,3,3,587161,1404172,2557660,44145,5782739787,1370757,55132985,1392
34285.52,253952,62,316574,20857286462,1,1000642,0,3,42,42,11485,167,675,1498973,18,85055,57,66,147720476,1352,1,0,56,56,22,14,201,675,0,0,0,62362836,423099,6145881112,0,675,220,2,1,14,14,283,1,6146495849,6100738423,172409945,473686389,473686389,1,2,1,20841480220,73389,73389,14,14,14,473670005,3,3,605565,1535141,2770533,46927,6146495849,1498973,59594877,1392
36291.33,253952,62,335426,22099258968,1,1000642,0,3,42,42,11485,171,675,1629631,18,90460,57,66,148516832,1352,1,0,56,56,22,14,201,675,0,0,0,66951711,533529,6507249080,0,675,220,2,1,14,14,283,1,6508982282,6463672553,182259784,501909039,501925423,1,2,1,22083997716,73389,73389,14,14,14,501909039,3,3,618382,1668557,2974101,49699,6508982282,1629631,63980380,1392
38298.09,253952,62,355066,23393553212,1,1000642,0,3,42,42,11485,174,675,1769990,18,95980,57,66,149047736,1352,1,0,56,56,22,14,201,675,0,0,0,71762940,586127,6886639454,0,675,220,2,1,14,14,283,1,6887125002,6842131414,190632777,531317370,531333754,1,2,1,23377964280,73389,73389,14,14,14,531317370,3,3,632957,1811783,3201247,52584,6887125002,1769990,68564656,1392
40303.91,253952,62,374682,24685848608,1,1000642,0,3,42,42,11485,178,675,1899357,18,101548,57,66,149844092,1352,1,0,56,56,22,14,201,675,0,0,0,76509643,638018,7264967315,0,675,220,2,1,14,14,283,1,7263820611,7219750939,235437762,560692933,560709317,1,2,1,24670489052,73389,73389,14,14,14,560692933,3,3,665033,1943909,3424993,55464,7263820611,1899357,73087804,1392
42309.09,253952,62,394296,25977029892,1,1000642,0,3,42,42,11485,184,675,2020086,18,107221,57,66,150905900,1352,1,0,56,56,22,14,201,675,0,0,0,81095137,660559,7641032376,0,675,220,2,1,14,14,283,1,7639175493,7597098905,244726609,590043920,590060304,1,2,1,25961932480,73389,73389,14,14,14,590043920,3,3,672626,2067438,3604034,58346,7639175493,2020086,77494449,1392
43137.54,253952,62,400982,26415782060,9,1052217,8,11,42,42,11485,191,675,2059199,18,109422,64,66,158511825,1359,1,1033,63,63,22,56,231,675,317,1033,672,83043609,837275,7767274018,8,675,220,2,1,14,14,283,1,7763869224,7725268584,1566074489,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,3,3,679229,2107440,3689364,59330,7763869224,2059199,79357683,1392
