timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
28445.47,0,253952,62,9811,645555820,0,1520072,0,57,3,3,5445,116,0,558,69237,0,20,3831,18,22,95481339,1118,1,0,4,599,12048877,7,48195508,17,17,10,14,90,558,0,0,4349927,386,236690000,0,558,353,0,3,1,14,14,1089,3,237027195,205947371,5871865,12237960,12237960,1,3,1,636373952,73389,73389,14,14,14,12237964,6,3,81222,70861,232632,2017,237027195,69237,4117485,1306
30456.03,7,253952,62,19470,1281958590,0,2969383,0,138,3,3,5445,152,0,558,136382,0,20,7612,18,22,97303305,1118,1,0,4,599,24125492,7,96501968,17,17,10,14,90,558,0,0,8953304,24839,432373319,0,558,353,0,3,1,14,14,1089,3,432518673,406298935,11934338,24485827,24485827,1,3,1,1273263036,73389,73389,14,14,14,24485831,6,3,84639,139718,321268,3586,432518673,136382,8632432,1306
32461.76,7,253952,62,29128,1917451204,0,4408044,0,212,3,3,5445,245,0,585,201900,0,20,11427,18,22,102715941,1172,1,0,4,599,36135025,7,144540100,17,17,10,14,90,585,0,0,13515257,68552,637814396,0,585,370,0,3,1,14,14,1089,3,637767256,606837429,17960039,36666443,36682827,1,3,1,1906655068,73389,73389,14,14,14,36666447,6,3,89012,207012,410896,5348,637767256,201900,13104957,1385
34469.08,7,253952,62,38567,2539721964,0,5864566,0,286,3,3,5445,280,0,594,263217,0,20,15132,18,22,106435090,1190,1,0,4,599,47954909,7,191754972,17,17,10,14,90,594,0,0,18057406,94325,834844118,0,594,375,0,3,1,14,14,1089,3,834083896,802442260,23993173,48656040,48672424,1,3,1,2530114112,73389,73389,14,14,14,48656044,6,3,95001,269973,505584,6926,834083896,263217,17552604,1414
36474.66,7,253952,62,48063,3164851132,0,7381365,0,349,3,3,5445,372,0,603,327291,0,20,18898,18,22,109083121,1208,1,0,4,599,59793977,7,239175908,17,17,10,14,90,603,0,0,22521619,125277,1036680353,0,603,378,0,3,1,14,14,1089,3,1035862447,999291544,29992899,60662465,60678849,1,3,1,3154448212,73389,73389,14,14,14,60662469,6,3,100197,335723,597190,8652,1035862447,327291,21925397,1439
38480.31,7,253952,62,57495,3786425494,0,8964009,0,406,3,3,5445,406,0,603,390009,0,20,22583,18,22,110350051,1208,1,0,4,599,71561870,7,286247480,17,17,10,14,90,603,0,0,26958018,130590,1234171311,0,603,378,0,3,1,14,14,1089,3,1233033927,1195138518,36014427,72615420,72631804,1,3,1,3776001872,73389,73389,14,14,14,72615424,6,3,107234,400078,685012,10235,1233033927,390009,26274156,1439
40486.49,7,253952,62,66906,4406321950,0,10569865,0,466,3,3,5445,497,0,603,452288,0,20,26309,18,22,111918631,1208,1,0,4,599,83315628,7,333197716,17,17,10,14,90,603,0,0,31382635,139200,1431361673,0,603,378,0,3,1,14,14,1089,3,1430041044,1390671830,42052278,84521382,84521382,1,3,1,4395111896,73389,73389,14,14,14,84521386,6,3,113443,463983,772760,11923,1430041044,452288,30611212,1439
42491.42,7,253952,62,76402,5031813098,0,12309513,0,505,3,3,5445,531,0,603,511354,0,20,30023,18,22,113511343,1208,1,0,4,599,95167336,7,380604604,17,17,10,14,90,603,0,0,35627242,139348,1629270296,0,603,378,0,3,1,14,14,1089,3,1628027984,1587457204,48035866,96558416,96558416,1,3,1,5021037664,73389,73389,14,14,14,96558420,6,3,122647,524615,851722,13511,1628027984,511354,34777045,1439
44496.78,7,253952,62,86245,5680057304,0,13934850,0,551,3,3,5445,623,0,603,574119,0,20,33915,18,22,115091989,1208,1,0,4,599,107437906,7,429686916,17,17,10,14,90,603,0,0,40037902,142777,1836613898,0,603,378,0,3,1,14,14,1089,3,1835299866,1792090746,54049317,108988666,108988666,1,3,1,5667410664,73389,73389,14,14,14,108988670,6,3,133828,588994,949644,15286,1835299866,574119,39089975,1439
46502.35,7,253952,62,96551,6359839212,0,15450672,0,611,3,3,5445,662,0,603,634691,0,20,37954,18,22,117251803,1208,1,0,4,599,120315188,7,481260752,17,17,10,14,90,603,0,0,44534825,146892,2043294842,0,603,378,0,3,1,14,14,1089,3,2042042081,2006053114,60062373,122049256,122065640,1,3,1,6346561344,73389,73389,14,14,14,122049260,6,3,140120,651198,1016195,16952,2042042081,634691,43520546,1439
48507.54,7,253952,62,106774,7034241962,0,17075195,0,665,3,3,5445,753,0,639,697278,0,20,42011,18,22,125092912,1280,1,0,4,599,133078771,7,532315084,17,17,10,14,90,639,0,0,48935257,146955,2268845979,0,639,397,0,3,1,14,14,1089,3,2267039400,2218444346,66099934,135011542,135044310,1,3,1,7020600216,73389,73389,14,14,14,135011546,6,3,147768,715431,1101999,18871,2267039400,697278,47835365,1534
50512.90,7,253952,62,117007,7708789626,0,18659969,0,724,3,3,5445,792,0,666,755443,4,20,46007,18,22,131635563,1334,1,0,4,599,145826666,7,583242188,17,17,10,14,90,666,0,0,53363704,147152,2477557796,0,662,418,4,3,1,14,14,1089,3,2475561603,2430908883,72122750,147990212,147990212,1,3,1,7695491056,73389,73389,14,14,14,147990216,6,3,153728,775046,1186035,20561,2475561603,755443,52179979,1608
52517.50,7,253952,62,127278,8384319408,0,20377105,0,767,3,3,5445,880,0,693,813447,6,20,50065,18,22,136702683,1388,1,0,4,599,158626256,7,634440360,17,17,10,14,90,693,0,0,57652224,147225,2693560359,0,687,438,6,3,1,14,14,1089,3,2692050198,2643677903,78113021,160955101,160971485,1,3,1,8369665284,73389,73389,14,14,14,160955105,6,3,157640,834607,1264735,22412,2692050198,813447,56389985,1682
54522.37,7,253952,62,137525,9058526396,0,22117256,0,809,3,3,5445,923,0,738,870673,8,20,54072,18,22,144080548,1478,1,0,4,599,171388613,7,685554452,17,17,10,14,90,738,0,0,61908807,147307,2911834796,0,730,460,8,3,1,14,14,1089,3,2909897928,2856597713,84083973,173898203,173898203,1,3,1,9042706588,73389,73389,14,14,14,173898207,6,3,159547,893346,1326556,24191,2909897928,870673,60584919,1807
56527.05,7,253952,62,148302,9768756636,0,23687171,0,847,4,4,5445,1014,0,810,931920,8,20,58320,19,22,157235654,1622,1,0,4,599,184798851,7,739066216,18,18,10,14,99,810,0,0,66521246,147534,3134207426,0,802,502,8,3,1,14,14,1089,3,3131832692,3080900352,90306392,187499465,187499465,1,3,1,9749972212,73389,73389,14,14,14,187499469,6,3,165945,956215,1393361,26083,3131832692,931920,65130730,1993
