timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
26460.98,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
28466.21,0,253952,62,9631,633783472,0,1555175,0,63,3,3,5311,115,0,558,68204,0,20,3764,15,16,95795055,1118,1,0,4,706,11838725,5,47354900,14,17,268,11,75,558,0,0,4356336,7493,230731650,0,558,330,0,3,1,14,14,1208,3,231196711,202300230,5886753,12008584,12008584,1,3,1,624446400,73389,73389,14,14,14,12008588,5,3,82525,69826,227240,1965,231196711,68204,4129301,1393
30472.07,1,253952,62,19477,1282743124,0,2949385,0,148,3,3,5311,155,0,558,130820,0,20,7604,15,16,97930737,1118,1,0,4,706,24108155,5,96367908,14,17,268,11,75,558,0,0,8953057,41362,432725387,0,558,330,0,3,1,14,14,1208,3,432993518,406630551,11907379,24483668,24500052,1,3,1,1272411068,73389,73389,14,14,14,24469447,5,3,89004,134095,301285,3589,432993518,130820,8651595,1393
32477.73,3,253952,62,28995,1908759048,0,4396824,0,220,3,3,5311,245,0,558,195053,0,20,11377,15,16,99233865,1118,1,0,4,706,35980375,5,143921500,14,17,268,11,75,558,0,0,13514705,65370,635100509,0,558,330,0,3,1,14,14,1208,3,634654233,604051200,17958310,36510795,36510795,1,3,1,1898561372,73389,73389,14,14,14,36510799,5,3,92877,199995,396131,5319,634654233,195053,13119168,1393
34486.47,4,253952,62,38579,2540572400,0,5869254,0,289,3,3,5311,283,0,567,257248,0,20,15128,15,16,102253477,1136,1,0,4,706,47947491,5,191725428,14,17,268,11,75,567,0,0,18050717,79754,834623365,0,567,337,0,3,1,14,14,1208,3,834003662,802904615,23936551,48666391,48666391,1,3,1,2530652364,73389,73389,14,14,14,48666395,5,3,98762,263803,477757,6925,834003662,257248,17573737,1423
36492.77,5,253952,62,48036,3163169796,0,7388873,0,353,3,3,5311,368,0,567,319362,0,20,18875,15,16,103194625,1136,1,0,4,706,59768939,5,238946676,14,17,268,11,75,567,0,0,22527269,95194,1035355937,0,567,337,0,3,1,14,14,1208,3,1034407200,998882608,29982342,60640048,60640048,1,3,1,3153282528,73389,73389,14,14,14,60640052,5,3,106765,327555,563068,8629,1034407200,319362,21965165,1423
38498.79,5,253952,62,57446,3783024848,0,8987056,0,415,3,3,5311,405,0,567,381220,0,20,22555,15,16,104473621,1136,1,0,4,706,71507464,5,285965348,14,17,268,11,75,567,0,0,26951142,102023,1229424226,0,567,337,0,3,1,14,14,1208,3,1228685101,1194004047,36008219,72562394,72562394,1,3,1,3773244520,73389,73389,14,14,14,72562398,5,3,112601,391048,647035,10191,1228685101,381220,26305256,1423
40504.75,7,253952,62,67011,4413339630,0,10574906,0,479,3,3,5311,492,1,567,443405,0,20,26348,15,16,106367983,1136,1,0,4,706,83437733,5,333750932,14,17,268,11,75,567,0,0,31371587,118694,1429571186,0,567,337,0,3,1,14,14,1208,3,1428646885,1392776883,42016084,84646421,84662805,1,3,1,4401613924,73389,73389,14,14,14,84646425,5,3,118489,454858,736895,11900,1428646885,443405,30636033,1423
42509.81,7,253952,62,76496,5038109882,0,12327116,0,520,3,3,5311,528,1,567,500499,0,20,30054,15,16,107634913,1136,1,0,4,706,95271944,5,381087776,14,17,268,11,75,567,0,0,35622142,120238,1627353194,0,567,337,0,3,1,14,14,1208,3,1626769301,1589648017,48033735,96667071,96667071,1,3,1,5026687724,73389,73389,14,14,14,96667075,5,3,127300,513433,798652,13495,1626769301,500499,34825013,1423
44515.07,7,253952,62,86315,5685963692,0,13928815,0,571,3,3,5311,616,1,567,565729,0,20,33943,15,16,109806793,1136,1,0,4,706,107535251,5,430076324,14,17,268,11,75,567,0,0,40042407,125237,1834820659,0,567,337,0,3,1,14,14,1208,3,1833390440,1793979167,54057877,109105069,109105069,1,3,1,5673463620,73389,73389,14,14,14,109105073,5,3,152164,580346,897637,15255,1833390440,565729,39146492,1423
