timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
174844.28,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
176848.86,0,0,19837,1305612124,0,0,0,0,1,1,5596,117,603,129297,24,1852,16,0,124260200,1208,1,0,15,15,0,14,1421,603,0,0,0,1970647,12946,427945579,0,603,343,2,1,14,14,1794,1,430604484,385073787,1984638,29347557,29363941,1,2,1,1291292508,73389,73389,14,14,14,29347557,7,3,375481,131341,806262,3303,430604484,129297,1164475,1812
178856.57,253952,62,36262,2388158386,20,21234036,0,46,25,25,5596,120,675,257370,24,6023,40,24,140299886,1352,1,0,39,39,13,14,1528,675,0,0,0,5982466,1373007,751143807,0,675,368,2,1,14,14,1794,1,752876336,701972757,36890158,53906668,53923052,1,2,1,2371893392,73389,73389,14,14,14,53906668,7,3,493644,261733,1177688,5763,752876336,257370,4805011,2002
180863.07,253952,62,51630,3400890126,20,24644207,0,85,25,25,5596,122,675,376802,24,10325,40,24,140830790,1352,1,0,39,39,13,14,1528,675,0,0,0,9957846,2730144,1046326157,0,675,368,2,1,14,14,1794,1,1048967984,998014440,45858781,76921809,76938193,1,2,1,3384559596,73389,73389,14,14,14,76921809,7,3,500779,384191,1315516,8022,1048967984,376802,8642710,2002
182871.19,253952,62,66541,4383406462,20,28176133,0,127,25,25,5596,125,675,494660,24,14558,40,24,141096242,1352,1,0,39,39,13,14,1528,675,0,0,0,13970980,3988800,1335088119,0,675,368,2,1,14,14,1794,1,1335753520,1285223149,56664625,99259173,99275557,1,2,1,4367403612,73389,73389,14,14,14,99259173,7,3,510920,504387,1481077,10210,1335753520,494660,12490438,2002
184875.47,253952,62,77766,5123029842,23,32107108,0,158,25,25,5596,126,675,552776,24,17672,40,24,141361694,1352,1,0,39,39,13,14,1528,675,0,0,0,16304075,4032553,1552362228,0,675,368,2,1,14,14,1794,1,1551760176,1501475420,63007196,116077732,116077732,1,2,1,5107420208,73389,73389,14,14,14,116077732,7,3,511615,563802,1545288,11858,1551760176,552776,14759414,2002
186881.35,253952,62,89649,5906041362,23,34249723,0,196,25,25,5596,128,675,617780,24,21024,40,24,141627146,1352,1,0,39,39,13,14,1528,675,0,0,0,18906798,4043893,1780530105,0,675,368,2,1,14,14,1794,1,1780480816,1730250539,67788870,133868980,133885364,1,2,1,5890235120,73389,73389,14,14,14,133868980,7,3,516559,630291,1636990,13603,1780480816,617780,17270531,2002
188887.30,253952,62,104346,6874532994,23,38031581,0,236,28,28,5596,131,675,730432,24,25196,40,24,142158050,1352,1,0,39,42,13,14,1528,675,0,0,0,22832311,4940850,2059329663,0,675,368,2,1,14,14,1794,1,2063596336,2013511396,76406916,155878664,155878664,1,2,1,6858661216,73389,73389,14,14,14,155878664,7,3,534577,745157,1799226,15763,2063596336,730432,21033956,2002
190891.01,253952,62,116393,7668292418,26,42188767,0,269,28,28,5596,133,675,800568,24,28590,40,24,142423502,1352,1,0,39,42,13,14,1528,675,0,0,0,25653835,5130736,2296422765,0,675,368,2,1,14,14,1794,1,2295462704,2245499231,84513183,173923864,173923864,1,2,1,7652650016,73389,73389,14,14,14,173923864,7,3,537177,816932,1881201,17532,2295462704,800568,23773633,2002
192903.17,253952,62,129570,8536372974,26,45030287,0,298,31,31,5596,135,675,894570,24,32297,40,24,142688954,1352,1,0,39,45,13,14,1528,675,0,0,0,28868415,5691663,2547148771,0,675,368,2,1,14,14,1794,1,2548955952,2499254525,90759329,193654457,193654457,1,2,1,8520796108,73389,73389,14,14,14,193654457,7,3,550845,912803,2002236,19466,2548955952,894570,26867292,2002
194913.70,253952,62,144217,9501587806,27,49501074,0,340,31,31,5596,137,675,1007010,24,36403,40,24,142942340,1352,1,0,39,45,13,14,1528,675,0,0,0,32856730,6393751,2828970864,0,675,368,2,1,14,14,1794,1,2830760752,2781462215,101141423,215574029,215590413,1,2,1,9485257276,73389,73389,14,14,14,215574029,7,3,554430,1027560,2150067,21616,2830760752,1007010,30707933,2002
196921.07,253952,62,158382,10434624462,27,53220690,0,379,33,33,5596,140,675,1112021,24,40429,40,24,143738696,1352,1,0,39,47,13,14,1528,675,0,0,0,36772383,7297259,3101576094,0,675,368,2,1,14,14,1794,1,3102706640,3054071633,109687619,236789089,236805473,1,2,1,10418719916,73389,73389,14,14,14,236789089,7,3,567538,1134774,2323354,23694,3102706640,1112021,34450435,2002
198925.14,253952,62,170238,11215866510,31,58516402,0,410,33,33,5596,142,675,1172918,24,43767,40,24,144004148,1352,1,0,39,47,13,14,1528,675,0,0,0,39454719,7416143,3331972089,0,675,368,2,1,14,14,1794,1,3331296208,3282399340,118582878,254555761,254555761,1,2,1,11200453484,73389,73389,14,14,14,254555761,7,3,568382,1197087,2386326,25438,3331296208,1172918,37069894,2002
200937.69,253952,62,184387,12148178962,31,60399333,0,443,37,37,5596,144,675,1268845,24,47742,40,24,144269600,1352,1,0,39,51,13,14,1528,675,0,0,0,42987026,8056514,3602246806,0,675,368,2,1,14,14,1794,1,3603139536,3555008791,125207812,275723828,275740212,1,2,1,12131848432,73389,73389,14,14,14,275723828,7,3,579870,1295143,2518276,27512,3603139536,1268845,40470392,2002
202949.72,253952,62,199494,13143540354,33,64782077,0,485,37,37,5596,146,675,1377209,24,51970,40,24,144535052,1352,1,0,39,51,13,14,1528,675,0,0,0,47003179,8780659,3893377691,0,675,368,2,1,14,14,1794,1,3894250448,3845876853,134865246,298364296,298380680,1,2,1,13128029024,73389,73389,14,14,14,298364296,7,3,581988,1405841,2661654,29733,3894250448,1377209,44343323,2002
204962.36,253952,62,214153,14109541618,33,68576192,0,532,39,39,5596,149,675,1484019,24,56136,40,24,145065956,1352,1,0,39,53,13,14,1528,675,0,0,0,50945437,9633767,4175468073,0,675,368,2,1,14,14,1794,1,4176317392,4128281687,144219197,320308444,320324828,1,2,1,14093571536,73389,73389,14,14,14,320308444,7,3,589196,1514935,2800666,31885,4176317392,1484019,48146716,2002
206970.19,253952,62,229366,15112115278,34,73116505,0,567,39,39,5596,151,675,1599855,24,60394,40,24,145596860,1352,1,0,39,53,13,14,1528,675,0,0,0,55041546,10604954,4468833527,0,675,368,2,1,14,14,1794,1,4469132240,4421358198,155451077,343110593,343110593,1,2,1,15096866092,73389,73389,14,14,14,343110593,7,3,601018,1633100,2972949,34119,4469132240,1599855,52070704,2002
208975.91,253952,62,244149,16085977554,34,76327698,0,611,40,40,5596,154,675,1714528,24,64539,40,24,145596860,1352,1,0,39,54,13,14,1528,675,0,0,0,59140484,11760947,4753291977,0,675,368,2,1,14,14,1794,1,4753820624,4706022962,165325207,365245316,365245316,1,2,1,16070793904,73389,73389,14,14,14,365245316,7,3,621769,1750096,3147709,36291,4753820624,1714528,55995050,2002
210988.89,253952,62,259483,17096481070,36,82055611,0,650,41,41,5596,156,675,1830205,24,68881,40,24,146127764,1352,1,0,39,55,13,14,1528,675,0,0,0,63347085,12856697,5050078595,0,675,368,2,1,14,14,1794,1,5049256912,5001492581,178214880,388203113,388203113,1,2,1,17080936972,73389,73389,14,14,14,388203113,7,3,652302,1871121,3339899,38545,5049256912,1830205,60009635,2002
212999.04,253952,62,273386,18012671666,37,87305845,0,687,42,42,5596,158,675,1944726,24,72782,40,24,146658668,1352,1,0,39,56,13,14,1528,675,0,0,0,67370655,13923100,5317214522,0,675,368,2,1,14,14,1794,1,5316774864,5269244995,189507545,409027116,409027116,1,2,1,17996472208,73389,73389,14,14,14,409010732,7,3,671659,1987947,3543799,40586,5316774864,1944726,63829448,2002
215007.91,253952,62,287055,18912835402,38,91076066,0,729,42,42,5596,161,675,2062785,24,76675,40,24,146924120,1352,1,0,39,56,13,14,1528,675,0,0,0,71344386,14653208,5580674770,0,675,368,2,1,14,14,1794,1,5578922827,5532307985,197370837,429484638,429501022,1,2,1,18897324072,73389,73389,14,14,14,429484638,7,3,690789,2108297,3689360,42590,5578922827,2062785,67657747,2002
217012.17,253952,62,299482,19731498506,40,95018879,0,769,42,42,5596,163,675,2131000,24,80175,40,24,147189572,1352,1,0,39,56,13,14,1528,675,0,0,0,74274876,14882955,5820119894,0,675,368,2,1,14,14,1794,1,5818391371,5771668385,205795562,448095086,448111470,1,2,1,19716183784,73389,73389,14,14,14,448095086,7,3,704142,2178072,3787023,44417,5818391371,2131000,70490675,2002
219019.14,253952,62,312025,20557582552,40,96750598,0,800,46,46,5596,166,675,2220212,24,83759,40,24,147720476,1352,1,0,39,60,13,14,1528,675,0,0,0,77531100,15427155,6060132914,0,675,368,2,1,14,14,1794,1,6058939753,6013122498,211894860,466859023,466875407,1,2,1,20541797012,73389,73389,14,14,14,466859023,7,3,733555,2269114,3965757,46259,6058939753,2220212,73568280,2002
221027.23,253952,62,325686,21457901370,42,101282519,0,840,46,46,5596,168,675,2338565,24,87612,40,24,147985928,1352,1,0,39,60,13,14,1528,675,0,0,0,81441643,16139995,6322281558,0,675,368,2,1,14,14,1794,1,6322263401,6276289625,220950384,487338962,487338962,1,2,1,21442193432,73389,73389,14,14,14,487322578,7,3,747837,2389833,4131141,48268,6322263401,2338565,77313589,2002
223035.13,253952,62,339387,22360439776,43,105611081,0,884,48,48,5596,171,675,2448807,24,91546,40,24,148516832,1352,1,0,39,62,13,14,1528,675,0,0,0,85625861,16827476,6583707741,0,675,368,2,1,14,14,1794,1,6585397258,6540000763,230844374,507843477,507859861,1,2,1,22345112988,73389,73389,14,14,14,507843477,7,3,773365,2502469,4299378,50282,6585397258,2448807,81329708,2002
225039.53,253952,62,350793,23111925172,46,110761615,0,919,48,48,5596,173,675,2514667,24,94758,40,24,148782284,1352,1,0,39,62,13,14,1528,675,0,0,0,88376449,17026606,6807412972,0,675,368,2,1,14,14,1794,1,6804942858,6759763908,239714368,524932372,524932372,1,2,1,23097024368,73389,73389,14,14,14,524932372,7,3,790038,2569669,4406185,51957,6804942858,2514667,83973585,2002
227044.08,253952,62,361409,23811211144,46,112627851,0,965,48,48,5596,176,675,2570548,24,97819,40,24,149578640,1352,1,0,39,62,13,14,1528,675,0,0,0,90742857,17030080,7011444643,0,675,368,2,1,14,14,1794,1,7008492355,6964170511,243962771,540825235,540825235,1,2,1,23796310340,73389,73389,14,14,14,540825235,7,3,808878,2626713,4469382,53516,7008492355,2570548,86276886,2002
229049.09,253952,62,373583,24613305706,46,114121530,0,997,49,49,5596,178,675,2640984,24,101246,40,24,149844092,1352,1,0,39,63,13,14,1528,675,0,0,0,93551548,17123894,7245651892,0,675,368,2,1,14,14,1794,1,7242586947,7198539434,248428200,559058851,559058851,1,2,1,24598589444,73389,73389,14,14,14,559058851,7,3,824700,2698713,4580520,55302,7242586947,2640984,88974555,2002
231060.09,253952,62,385141,25374645512,48,116532859,0,1014,51,51,5596,180,675,2702320,24,104509,40,24,150109544,1352,1,0,39,65,13,14,1528,675,0,0,0,96050041,17211143,7465416771,0,675,368,2,1,14,14,1794,1,7464616808,7421060300,253478152,576350387,576366771,1,2,1,25359417028,73389,73389,14,14,14,576350387,7,3,843802,2761376,4682428,57002,7464616808,2702320,91371237,2002
233074.45,253952,62,398584,26259116684,49,120591763,0,1051,55,55,5596,185,675,2815243,24,108442,40,24,151171352,1352,1,0,39,69,13,14,1528,675,0,0,0,100024218,18519497,7719529071,0,675,368,2,1,14,14,1794,1,7720825283,7679571984,264384373,596469878,596469878,1,2,1,26244674632,73389,73389,14,14,14,596469878,7,3,885047,2876368,4934544,58972,7720825283,2815243,95093369,2002
233614.48,253952,62,400982,26415782060,51,122534552,2,1062,55,55,5596,191,675,2841214,24,109422,44,24,158511825,1359,1,1038,43,76,13,39,1774,675,538,1038,117,101170577,19011213,7767590164,8,675,368,2,1,14,14,1794,1,7763869224,7725268584,328090082,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,7,3,902742,2902738,5001811,59330,7763869224,2841214,96172495,2002
