timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
228270.68,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
230275.50,0,0,20099,1323048008,0,0,0,1,1,4439,117,612,126402,15,1877,15,0,126296834,1226,1,0,14,15,0,13,3632,612,0,0,0,1982319,10450,435811050,0,612,322,2,1,14,14,433,0,1,436240580,390137222,1993372,29746806,29763190,1,2,1,0,1308859464,73389,73389,14,14,14,29746806,11,3,383861,128779,837599,3346,436240580,126402,1144807,1786
232285.60,253952,62,36276,2389075890,14,16787185,46,20,20,4439,120,675,239615,15,6036,33,62,140299886,1352,1,0,32,34,199,13,3922,675,0,0,0,5857750,692420,751795713,0,675,357,2,1,14,14,433,0,1,753138480,702284044,28316122,53923052,53939436,1,2,1,0,2372614288,73389,73389,14,14,14,53923052,11,3,495342,244315,1185248,5765,753138480,239615,4672716,1957
234297.45,253952,62,51201,3372775182,16,20763138,84,22,22,4439,122,675,358006,15,10210,33,62,140830790,1352,1,0,32,36,199,13,3922,675,0,0,0,10054664,1686304,1037149282,0,675,357,2,1,14,14,433,0,1,1040710448,989755030,39563035,76299217,76299217,1,2,1,0,3356444652,73389,73389,14,14,14,76282833,11,3,509728,365210,1368038,7959,1040710448,358006,8686977,1957
236304.53,253952,62,64594,4255011514,18,26037726,132,22,22,4439,124,675,470318,15,13971,33,62,141096242,1352,1,0,32,36,199,13,3922,675,0,0,0,14297902,3133991,1296805030,0,675,357,2,1,14,14,433,0,1,1298135856,1247652769,50300201,96349298,96365682,1,2,1,0,4239369112,73389,73389,14,14,14,96349298,11,3,522026,479915,1521149,9923,1298135856,470318,12777236,1957
238309.75,253952,62,75247,4957148302,21,29741883,153,22,22,4439,126,675,524843,15,16985,33,62,141361694,1352,1,0,32,36,199,13,3922,675,0,0,0,16599217,3141719,1503076913,0,675,357,2,1,14,14,433,0,1,1503394608,1452963318,56341663,112307697,112307697,1,2,1,0,4941538668,73389,73389,14,14,14,112307697,11,3,522445,535761,1590124,11489,1503394608,524843,15009672,1957
240318.47,253952,62,87002,5731505762,21,30993910,195,24,24,4439,128,675,593006,15,20305,33,62,141627146,1352,1,0,32,38,199,13,3922,675,0,0,0,19242080,3159885,1729804609,0,675,357,2,1,14,14,433,0,1,1729493808,1679307485,60297778,129896304,129912688,1,2,1,0,5715437376,73389,73389,14,14,14,129896304,11,3,533952,605489,1696910,13214,1729493808,593006,17545854,1957
242323.70,253952,62,101664,6697703634,23,33863514,241,28,28,4439,130,675,721871,15,24410,33,62,141892598,1352,1,0,32,42,199,13,3922,675,0,0,0,23253238,4166194,2011355502,0,675,357,2,1,14,14,433,0,1,2011691824,1961786604,69836970,151865028,151865028,1,2,1,0,6682061232,73389,73389,14,14,14,151865028,11,3,556868,736692,1910218,15367,2011691824,721871,21343838,1957
244330.93,253952,62,110924,7308017870,27,38417149,260,29,29,4439,132,675,772409,15,27075,33,62,142423502,1352,1,0,32,43,199,13,3922,675,0,0,0,25310441,4170824,2191008342,0,675,357,2,1,14,14,433,0,1,2190342960,2140201401,76466422,165722401,165738785,1,2,1,0,7291785644,73389,73389,14,14,14,165722401,11,3,557181,788464,1977189,16730,2190342960,772409,23334153,1957
246346.10,253952,62,121771,8022603190,27,39835650,292,30,30,4439,133,675,836956,15,30059,33,62,142423502,1352,1,0,32,44,199,13,3922,675,0,0,0,27970886,4180908,2400039074,0,675,357,2,1,14,14,433,0,1,2399009584,2349048439,80569325,181977871,181977871,1,2,1,0,8007026324,73389,73389,14,14,14,181977871,11,3,557560,854484,2063298,18322,2399009584,836956,25908586,1957
248353.98,253952,62,135314,8915056034,27,42425727,338,32,32,4439,136,675,939084,15,33940,33,62,142942340,1352,1,0,32,46,199,13,3922,675,0,0,0,31917068,5004893,2659174596,0,675,357,2,1,14,14,433,0,1,2659580720,2609916406,88391439,202246977,202269394,1,2,1,0,8898866988,73389,73389,14,14,14,202246977,11,3,564315,958860,2231429,20310,2659580720,939084,29686771,1957
250368.80,253952,62,149561,9853742750,29,45997758,381,34,34,4439,138,675,1042653,15,37914,33,62,143207792,1352,1,0,32,48,199,13,3922,675,0,0,0,35986141,5705873,2932207747,0,675,357,2,1,14,14,433,0,1,2933652272,2884339719,97152105,223587076,223609493,1,2,1,0,9837831344,73389,73389,14,14,14,223587076,11,3,572387,1064735,2386500,22401,2933652272,1042653,33600916,1957
252376.47,253952,62,163425,10766980674,29,49598051,426,37,37,4439,140,675,1162023,15,41802,33,62,143738696,1352,1,0,32,51,199,13,3922,675,0,0,0,39867066,6897787,3200613436,0,675,357,2,1,14,14,433,0,1,3199830992,3151172455,106755882,244351576,244367960,1,2,1,0,10751469344,73389,73389,14,14,14,244351576,11,3,587935,1186428,2557512,24435,3199830992,1162023,37310952,1957
254381.71,253952,62,176323,11616776686,33,55591712,478,38,38,4439,143,675,1251158,15,45485,33,62,144004148,1352,1,0,32,52,199,13,3922,675,0,0,0,43518933,7712016,3448205340,0,675,357,2,1,14,14,433,0,1,3448212432,3399615142,118234238,263656185,263672569,1,2,1,0,11600872140,73389,73389,14,14,14,263656185,11,3,596168,1277622,2702777,26330,3448212432,1251158,40817670,1957
256392.38,253952,62,187071,12324873942,36,60247120,497,38,38,4439,144,675,1305021,15,48470,33,62,144269600,1352,1,0,32,52,199,13,3922,675,0,0,0,45962697,7744897,3656051121,0,675,357,2,1,14,14,433,0,1,3655306192,3606664885,125574746,279739623,279756007,1,2,1,0,12308543412,73389,73389,14,14,14,279739623,11,3,596444,1332858,2762848,27910,3655306192,1305021,43201460,1957
