timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
299980.00,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
301984.60,0,0,19957,1313741896,0,0,0,0,1,1,5814,117,603,125571,2,17,1863,8,0,124525652,1208,1,0,7,15,81,6,694,603,0,0,0,1960385,17678,430698215,0,601,402,2,2,1,14,14,410,1,432963780,387403670,1979357,29550198,29550198,1,2,1,1299487816,73389,73389,14,14,14,29533814,11,3,378419,127745,792759,3321,432963780,125571,1167718,1815
303994.05,253952,62,36058,2374523590,17,19724501,0,50,22,22,5814,120,675,242624,2,17,5972,29,28,140299886,1352,1,0,28,36,81,6,1155,675,0,0,0,5926930,917177,745371100,0,673,456,2,2,1,14,14,410,1,749075248,698035770,32532062,53605723,53605723,1,2,1,2358651812,73389,73389,14,14,14,53605723,11,3,495746,247088,1192814,5734,749075248,242624,4734346,2015
306009.35,253952,62,51235,3375003406,18,23827093,0,99,22,22,5814,122,675,353118,2,17,10227,29,28,140830790,1352,1,0,28,36,81,6,1155,675,0,0,0,10030821,1842910,1038992446,0,673,456,2,2,1,14,14,410,1,1041234736,990435966,43320658,76331985,76348369,1,2,1,3358607340,73389,73389,14,14,14,76331985,11,3,500403,360686,1350763,7963,1041234736,353118,8680430,2015
308013.70,253952,62,64053,4219556538,21,28348840,0,152,23,23,5814,124,675,418447,2,17,13823,29,28,141096242,1352,1,0,28,37,81,6,1155,675,0,0,0,13012984,2187342,1287220065,0,673,456,2,2,1,14,14,410,1,1287519024,1237298826,51507248,95546482,95546482,1,2,1,4204045208,73389,73389,14,14,14,95546482,11,3,506096,427580,1448700,9842,1287519024,418447,11564753,2015
310020.57,253952,62,77066,5076889190,21,29589633,0,177,28,28,5814,126,675,484854,2,17,17481,29,28,141361694,1352,1,0,28,42,81,6,1155,675,0,0,0,15985858,2712087,1537293098,0,673,456,2,2,1,14,14,410,1,1538259760,1487917188,56953346,115023123,115039507,1,2,1,5061017412,73389,73389,14,14,14,115023123,11,3,528355,495587,1577268,11755,1538259760,484854,14409185,2015
312025.16,253952,62,88134,5806223418,26,35877584,0,210,28,28,5814,128,675,532993,2,17,20610,29,28,141627146,1352,1,0,28,42,81,6,1155,675,0,0,0,18286174,2729562,1750510195,0,673,456,2,2,1,14,14,410,1,1751382832,1701108528,65648057,131595922,131612306,1,2,1,5790220568,73389,73389,14,14,14,131595922,11,3,529116,544918,1625506,13381,1751382832,532993,16661361,2015
314036.18,253952,62,103311,6806172330,26,37813408,0,246,30,30,5814,131,675,634831,2,17,24894,29,28,141892598,1352,1,0,28,44,81,6,1155,675,0,0,0,22152131,3405102,2042164597,0,673,456,2,2,1,14,14,410,1,2043673392,1993520887,72531952,154326502,154326502,1,2,1,6790366088,73389,73389,14,14,14,154326502,11,3,555429,648927,1801634,15611,2043673392,634831,20351333,2015
316047.27,253952,62,117537,7743531054,26,40965206,0,292,30,30,5814,133,675,755755,2,17,28916,29,28,142423502,1352,1,0,28,44,81,6,1155,675,0,0,0,26263922,4087911,2314799213,0,673,456,2,2,1,14,14,410,1,2317351728,2267501536,80150136,175633833,175633833,1,2,1,7727167756,73389,73389,14,14,14,175617449,11,3,583423,772252,1991328,17699,2317351728,755755,24273569,2015
318055.77,253952,62,132132,8705338014,27,44497169,0,334,31,31,5814,135,675,871467,2,17,32994,29,28,142688954,1352,1,0,28,45,81,6,1155,675,0,0,0,30352273,4806659,2597265206,0,673,456,2,2,1,14,14,410,1,2598107952,2548611834,89800947,197496061,197496061,1,2,1,8689105788,73389,73389,14,14,14,197479677,11,3,601985,890300,2148955,19841,2598107952,871467,28204427,2015
