timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
445077.13,1,0,0,18329,1206252932,0,0,0,0,1,1,6276,117,558,133392,14,1712,7,0,114873386,1118,1,0,6,15,0,5,1213,558,0,0,0,1991268,6073,397274882,0,558,371,2,1,14,14,3636,1,397574340,355776452,1998197,27123651,27140035,1,2,1,1193440644,73389,73389,14,14,14,27123651,11,3,349670,135503,814648,3051,397574340,133392,1176711,1758
447091.96,1,253952,62,33948,2235711726,4,8086132,0,29,14,14,6276,119,675,256163,14,5341,20,13,140299886,1352,1,0,19,28,13,5,1353,675,0,0,0,5536058,1420982,702755037,0,675,446,2,1,14,14,3636,1,708442928,657347639,17222782,50447929,50464313,1,2,1,2219708876,73389,73389,14,14,14,50447929,11,3,494754,260581,1245476,5424,708442928,256163,4290792,2094
449103.37,1,253952,62,47688,3140966568,5,14096469,0,48,14,14,6276,121,675,387729,14,9192,20,13,140565338,1352,1,0,19,28,13,5,1353,675,0,0,0,9578959,3991668,969869919,0,675,446,2,1,14,14,3636,1,972684080,922044194,37492260,71028331,71028331,1,2,1,3125246564,73389,73389,14,14,14,71028331,11,3,516079,397714,1452735,7440,972684080,387729,8126561,2094
451107.94,1,253952,62,59203,3899848774,12,24283458,0,92,14,14,6276,123,675,461584,14,12464,20,13,140830790,1352,1,0,19,28,13,5,1353,675,0,0,0,12750439,4975279,1190830434,0,675,446,2,1,14,14,3636,1,1194457904,1143812643,54765541,88270715,88287099,1,2,1,3883911460,73389,73389,14,14,14,88270715,11,3,525466,473246,1565571,9132,1194457904,461584,11185311,2094
453113.24,1,253952,62,69736,4594121242,12,25863036,0,133,14,14,6276,125,675,521201,14,15428,20,13,141361694,1352,1,0,19,28,13,5,1353,675,0,0,0,15084116,4988620,1397093092,0,675,446,2,1,14,14,3636,1,1397226288,1346820837,58709735,104057082,104057082,1,2,1,4578511608,73389,73389,14,14,14,104057082,11,3,529868,534222,1635677,10679,1397226288,521201,13448974,2094
455122.68,1,253952,62,81149,5345799938,12,27380800,0,151,18,18,6276,127,675,608217,14,18665,20,13,141361694,1352,1,0,19,32,13,5,1353,675,0,0,0,17994897,5889658,1616085576,0,675,446,2,1,14,14,3636,1,1616771888,1566523593,64666274,121139944,121156328,1,2,1,5330157536,73389,73389,14,14,14,121139944,11,3,551218,622966,1770077,12354,1616771888,608217,16225462,2094
457129.24,1,253952,62,96091,6330613342,13,32140012,0,184,21,21,6276,129,675,736168,14,22838,20,13,141892598,1352,1,0,19,35,13,5,1353,675,0,0,0,22060973,7606300,1900378940,0,675,446,2,1,14,14,3636,1,1904737072,1854389886,78341702,143516109,143532493,1,2,1,6314708796,73389,73389,14,14,14,143516109,11,3,588475,753295,1980239,14551,1904737072,736168,20081506,2094
459139.78,1,253952,62,111193,7325647054,14,36658080,0,213,22,22,6276,132,675,861148,14,27122,20,13,142423502,1352,1,0,19,36,13,5,1353,675,0,0,0,26334998,9418655,2193980836,0,675,446,2,1,14,14,3636,1,2195192624,2145324747,92346979,166132001,166148385,1,2,1,7309808044,73389,73389,14,14,14,166132001,11,3,633532,881205,2220863,16767,2195192624,861148,24115040,2094
461149.33,1,253952,62,125838,8290465362,16,42034032,0,227,24,24,6276,134,675,984571,14,31239,20,13,142423502,1352,1,0,19,38,13,5,1353,675,0,0,0,30243500,11614932,2474734308,0,675,446,2,1,14,14,3636,1,2477259568,2427383742,107759124,188061924,188061924,1,2,1,8274003760,73389,73389,14,14,14,188045540,11,3,671254,1006810,2430052,18919,2477259568,984571,27814483,2094
463153.91,1,253952,62,137101,9032844562,22,49496040,0,273,24,24,6276,136,675,1064472,14,34406,20,13,142942340,1352,1,0,19,38,13,5,1353,675,0,0,0,33193183,12467399,2694240733,0,675,446,2,1,14,14,3636,1,2694183728,2644399950,121843636,204935668,204935668,1,2,1,9017169392,73389,73389,14,14,14,204935668,11,3,686970,1088259,2557980,20574,2694183728,1064472,30636332,2094
