timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
563562.57,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
565567.82,2,0,0,18506,1217852804,0,0,0,0,1,1,5390,117,0,558,123321,15,1728,7,0,114873386,1118,1,0,6,15,0,5,1826,558,0,0,0,1971938,7950,399633509,0,558,342,2,1,14,14,424,1,400851140,359128230,1981603,27385795,27402179,1,2,1,1204974980,73389,73389,14,14,14,27385795,11,3,350904,125358,773591,3076,400851140,123321,1198441,1709
567580.42,2,253952,62,34645,2281655770,27,28801512,0,54,32,32,5390,119,0,675,236557,15,5536,38,27,140299886,1352,1,0,37,46,13,5,1946,675,0,0,0,5781884,875819,716934817,0,675,407,2,1,14,14,424,1,721812272,670814581,41610709,51486154,51502538,1,2,1,2265390776,73389,73389,14,14,14,51486154,11,3,500451,240978,1217771,5526,721812272,236557,4564321,2055
569584.54,2,253952,62,47313,3116378502,28,31963646,0,106,33,33,5390,121,1,675,322887,15,9110,38,27,140565338,1352,1,0,37,47,13,5,1946,675,0,0,0,9050788,1463505,960713405,0,675,407,2,1,14,14,424,1,965737264,914844595,49083106,70471275,70471275,1,2,1,3100015204,73389,73389,14,14,14,70454891,11,3,505588,329197,1354501,7387,965737264,322887,7696612,2055
571600.71,2,253952,62,59159,3896965190,31,36434559,0,129,34,34,5390,123,1,675,392462,15,12432,38,27,140830790,1352,1,0,37,48,13,5,1946,675,0,0,0,11854414,1670374,1193343490,0,675,407,2,1,14,14,424,1,1193671472,1142968539,56735725,88205179,88221563,1,2,1,3881027876,73389,73389,14,14,14,88205179,11,3,516476,400409,1446991,9126,1193671472,392462,10407861,2055
573608.11,2,253952,62,73575,4846775754,32,39464039,0,163,37,37,5390,126,1,675,503956,15,16529,38,27,141361694,1352,1,0,37,51,13,5,1946,675,0,0,0,15810174,3035565,1470037908,0,675,407,2,1,14,14,424,1,1470888752,1420708923,65518714,109799230,109799230,1,2,1,4831166120,73389,73389,14,14,14,109799230,11,3,528883,514136,1637786,11241,1470888752,503956,14172959,2055
575614.31,2,253952,62,87444,5760738126,34,45022899,0,204,38,38,5390,128,1,675,617714,15,20423,38,27,141627146,1352,1,0,37,52,13,5,1946,675,0,0,0,19861116,3757987,1737424814,0,675,407,2,1,14,14,424,1,1738144560,1687845139,75993800,130557697,130574081,1,2,1,5744538668,73389,73389,14,14,14,130557697,11,3,538517,630285,1770434,13280,1738144560,617714,18091382,2055
577622.40,2,253952,62,101345,6676532198,34,47807378,0,246,39,39,5390,130,1,675,729230,15,24322,38,27,141892598,1352,1,0,37,53,13,5,1946,675,0,0,0,23881874,4492081,2002716089,0,675,407,2,1,14,14,424,1,2005662512,1955585203,84893016,151383859,151383859,1,2,1,6660168900,73389,73389,14,14,14,151367475,11,3,552037,744165,1932718,15321,2005662512,729230,21949986,2055
579626.88,2,253952,62,113313,7465379730,37,53536894,0,292,39,39,5390,132,1,675,805958,15,27698,38,27,142423502,1352,1,0,37,53,13,5,1946,675,0,0,0,26725451,4839769,2236127006,0,675,407,2,1,14,14,424,1,2236087088,2186180494,94187733,169312212,169312212,1,2,1,7449737328,73389,73389,14,14,14,169312212,11,3,576723,822518,2055490,17079,2236087088,805958,24670902,2055
581636.08,2,253952,62,126211,8314910290,37,55088255,0,314,42,42,5390,134,1,675,891282,15,31329,38,27,142423502,1352,1,0,37,56,13,5,1946,675,0,0,0,29928481,5335333,2483985271,0,675,407,2,1,14,14,424,1,2484206384,2434521686,100008490,188618980,188618980,1,2,1,8298514224,73389,73389,14,14,14,188602596,11,3,595298,909780,2167338,18972,2484206384,891282,27762206,2055
583642.95,2,253952,62,140869,9280846018,39,60043732,0,356,44,44,5390,137,1,675,1002392,15,35490,38,27,142942340,1352,1,0,37,58,13,5,1946,675,0,0,0,34018196,6390074,2763977333,0,675,407,2,1,14,14,424,1,2766404400,2716885193,111077799,210563128,210579512,1,2,1,9264777632,73389,73389,14,14,14,210563128,11,3,615827,1023362,2322768,21125,2766404400,1002392,31696649,2055
585649.64,2,253952,62,155076,10216635186,40,63572230,0,397,44,44,5390,139,1,675,1117559,15,39470,38,27,143473244,1352,1,0,37,58,13,5,1946,675,0,0,0,38081318,7115029,3038554136,0,675,407,2,1,14,14,424,1,3039267792,2990393948,119298506,231843724,231843724,1,2,1,10200402960,73389,73389,14,14,14,231827340,11,3,630426,1141968,2466545,23210,3039267792,1117559,35616144,2055
587657.79,2,253952,62,168374,11093176502,40,67311676,0,437,45,45,5390,141,1,675,1237835,15,43210,38,27,144004148,1352,1,0,37,59,13,5,1946,675,0,0,0,42080509,7844367,3294670919,0,675,407,2,1,14,14,424,1,3294989264,3246508643,127994597,251758415,251774799,1,2,1,11077370260,73389,73389,14,14,14,251758415,11,3,647876,1264627,2629697,25161,3294989264,1237835,39452311,2055
589665.17,2,253952,62,182174,12002085986,42,72259366,0,475,45,45,5390,143,1,675,1362404,15,47079,38,27,144004148,1352,1,0,37,59,13,5,1946,675,0,0,0,46156595,8527309,3560226871,0,675,407,2,1,14,14,424,1,3560672208,3512233800,139412996,272414704,272431088,1,2,1,11986246976,73389,73389,14,14,14,272414704,11,3,663710,1391629,2790040,27188,3560672208,1362404,43367183,2055
591669.76,2,253952,62,194817,12835435770,44,76076415,0,532,47,47,5390,146,1,675,1450604,15,50687,38,27,144535052,1352,1,0,37,61,13,5,1946,675,0,0,0,49520731,8994328,3805188274,0,675,407,2,1,14,14,424,1,3804335056,3755827350,147578071,291364898,291364898,1,2,1,12820055512,73389,73389,14,14,14,291364898,11,3,680024,1481731,2923634,29047,3804335056,1450604,46598850,2055
593682.35,2,253952,62,206364,13596427194,45,78616098,0,549,49,49,5390,147,1,675,1520052,15,53900,38,27,144800504,1352,1,0,37,63,13,5,1946,675,0,0,0,52217961,9169983,4026538472,0,675,407,2,1,14,14,424,1,4026633168,3978240883,153132753,308656434,308672818,1,2,1,13580883096,73389,73389,14,14,14,308656434,11,3,700060,1552723,3026430,30743,4026633168,1520052,49193389,2055
595687.02,2,253952,62,217664,14340965774,48,83236050,0,593,50,50,5390,149,1,675,1589097,15,57089,38,27,145065956,1352,1,0,37,64,13,5,1946,675,0,0,0,54973823,9478675,4245534249,0,675,407,2,1,14,14,424,1,4243819472,4195947971,161044441,325581489,325581489,1,2,1,14325585516,73389,73389,14,14,14,325581489,11,3,716965,1623354,3139696,32400,4243819472,1589097,51836095,2055
597691.45,2,253952,62,227771,15007054454,48,84615484,0,611,50,50,5390,151,1,675,1638107,15,59957,38,27,145596860,1352,1,0,37,64,13,5,1946,675,0,0,0,57141188,9479273,4439478117,0,675,407,2,1,14,14,424,1,4438461392,4390619540,164597896,340722847,340722847,1,2,1,14991805268,73389,73389,14,14,14,340722847,11,3,730690,1673651,3214724,33885,4438461392,1638107,53928525,2055
599697.87,2,253952,62,240578,15850621238,48,86644839,0,652,52,52,5390,153,1,675,1741355,15,63558,38,27,145596860,1352,1,0,37,66,13,5,1946,675,0,0,0,60462008,9851286,4684960901,0,675,407,2,1,14,14,424,1,4685138896,4637227395,170468239,359882159,359898543,1,2,1,15834814996,73389,73389,14,14,14,359882159,11,3,748454,1778877,3339822,35767,4685138896,1741355,57124367,2055
601704.92,2,253952,62,254630,16776842150,48,89295402,0,694,53,53,5390,155,1,675,1876640,15,67504,38,27,146127764,1352,1,0,37,67,13,5,1946,675,0,0,0,64470023,10602730,4957730323,0,675,407,2,1,14,14,424,1,4955540432,4908009440,178314885,380941571,380941571,1,2,1,16761429124,73389,73389,14,14,14,380941571,11,3,764833,1916602,3507963,37830,4955540432,1876640,60964390,2055
603715.77,2,253952,62,269119,17731605766,49,94701013,0,748,54,54,5390,158,1,675,1998806,15,71620,38,27,146610404,1352,1,0,37,68,13,5,1946,675,0,0,0,68635574,11288179,5235219816,0,675,407,2,1,14,14,424,1,5234723792,5187112766,189260753,402617542,402639959,1,2,1,17715171848,73389,73389,14,14,14,402617542,11,3,784628,2041245,3687435,39960,5234723792,1998806,64950611,2055
