timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLockWaitMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
594003.21,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
596008.36,1,0,0,19392,1276448604,0,0,0,0,1,1,4678,117,585,130392,37,1810,11,2362,120717836,1172,1,0,10,15,81,9,2592,585,0,0,0,1985766,3429,419688870,0,585,413,2,1,14,14,413,0,1,420511940,376407115,1990089,28708581,28708581,1,2,1,0,1262456668,73389,73389,14,14,14,28692197,12,1,3,369646,132491,854715,3226,420511940,130392,1131040,1779
598013.81,1,253952,62,40574,2672245802,5,5000876,0,5,22,22,4678,120,675,248064,37,7199,32,2383,140299886,1352,1,0,31,36,81,9,2724,675,0,0,0,6145001,4723,833997975,0,675,470,2,1,14,14,413,0,1,835975984,785018807,13004006,60359361,60381778,1,2,1,0,2655811884,73389,73389,14,14,14,60359361,12,1,3,482308,252878,1187464,6398,836107056,248114,4957693,2042
600022.01,1,253952,62,56613,3729048726,17,19499645,0,51,22,22,4678,123,675,363341,37,11738,32,2383,140830790,1352,1,0,31,36,81,9,2724,675,0,0,0,10336239,864999,1143097585,0,675,470,2,1,14,14,413,0,1,1144650544,1093930828,64553385,84396343,84396343,1,2,1,0,3713439092,73389,73389,14,14,14,84396343,12,1,3,500136,370538,1366140,8752,1144650544,363341,8970411,2042
602035.18,1,253952,62,70988,4676437766,18,22749154,0,95,24,24,4678,125,675,480204,37,15770,32,2383,141361694,1352,1,0,31,38,81,9,2724,675,0,0,0,14316032,1790253,1415599939,0,675,470,2,1,14,14,413,0,1,1421474608,1370880006,73408822,105914507,105930891,1,2,1,0,4660238308,73389,73389,14,14,14,105914507,12,1,3,513166,489749,1515229,10864,1421474608,480204,12801258,2042
604041.98,1,253952,62,85886,5658102134,20,27492258,0,151,25,25,4678,128,675,597877,37,20029,32,2383,141627146,1352,1,0,31,39,81,9,2724,675,0,0,0,18307756,2527316,1704886030,0,675,470,2,1,14,14,413,0,1,1708129072,1657756680,83457640,128235487,128251871,1,2,1,0,5642361428,73389,73389,14,14,14,128235487,12,1,3,518660,609954,1655233,13051,1708129072,597877,16653125,2042
606056.90,1,253952,62,100289,6607060730,21,31199245,0,192,26,26,4678,130,675,715490,37,24057,32,2383,141892598,1352,1,0,31,40,81,9,2724,675,0,0,0,22490094,3666177,1984458987,0,675,470,2,1,14,14,413,0,1,1985346352,1935277267,92991346,149788578,149804962,1,2,1,0,6590697432,73389,73389,14,14,14,149788578,12,1,3,529041,729881,1827774,15166,1985346352,715490,20663050,2042
608069.78,1,253952,62,114788,7562576234,23,35447370,0,242,27,27,4678,132,675,834771,37,28100,32,2383,142423502,1352,1,0,31,41,81,9,2724,675,0,0,0,26584445,4936964,2265218052,0,675,470,2,1,14,14,413,0,1,2264791856,2214603862,104053677,171519734,171519734,1,2,1,0,7546868296,73389,73389,14,14,14,171519734,12,1,3,539431,851469,1991740,17298,2264791856,834771,24593567,2042
610083.58,1,253952,62,128920,8493509122,24,40236021,0,285,29,29,4678,135,675,949350,37,32120,32,2383,142688954,1352,1,0,31,43,81,9,2724,675,0,0,0,30581039,5865351,2535231116,0,675,470,2,1,14,14,413,0,1,2536241968,2486695789,113837430,192681768,192681768,1,2,1,0,8477997792,73389,73389,14,14,14,192681768,12,1,3,549339,968618,2157981,19369,2536241968,949350,28424059,2042
612092.34,1,253952,62,143281,9439980658,25,44823595,0,330,30,30,4678,137,675,1063030,37,36144,32,2383,142942340,1352,1,0,31,44,81,9,2724,675,0,0,0,34567686,6443621,2811025102,0,675,470,2,1,14,14,413,0,1,2813066032,2763404979,123426767,214175356,214191740,1,2,1,0,9423715664,73389,73389,14,14,14,214175356,12,1,3,555885,1084726,2286939,21481,2813066032,1063030,32281902,2042
