timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
167706.51,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
169719.55,1,253952,62,30698,2021597588,8,9985933,171,18,18,401,244,0,558,283651,2,121,12031,32,362,102648543,1118,1,0,4,6464,38105442,9,152292364,31,32,13,4422,558,0,0,17273589,564952,665787860,0,556,510,2,3,1,14,14,7141,3,666492877,639329090,27804236,38683390,38697615,1,3,1,2010684344,73389,73389,14,14,14,38667010,11,3,116800,289967,564216,5567,666492877,283651,16710048,4375
171724.93,1,253952,62,52130,3433971842,11,14370870,293,18,18,401,392,4,567,467646,2,121,20463,32,362,106331785,1136,1,0,4,6464,64825216,9,259236300,31,32,13,4422,567,0,0,28835284,889968,1115559655,0,565,519,2,3,1,14,14,7141,3,1116239033,1084036702,44037707,65832888,65865656,1,3,1,3423310208,73389,73389,14,14,14,65832892,11,3,124723,478449,783449,9318,1116239033,467646,28052936,4405
173731.44,1,253952,62,70088,4616586614,14,18218846,379,21,21,401,512,4,576,569596,2,121,27563,32,362,109389782,1154,1,0,4,6464,87295294,9,349116512,31,35,13,4422,576,0,0,36411314,899838,1486078053,0,574,525,2,3,1,14,14,7141,3,1485412915,1456132016,55504062,88608746,88608746,1,3,1,4607654824,73389,73389,14,14,14,88608750,11,3,132626,583195,898684,12395,1485412915,569596,35514033,4431
175736.87,2,253952,62,92969,6123608816,14,19066662,490,22,22,401,639,5,576,748328,2,121,36524,32,362,112177028,1154,1,0,4,6464,115837796,9,463286656,31,36,13,4422,576,0,0,48360373,1078697,1956361699,0,574,525,2,3,1,14,14,7141,3,1956321966,1930913632,68441572,117572994,117572994,1,3,1,6113795720,73389,73389,14,14,14,117572998,11,3,140137,766225,1124309,16263,1956321966,748328,47237898,4431
177749.60,4,253952,62,112644,7420570866,18,23819047,595,25,25,401,771,5,576,874319,2,121,44314,32,362,113456024,1154,1,0,4,6464,140467622,9,561805812,31,39,13,4422,576,0,0,57364875,1120129,2370644221,0,574,525,2,3,1,14,14,7141,3,2368945354,2339084513,82249506,142506778,142523162,1,3,1,7410352488,73389,73389,14,14,14,142506782,11,3,151468,895482,1286011,19693,2368945354,874319,56081038,4431
179756.76,5,253952,62,136566,8997710406,18,25821276,720,26,26,401,925,5,576,1073323,2,121,53738,32,362,115917488,1154,1,0,4,6464,170353079,9,681412316,31,40,13,4422,576,0,0,70826449,1397683,2869707638,0,574,525,2,3,1,14,14,7141,3,2867801944,2835919264,97957227,172834328,172834328,1,3,1,8987385088,73389,73389,14,14,14,172834332,11,3,161809,1099349,1544881,23836,2867801944,1073323,69284224,4431
181768.27,5,253952,62,160217,10555557308,18,28137556,842,27,27,401,1082,13,576,1280398,2,121,63027,32,362,116858636,1154,1,0,4,6464,199814713,9,799194192,31,41,13,4422,576,0,0,84282159,1724406,3364121704,0,574,525,2,3,1,14,14,7141,3,3362661898,3326863119,113844160,202730305,202746689,1,3,1,10541975892,73389,73389,14,14,14,202730309,11,3,168167,1311259,1778563,27944,3362661898,1280398,82506718,4431
183772.40,6,253952,62,181053,11927375922,20,31761217,945,27,27,401,1216,13,585,1444066,2,121,71209,32,362,118357797,1172,1,0,4,6464,225771115,9,903019936,31,41,13,4422,585,0,0,95182809,1942748,3807977485,0,583,531,2,3,1,14,14,7141,3,3806133780,3759510648,128800538,229089941,229089941,1,3,1,11912676964,73389,73389,14,14,14,229089945,11,3,174601,1479024,1982699,31625,3806133780,1444066,93203629,4457
185777.15,12,253952,62,200300,13195383614,23,35376848,1036,29,29,401,1338,20,603,1557520,2,121,78763,32,362,121356436,1208,1,0,4,6464,249730271,9,998921084,31,43,13,4422,603,0,0,103449662,1948629,4216083305,0,601,542,2,3,1,14,14,7141,3,4213260030,4159388448,140686301,253423994,253423994,1,3,1,13178047720,73389,73389,14,14,14,253423998,11,3,186917,1595588,2141549,35003,4213260030,1557520,101311977,4504
