timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
171302.78,2,253952,62,20958,1378607406,4,5440749,0,128,11,11,1878,185,0,567,180954,0,7,8182,16,0,100745227,1136,1,0,4,1942,25867480,10,103340756,15,25,0,4,9843,567,0,0,11966534,531157,466374115,0,567,577,0,3,1,14,14,2593,3,467305893,436759700,17955468,26335504,26335504,1,3,1,1368594272,73389,73389,14,14,14,26319124,8,3,74834,185250,393370,3926,467305893,180954,11573592,1941
173307.66,2,253952,62,38392,2528003452,7,9267127,0,225,11,11,1878,314,1,567,285205,0,7,15069,16,0,102892975,1136,1,0,4,1942,47661747,10,190646988,15,25,0,4,9843,567,0,0,19575117,534563,828634831,0,567,577,0,3,1,14,14,2593,3,829199724,798676486,29388174,48439174,48439174,1,3,1,2518837080,73389,73389,14,14,14,48439178,8,3,80176,292222,526094,6969,829199724,285205,19049758,1941
175312.46,7,253952,62,61050,4020773106,7,10285925,0,346,15,15,1878,436,2,576,465313,0,7,23961,16,0,107483354,1154,1,0,4,1942,75948166,10,303663656,15,29,0,4,9843,576,0,0,31742499,735948,1300387676,0,576,584,0,3,1,14,14,2593,3,1300198766,1268863010,42763392,77130927,77130927,1,3,1,4010808236,73389,73389,14,14,14,77130931,8,3,99986,476497,766503,10836,1300198766,465313,30976173,1965
177318.58,7,253952,62,78782,5188866326,11,15022037,0,442,18,18,1878,557,2,585,570914,0,7,30967,16,0,110550959,1172,1,0,4,1942,98142414,10,392440404,15,32,0,4,9843,585,0,0,39571555,738538,1672495805,0,585,594,0,3,1,14,14,2593,3,1671687226,1636650631,55324347,99593330,99593330,1,3,1,5178853192,73389,73389,14,14,14,99593334,8,3,113110,584872,899316,13932,1671687226,570914,38672726,2001
179328.07,8,253952,62,103479,6816458418,11,16406251,0,584,19,19,1878,729,3,585,772997,0,7,40703,16,0,112433255,1172,1,0,4,1942,128982448,10,515736080,15,33,0,4,9843,585,0,0,53011192,967429,2178257277,0,585,594,0,3,1,14,14,2593,3,2176708576,2148765122,70261772,130906079,130906079,1,3,1,6807116140,73389,73389,14,14,14,130906083,8,3,124226,791874,1147495,18143,2176708576,772997,51865663,2001
181335.90,15,253952,62,128362,8455757566,11,18770083,0,712,19,19,1878,869,4,594,980465,0,7,50485,16,0,116660925,1190,1,0,4,1942,160029716,10,640054236,15,33,0,4,9843,594,0,0,66492832,1217751,2698908267,0,594,601,0,3,1,14,14,2593,3,2697403190,2665119130,86436517,162395178,162425787,1,3,1,8444549288,73389,73389,14,14,14,162395182,8,3,131918,1004348,1383801,22417,2697403190,980465,65111485,2031
183340.69,16,253952,62,151352,9970907154,12,21422872,0,842,19,19,1878,1025,4,603,1166080,0,7,59530,16,0,120982503,1208,1,0,4,1942,188729276,10,754852412,15,33,0,4,9843,603,0,0,78741254,1470672,3177926119,0,603,610,0,3,1,14,14,2593,3,3175448416,3142166356,101470487,191553431,191553431,1,3,1,9960778444,73389,73389,14,14,14,191553435,8,3,146922,1194502,1618366,26403,3175448416,1166080,77125792,2057
185346.03,17,253952,62,169076,11138753604,15,25131123,0,937,21,21,1878,1143,5,603,1277288,0,7,66521,16,0,121923651,1208,1,0,4,1942,210866583,10,843337124,15,35,0,4,9843,603,0,0,86600483,1472172,3552256892,0,603,610,0,3,1,14,14,2593,3,3550101375,3510606916,113140084,213956331,213972715,1,3,1,11125729244,73389,73389,14,14,14,213956335,8,3,163275,1308515,1787028,29510,3550101375,1277288,84816695,2057
187353.83,20,253952,62,188991,12450089228,16,27964801,0,1040,23,23,1878,1269,5,612,1418386,0,7,74357,16,0,123736503,1226,1,0,4,1942,235705645,10,942757904,15,37,0,4,9843,612,0,0,95969971,1599216,3966775573,0,612,615,0,3,1,14,14,2593,3,3963998166,3923847082,125465735,239150544,239183312,1,3,1,12434976352,73389,73389,14,14,14,239134164,8,3,174933,1452987,1967767,32947,3963998166,1418386,94005811,2084
189360.09,23,253952,62,211809,13954406450,16,29626457,0,1161,23,23,1878,1411,5,621,1613476,0,7,83329,16,0,125549380,1244,1,0,4,1942,264166989,10,1056603192,15,37,0,4,9843,621,0,0,108029252,1938935,4449736782,0,621,623,0,3,1,14,14,2593,3,4446642191,4398284525,139507855,268032428,268046653,1,3,1,13936834320,73389,73389,14,14,14,268016048,8,3,183420,1652584,2206045,36938,4446642191,1613476,105827255,2123
191364.75,24,253952,62,230034,15154664126,19,33826373,0,1253,23,23,1878,1531,5,621,1733580,0,7,90436,16,0,125549380,1244,1,0,4,1942,286723542,10,1146894168,15,37,0,4,9843,621,0,0,116154722,1967965,4841625207,0,621,623,0,3,1,14,14,2593,3,4838463238,4777423166,151850557,291043695,291060079,1,3,1,15134272172,73389,73389,14,14,14,291043699,8,3,197352,1775800,2370032,40179,4838463238,1733580,113789082,2123
193374.40,27,253952,62,250397,16496500942,19,35619069,0,1371,26,26,1878,1662,6,630,1911539,0,7,98484,16,0,127060280,1262,1,0,4,1942,312217800,10,1248871200,15,40,1,4,9843,630,0,0,127001011,2264636,5281618203,0,630,631,0,3,1,14,14,2593,3,5278056865,5201141094,164758683,316769944,316769944,1,3,1,16472037120,73389,73389,14,14,14,316769948,8,3,234587,1957842,2646636,43825,5278056865,1911539,124359170,2155
