timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
18797.91,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
20805.34,9,253952,62,32450,2136440792,1,4722080,196,14,14,2859,260,0,567,328648,0,29,12717,20,0,103568671,1136,1,0,4,1385,40244372,8,160977488,19,28,0,5,5320,567,0,0,20886720,1030222,705124090,0,567,596,0,3,1,14,14,2001,3,706620192,675338726,26582653,40884879,40917647,1,3,1,2123457836,73389,73389,14,14,14,40835731,8,3,104052,335962,635832,5915,706620192,328648,20251568,2247
22816.28,29,253952,62,66331,4369076800,2,8181471,403,14,14,2859,482,2,567,649507,0,29,26072,20,0,108214081,1136,1,0,4,1385,82612678,8,330256848,19,28,0,5,5320,567,0,0,42125153,1910235,1406503912,0,567,596,0,3,1,14,14,2001,3,1407998313,1378379481,52215504,83841446,83841446,1,3,1,4358903256,73389,73389,14,14,14,83825066,8,3,121771,666264,1047042,11746,1407998313,649507,41079489,2247
24820.89,32,253952,62,99937,6582773392,3,10854382,560,14,14,2859,692,4,576,934421,0,29,39243,20,0,112780328,1154,1,0,4,1385,124414256,8,497527600,19,28,0,5,5320,576,0,0,60844690,2268016,2105006018,0,576,606,0,3,1,14,14,2001,3,2104054091,2075544978,73790809,126403082,126403082,1,3,1,6572960296,73389,73389,14,14,14,126403086,8,3,142582,957858,1427348,17517,2104054091,934421,59419373,2270
26831.40,34,253952,62,131224,8644492000,7,15724107,696,19,19,2859,897,4,576,1172149,0,29,51624,20,0,114686756,1154,1,0,4,1385,163671177,8,654619960,19,33,0,5,5320,576,0,0,76970635,2608824,2753687319,0,576,606,0,3,1,14,14,2001,3,2752127505,2724374443,95298723,166040174,166072942,1,3,1,8634089080,73389,73389,14,14,14,166040178,8,3,164087,1201380,1759414,22907,2752127505,1172149,75213915,2270
28840.47,43,253952,62,171643,11308763668,7,19495888,919,22,22,2859,1156,8,585,1563400,2,29,67556,22,0,118356478,1172,1,0,4,1385,214200653,8,856608900,21,36,0,5,5527,585,0,0,101774591,3611507,3592649397,0,583,618,2,3,1,14,14,2001,3,3590420728,3562992840,124818152,217306415,217306415,1,3,1,11299933612,73389,73389,14,14,14,217306419,8,3,183515,1602049,2237021,29859,3590420728,1563400,99541092,2302
30851.55,51,253952,62,214068,14103836922,7,22711875,1150,22,22,2859,1427,11,603,1968412,2,29,84228,22,0,121981195,1208,1,0,4,1385,267050350,8,1067943188,21,36,0,5,5527,603,0,0,127310300,4515947,4476722997,0,601,635,2,3,1,14,14,2001,3,4473268344,4443468395,154416663,271009998,271042766,1,3,1,14092519928,73389,73389,14,14,14,271010002,8,3,207166,2016164,2773485,37180,4473399416,1968459,124541186,2367
32856.19,57,253952,62,259341,17087630924,7,26780030,1355,23,23,2859,1721,14,639,2367753,2,29,102032,23,0,128489174,1280,1,0,4,1385,323497541,8,1293796156,22,37,0,5,5537,639,0,0,152588749,5136798,5432923802,0,637,682,2,3,1,14,14,2001,3,5430560304,5384040027,184271250,328308981,328325365,1,3,1,17072067044,73389,73389,14,14,14,328308985,8,3,236338,2424733,3299886,45140,5430560304,2367753,149294123,2518
34868.54,57,253952,62,311610,20530803992,10,31957656,1537,30,30,2859,2058,16,666,2761490,2,29,122572,27,0,133869731,1334,1,0,4,1385,388666758,8,1554214604,26,44,0,5,6349,666,0,0,178100300,5488798,6555620614,0,664,703,2,3,1,14,14,2001,3,6552880253,6470778852,215486181,394340192,394389344,1,3,1,20505690016,73389,73389,14,14,14,394340196,8,3,275035,2827907,3797516,54475,6552880253,2761490,174309052,2604
36872.97,64,253952,62,380878,25092645202,11,36766970,1819,37,37,2859,2492,19,792,3380009,4,29,149507,34,8,156299526,1586,1,0,4,1385,474184348,8,1896414188,33,51,8,5,12773,792,0,0,214747334,6260186,8126020041,0,788,803,4,3,1,14,14,2001,3,8123061742,7917890837,257705452,481355372,481388140,1,3,1,25029627408,73389,73389,14,14,14,481338992,8,3,333813,3460630,4588141,67546,8123061742,3380009,210165794,3009
