timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
240525.55,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
242530.92,4,253952,62,17080,1124446732,4,6077243,106,10,10,1503,164,1,567,151667,0,19,6670,25,101,99804079,1136,1,0,4,2188,21070348,6,84152028,24,24,14,1704,567,0,0,9363653,276096,383510036,0,567,556,0,3,1,14,14,2771,3,383687102,357076173,15698370,21436688,21436688,1,3,1,1113855840,73389,73389,14,14,14,21420308,11,3,97650,155231,391319,3243,383687102,151667,8972679,2283
244539.74,4,253952,62,29212,1923873244,7,9980673,208,11,11,1503,218,1,567,226809,0,19,11431,25,101,101638111,1136,1,0,4,2188,36240624,6,144833312,24,25,14,1704,567,0,0,14755128,279983,640078167,0,567,556,0,3,1,14,14,2771,3,640684590,608405805,24993029,36823806,36823806,1,3,1,1913985976,73389,73389,14,14,14,36807426,11,3,106273,232413,488361,5325,640684590,226809,14267349,2283
246553.57,5,253952,62,41429,2728616930,8,12080659,276,13,13,1503,316,1,567,306316,0,19,16265,25,101,102591325,1136,1,0,4,2188,51492548,6,205914176,24,27,14,1704,567,0,0,20385810,294791,894331652,0,567,556,0,3,1,14,14,2771,3,894194656,861950356,32731023,52278619,52295003,1,3,1,2718488220,73389,73389,14,14,14,52278623,11,3,111995,314055,593529,7477,894194656,306316,19793094,2283
248560.62,7,253952,62,55647,3663858654,8,13679559,362,13,13,1503,403,2,567,428489,0,19,21854,25,101,105076921,1136,1,0,4,2188,69255146,6,277020584,24,27,14,1704,567,0,0,28466754,657781,1186847002,0,567,556,0,3,1,14,14,2771,3,1186699855,1156278464,42741672,70277270,70293654,1,3,1,3653566104,73389,73389,14,14,14,70260890,11,3,118921,439263,758132,9908,1186699855,428489,27709720,2283
250570.71,9,253952,62,70411,4638345976,8,15322433,452,14,14,1503,501,2,576,557077,0,19,27676,25,101,110352740,1154,1,0,4,2188,87729121,6,350666484,24,28,14,1704,576,0,0,36924246,921438,1494320037,0,576,564,0,3,1,14,14,2771,3,1493336479,1463173046,53075031,89014028,89014028,1,3,1,4628729488,73389,73389,14,14,14,89014032,11,3,125042,570962,938141,12447,1493336479,557077,35987499,2318
252577.91,10,253952,62,86917,5725693882,8,17662662,565,14,14,1503,611,2,585,702112,0,19,34173,25,101,114906921,1172,1,0,4,2188,108261435,6,432980976,24,28,14,1704,585,0,0,46327391,1225063,1834601494,0,585,576,0,3,1,14,14,2771,3,1834834812,1805819016,65125375,109889342,109922110,1,3,1,5713393848,73389,73389,14,14,14,109872962,11,3,129975,719486,1143131,15294,1834834812,702112,45185976,2347
254582.85,17,253952,62,102869,6776831372,8,19387806,666,14,14,1503,710,2,594,830536,0,19,40408,25,101,118926557,1190,1,0,4,2188,128134768,6,512539072,24,28,14,1704,594,0,0,54786960,1407568,2167381624,0,594,582,0,3,1,14,14,2771,3,2165769168,2136649942,75498114,130125680,130125680,1,3,1,6766535392,73389,73389,14,14,14,130125684,11,3,146453,851008,1338198,18036,2165769168,830536,53450792,2374
256598.15,17,253952,62,115806,7629665928,11,23262461,760,17,17,1503,800,2,594,914726,0,19,45561,25,101,120169355,1190,1,0,4,2188,144364678,6,577394128,24,31,14,1704,594,0,0,60801129,1467342,2434108608,0,594,582,0,3,1,14,14,2771,3,2432784409,2405207410,85447552,146507904,146524288,1,3,1,7618411040,73389,73389,14,14,14,146507908,11,3,157675,937398,1453282,20253,2432784409,914726,59350116,2374
258612.35,26,253952,62,131164,8641814704,12,25211172,889,18,18,1503,895,2,594,1057473,0,19,51607,25,101,120193487,1190,1,0,4,2188,163566138,6,654135404,24,32,14,1704,594,0,0,69826088,1683638,2754562313,0,594,582,0,3,1,14,14,2771,3,2752927976,2723707990,96607777,165982386,165998770,1,3,1,8631084104,73389,73389,14,14,14,165982390,11,3,162758,1083524,1634100,22903,2752927976,1057473,68194552,2374
