timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
241438.52,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0
243443.24,1,253952,62,13773,906778032,7,7940856,0,97,10,10,2838,138,0,567,119600,0,33,5353,25,0,98549215,1136,1,0,4,3480,16876961,10,67443332,24,24,14,3367,567,0,0,6864091,220492,323065645,0,567,615,0,3,1,14,14,4160,3,322946825,288130981,15021579,17265245,17265245,1,3,1,896940804,73389,73389,14,14,14,17248865,15,3,94929,121999,348324,2714,322946825,119600,6516022,1900
245448.89,3,253952,62,25992,1711302876,7,8845345,0,187,11,11,2838,225,4,567,190393,0,33,10185,25,0,100093663,1136,1,0,4,3480,32182130,10,128728520,24,25,14,3367,567,0,0,12282709,221632,573713796,0,567,615,0,3,1,14,14,4160,3,573624985,541726489,21318177,32722217,32722217,1,3,1,1701555316,73389,73389,14,14,14,32722221,15,3,101766,194719,444745,4805,573624985,190393,11838445,1900
247459.52,7,253952,62,39285,2587794030,8,11398247,0,253,13,13,2838,300,5,567,289048,0,33,15432,25,0,102579259,1136,1,0,4,3480,48848016,10,195392064,24,27,14,3367,567,0,0,19208706,328721,848426196,0,567,615,0,3,1,14,14,4160,3,848459779,817735539,30903497,49561034,49593802,1,3,1,2577173800,73389,73389,14,14,14,49561038,15,3,113660,295792,593099,7061,848459779,289048,18616347,1900
249468.66,8,253952,62,53606,3531052892,8,13094351,0,336,13,13,2838,410,6,567,408864,0,33,21074,25,0,105113119,1136,1,0,4,3480,66712602,10,266785784,24,27,14,3367,567,0,0,27318479,563378,1143807530,0,567,615,0,3,1,14,14,4160,3,1143856575,1114705903,40945194,67698505,67714889,1,3,1,3519470324,73389,73389,14,14,14,67682125,15,3,117003,418515,734129,9543,1143856575,408864,26585381,1900
251481.66,9,253952,62,69495,4578604584,8,13923835,0,449,15,15,2838,492,7,567,546235,0,33,27329,25,0,108226147,1136,1,0,4,3480,86603907,10,346415628,24,29,14,3367,567,0,0,36360628,803645,1473216246,0,567,615,0,3,1,14,14,4160,3,1472147492,1444069713,51037137,87873181,87889565,1,3,1,4569405444,73389,73389,14,14,14,87873185,15,3,123301,559103,905341,12227,1472147492,546235,35456659,1900
253491.40,13,253952,62,86185,5677118230,9,17202061,0,550,15,15,2838,611,8,576,695362,0,33,33897,25,0,111851246,1154,1,0,4,3480,107401230,10,429540424,24,29,14,3367,576,0,0,45792265,1056995,1822009058,0,576,626,0,3,1,14,14,4160,3,1821396381,1790342509,63972871,108967964,109017116,1,3,1,5666334160,73389,73389,14,14,14,108967968,15,3,135641,711750,1113408,15146,1821396381,695362,44680585,1931
255496.47,14,253952,62,100259,6603851852,12,21385234,0,643,15,15,2838,689,8,576,789494,0,33,39407,25,0,112490744,1154,1,0,4,3480,124914300,10,499592568,24,29,14,3367,576,0,0,52334494,1111320,2115032302,0,576,626,0,3,1,14,14,4160,3,2113505414,2081983508,74747039,126812682,126812682,1,3,1,6594259496,73389,73389,14,14,14,126812686,15,3,148215,808149,1247147,17560,2113505414,789494,51089344,1931
257509.66,14,253952,62,114996,7574409888,12,22212325,0,752,17,17,2838,787,8,576,905724,0,33,45231,25,0,114373040,1154,1,0,4,3480,143378417,10,573513668,24,31,14,3367,576,0,0,60064683,1307246,2415271154,0,576,626,0,3,1,14,14,4160,3,2414379517,2387501937,83461498,145474441,145474441,1,3,1,7564670964,73389,73389,14,14,14,145474445,15,3,162706,926968,1413730,20051,2414379517,905724,58653238,1931
259521.74,23,253952,62,130682,8609800368,12,22811088,0,861,17,17,2838,896,8,585,1058384,0,33,51434,25,0,118066885,1172,1,0,4,3480,163007721,10,651966256,24,31,14,3367,585,0,0,69314405,1553508,2743376394,0,585,635,0,3,1,14,14,4160,3,2741383995,2713575977,93545091,165384370,165384370,1,3,1,8599135304,73389,73389,14,14,14,165367990,15,3,195419,1082809,1672013,22780,2741383995,1058384,67645002,1960
261535.61,23,253952,62,146759,9668478294,12,23836511,0,958,18,18,2838,997,8,594,1203309,0,33,57739,25,0,120169346,1190,1,0,4,3480,183028378,10,731919620,24,32,14,3367,594,0,0,78858983,1873757,3080968918,0,594,648,0,3,1,14,14,4160,3,3079832811,3047225814,104407143,185690562,185723330,1,3,1,9655909256,73389,73389,14,14,14,185690566,15,3,207932,1231002,1891400,25586,3079832811,1203309,76970523,1995
263545.96,34,253952,62,164395,10831486658,12,25590530,0,1102,19,19,2838,1108,8,594,1360841,0,33,64684,25,0,120169346,1190,1,0,4,3480,205044860,10,820179440,24,33,14,3367,594,0,0,89539654,2367100,3451245116,0,594,648,0,3,1,14,14,4160,3,3449215825,3413772520,117228433,208054217,208054217,1,3,1,10818819316,73389,73389,14,14,14,208054221,15,3,218346,1395100,2107078,28653,3449215825,1360841,87435876,1995
265551.62,37,253952,62,181767,11974961308,12,28139056,0,1221,19,19,2838,1224,8,594,1505358,0,33,71474,25,0,120483062,1190,1,0,4,3480,226657219,10,906564300,24,33,14,3367,594,0,0,99416889,2651722,3819432545,0,594,648,0,3,1,14,14,4160,3,3816414536,3774473026,129934033,230007001,230007001,1,3,1,11959512116,73389,73389,14,14,14,229990621,15,3,232822,1543135,2322715,31703,3816414536,1505358,97097824,1995
267561.84,37,253952,62,196218,12926426134,16,33154733,0,1281,22,22,2838,1310,8,594,1592049,0,33,77165,25,0,120483062,1190,1,0,4,3480,244653407,10,978484448,24,36,14,3367,594,0,0,105703885,2667902,4125702153,0,594,648,0,3,1,14,14,4160,3,4122811016,4074474169,141304131,248261319,248277703,1,3,1,12909588620,73389,73389,14,14,14,248261323,15,3,260110,1632111,2453947,34246,4122811016,1592049,103253831,1995
269575.87,37,253952,62,215669,14209021836,16,34357408,0,1393,23,23,2838,1441,9,594,1766780,0,33,84847,25,0,120483062,1190,1,0,4,3480,268975994,10,1075839408,24,37,14,3367,594,0,0,116478534,3002916,4536462178,0,594,648,0,3,1,14,14,4160,3,4533487656,4478745157,153581168,272898032,272914416,1,3,1,14190697696,73389,73389,14,14,14,272898036,15,3,267789,1810925,2677266,37658,4533487656,1766780,113805539,1995
271580.71,37,253952,62,235320,15504411022,20,39274685,0,1485,24,24,2838,1562,9,603,1904617,0,33,92513,25,0,121924729,1208,1,0,4,3480,293341578,10,1173237100,24,38,14,3367,603,0,0,125715968,3113359,4953703436,0,603,651,0,3,1,14,14,4160,3,4949571582,4887193618,167831239,297774472,297774472,1,3,1,15483420608,73389,73389,14,14,14,297758092,15,3,286774,1952167,2875396,41105,4949571582,1904617,122844201,2019
273587.16,39,253952,62,250295,16490707744,20,41858976,0,1557,25,25,2838,1662,9,621,1998499,2,33,98439,25,0,125178296,1244,1,0,4,3480,312071029,10,1248219440,24,39,14,3367,621,0,0,132242613,3122315,5272668468,0,619,663,2,3,1,14,14,4160,3,5268331277,5198439868,176957550,316702249,316702249,1,3,1,16468516980,73389,73389,14,14,14,316702253,15,3,298702,2048487,2998937,43768,5268331277,1998499,129248571,2068
275597.37,39,253952,62,268407,17684171544,20,42726404,0,1649,27,27,2838,1779,9,630,2153984,2,33,105585,25,0,126620444,1262,1,0,4,3480,334750963,10,1338874684,24,41,14,3367,630,0,0,142002173,3269346,5657255353,0,628,671,2,3,1,14,14,4160,3,5652882332,5574735082,187728630,339608735,339608735,1,3,1,17659654252,73389,73389,14,14,14,339608739,15,3,305267,2207451,3177137,46964,5652882332,2153984,138830292,2099
277606.96,39,253952,62,289400,19066203240,20,45094048,0,1772,27,27,2838,1915,9,639,2340000,4,33,113818,25,0,128062048,1280,1,0,4,3480,360857939,10,1443367228,24,41,14,3367,639,0,0,153406265,3597685,6105966439,0,635,691,4,3,1,14,14,4160,3,6101600058,6011196121,201760813,366089092,366121860,1,3,1,19036632816,73389,73389,14,14,14,366089096,15,3,312378,2397665,3410543,50691,6101600058,2340000,150001387,2127
279615.48,40,253952,62,310777,20475660776,20,46831258,0,1895,27,27,2838,2049,12,684,2532048,4,33,122218,25,0,136808312,1370,1,0,4,3480,387504866,10,1550019464,24,41,14,3367,684,0,0,165487104,3888150,6567876217,0,680,738,4,3,1,14,14,4160,3,6562561399,6456118237,215864496,393115710,393115710,1,3,1,20442016952,73389,73389,14,14,14,393115714,15,3,322069,2594129,3658940,54514,6562561399,2532048,161834274,2282
