timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
553805.56,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
555812.79,5,253952,62,43301,2852567252,0,1673813,0,147,16,16,1889,324,0,576,305627,4,27,16994,31,1,105902708,1154,1,0,4,999,53835243,7,215211648,30,30,14,14,231,576,0,0,20939164,209395,926667017,0,572,351,4,3,1,14,14,1527,3,927598914,900790994,22849567,54653855,54686623,1,3,1,2842000492,73389,73389,14,14,14,54653859,6,3,117088,313247,515266,7759,927598914,305627,20424650,1423
557828.23,9,253952,62,96066,6326911656,1,4963206,0,379,18,18,1889,669,1,576,741487,4,27,37753,33,1,113142308,1154,1,0,4,999,119678880,7,478650804,32,32,14,14,256,576,0,0,50225074,646466,2023723620,0,572,351,4,3,1,14,14,1527,3,2023384548,1994699076,55818716,121453843,121552147,1,3,1,6314747900,73389,73389,14,14,14,121437463,6,3,136943,759726,1057299,16856,2023384548,741487,49169578,1423
559833.03,10,253952,62,135852,8950616052,7,13320043,0,561,18,18,1889,925,1,585,1037071,4,27,53373,33,1,118043945,1172,1,0,4,999,169280952,7,676994608,32,32,14,14,256,585,0,0,70158628,912997,2849429210,0,581,357,4,3,1,14,14,1527,3,2848755462,2821018901,84370284,171927175,171927175,1,3,1,8939361164,73389,73389,14,14,14,171910795,6,3,154768,1062639,1422977,23709,2848755462,1037071,68738232,1449
561843.81,14,253952,62,170424,11226782416,11,18506995,0,723,23,23,1889,1146,1,603,1264559,6,27,67051,33,1,121924875,1208,1,0,4,999,212595301,7,850123088,32,37,14,14,256,603,0,0,86285237,1066417,3567570500,0,597,375,6,3,1,14,14,1527,3,3566789588,3537213326,105896035,215711578,215727962,1,3,1,11217002088,73389,73389,14,14,14,215711582,6,3,185652,1295993,1737034,29659,3566789588,1264559,84551431,1512
563850.04,26,253952,62,210949,13897466322,11,20556067,0,937,24,24,1889,1413,1,630,1597639,8,27,83001,33,1,126991319,1262,1,0,4,999,263169158,7,1052418000,32,38,14,14,256,630,0,0,108473365,1473484,4411638577,0,622,401,8,3,1,14,14,1527,3,4409982608,4378918436,130497041,267020938,267035163,1,3,1,13885088808,73389,73389,14,14,14,267020942,6,3,196240,1637120,2145631,36660,4409982608,1597639,106331772,1603
565855.11,27,253952,62,242249,15959758648,17,27883702,0,1015,24,24,1889,1611,2,657,1780586,10,27,95289,33,1,131630193,1316,1,0,4,999,302089870,7,1208294800,32,38,14,14,256,657,0,0,121926190,1474912,5075695328,0,647,422,10,3,1,14,14,1527,3,5073805233,5029518563,151289796,306592050,306592050,1,3,1,15942786632,73389,73389,14,14,14,306592054,6,3,200962,1824964,2377577,42182,5073805233,1780586,119553185,1680
567861.31,27,253952,62,275915,18176906894,18,31152188,0,1210,29,29,1889,1831,2,666,2060982,10,27,108564,33,1,133129254,1334,1,0,4,999,344144338,7,1376512772,32,43,14,14,256,666,0,0,139838692,1795625,5792139827,0,656,433,10,3,1,14,14,1527,3,5788940329,5728373380,172526465,349154760,349187528,1,3,1,18156047552,73389,73389,14,14,14,349154764,6,3,221293,2111964,2758928,48127,5788940329,2060982,137084983,1708
569866.04,27,253952,62,304039,20028526698,22,36632678,0,1336,29,29,1889,2008,4,702,2270648,10,27,119528,33,1,139438177,1406,1,0,4,999,379014091,7,1515797924,32,43,14,14,256,702,0,0,153557339,1962664,6393639073,0,692,454,10,3,1,14,14,1527,3,6390049811,6312694559,192123195,384700614,384700614,1,3,1,20004431960,73389,73389,14,14,14,384700618,6,3,234836,2326649,3031773,53121,6390049811,2270648,150531307,1809
571874.39,31,253952,62,328013,21608997674,24,39926211,0,1423,32,32,1889,2164,5,756,2450406,10,27,128974,33,1,148781448,1514,1,0,4,999,408859136,7,1635307084,32,46,14,14,256,756,0,0,164945429,2154641,6933612544,0,746,500,10,3,1,14,14,1527,3,6929324010,6814072725,206991575,414841463,414857847,1,3,1,21571756108,73389,73389,14,14,14,414841467,6,3,253042,2511664,3284561,57591,6929324010,2450406,161667120,1990
