timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
566700.46,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,2097278,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0
568706.82,4,253952,62,29334,1932242682,2,4342509,0,175,12,12,1694,238,1,567,272718,0,26,11477,25,0,102639589,1136,1,0,4,2386,36384150,8,145342488,24,26,12,3617,567,0,0,16666593,526582,644224981,0,567,540,0,3,1,14,14,3076,3,644833889,611211925,21511526,36952719,36985487,1,3,1,1921541420,73389,73389,14,14,14,36952723,11,3,105341,278495,552668,5400,644833889,272718,16114517,5617
570711.23,4,253952,62,52878,3481762038,7,9962800,0,243,12,12,1694,400,1,576,411383,0,26,20730,25,0,106204358,1154,1,0,4,2386,65650562,8,262537532,24,26,12,3617,576,0,0,26908176,527277,1131840295,0,576,547,0,3,1,14,14,3076,3,1132224686,1099159031,37373027,66767220,66767220,1,3,1,3471043504,73389,73389,14,14,14,66750840,11,3,111286,420651,715427,9473,1132224686,411383,26193750,5640
572723.00,4,253952,62,78213,5151190230,7,11585216,0,355,15,15,1694,543,1,576,619682,0,26,30733,25,0,108074588,1154,1,0,4,2386,97444968,8,389715216,24,29,12,3617,576,0,0,40585079,839610,1654290551,0,576,547,0,3,1,14,14,3076,3,1653986420,1624596396,52970930,98882785,98882785,1,3,1,5141904852,73389,73389,14,14,14,98882789,11,3,126777,633613,1004591,13765,1653986420,619682,39581989,5640
574730.94,8,253952,62,103967,6847559168,7,13045839,0,486,15,15,1694,719,3,576,838951,0,26,40878,25,0,109064000,1154,1,0,4,2386,129598180,8,518328044,24,29,12,3617,576,0,0,54781120,1236674,2193772564,0,576,547,0,3,1,14,14,3076,3,2192437895,2158512668,69019195,131494188,131526956,1,3,1,6837697808,73389,73389,14,14,14,131494192,11,3,135176,857875,1287717,18254,2192437895,838951,53495415,5640
576745.98,9,253952,62,129960,8561678628,7,14690448,0,623,15,15,1694,893,3,603,1062955,0,26,51124,25,0,117335785,1208,1,0,4,2386,162002528,8,647945484,24,29,12,3617,603,0,0,68924704,1585036,2727459656,0,603,571,0,3,1,14,14,3076,3,2726923026,2698435738,85182506,164442734,164475502,1,3,1,8549318264,73389,73389,14,14,14,164409970,11,3,151597,1086803,1564394,22704,2726923026,1062955,67362839,5740
578750.79,11,253952,62,153178,10091227454,8,17044891,0,739,15,15,1694,1029,6,621,1249706,0,26,60222,25,0,122806066,1244,1,0,4,2386,190914213,8,763656852,24,29,12,3617,621,0,0,81065035,1803306,3211002913,0,621,593,0,3,1,14,14,3076,3,3209490944,3180060683,99852818,193867449,193867449,1,3,1,10081107380,73389,73389,14,14,14,193867453,11,3,166684,1277916,1818066,26676,3209490944,1249706,79249962,5802
580760.76,11,253952,62,169809,11186785798,12,21439943,0,776,19,19,1694,1139,8,657,1348115,0,26,66772,25,0,129998420,1316,1,0,4,2386,211627229,8,846444340,24,33,12,3617,657,0,0,88159078,1820344,3562774553,0,657,618,0,3,1,14,14,3076,3,3560609736,3525725667,111395813,214875550,214891934,1,3,1,11172676664,73389,73389,14,14,14,214859170,11,3,180725,1378814,1946998,29604,3560609736,1348115,86215329,5900
582767.55,13,253952,62,191707,12629235382,12,23131214,0,890,19,19,1694,1287,9,702,1539071,0,26,75399,25,0,140302646,1406,1,0,4,2386,238927903,8,955711612,24,33,12,3617,702,0,0,100246780,2116796,4041123734,0,702,665,0,3,1,14,14,3076,3,4039109306,3981800833,125454515,242479482,242512250,1,3,1,12608933096,73389,73389,14,14,14,242479486,11,3,194102,1574261,2195193,33593,4039109306,1539071,98055282,6055
584773.97,13,253952,62,214306,14116479920,12,24517545,0,1008,19,19,1694,1430,12,783,1745496,0,26,84217,25,0,154403642,1568,1,0,4,2386,266946486,8,1067527588,24,33,12,3617,783,0,0,112701938,2402907,4548845280,0,783,744,0,3,1,14,14,3076,3,4545810748,4453486919,139548059,270884959,270884959,1,3,1,14086017900,73389,73389,14,14,14,270884963,11,3,203827,1785458,2461849,37785,4545810748,1745496,110244234,6336
